stratum,context,colour,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,southern_extratropical,green_brown_inconspicuous,pilot,30,conditional_selfing,fit,245,39,55.0,-0.0007614952100601646,0.03681853804454288,0.9834990200754976,-0.006006130832627132,0.07736485470693007,0.9381193223476949,0.9834990200754976,30,fit,245,39,55.0,0.0081474342922662,0.0353201154430974,0.8175680302053074,-0.010578062929839,0.0793668869487091,0.8939715033753184,0.8175680302053074
all_observed,southern_extratropical,red_pink,pilot,30,conditional_selfing,fit,245,39,55.0,0.030041045166107117,0.027642972624315795,0.2771465959904063,-0.03751883689895963,0.0458222552248558,0.412905832035207,0.4598938278294602,30,fit,245,39,55.0,0.0293476472730486,0.0292152350827692,0.3151221108415614,-0.0362484437543315,0.0455304164068077,0.4259524790670235,0.525203518069269
all_observed,southern_extratropical,white,pilot,30,conditional_selfing,fit,245,39,55.0,0.03123615903588954,0.019236586485437072,0.10442083182614784,-0.16366116915499396,0.03863209884211273,2.2712819504812787e-05,0.2791076058239076,30,fit,245,39,55.0,0.0358710696072141,0.0189314043710782,0.0581199910960019,-0.1652505942915268,0.0396863760566525,3.1284015004199584e-05,0.2905999554800095
all_observed,southern_extratropical,yellow_orange,pilot,30,conditional_selfing,fit,245,39,55.0,-0.021212412886031484,0.023559252880624493,0.3679150622635682,-0.1379968464919924,0.07210251760972948,0.055633221480878466,0.4598938278294602,30,fit,245,39,55.0,-0.0186405615399795,0.0245973526588164,0.4485539828296703,-0.1399605635496891,0.0743760039664787,0.0598635423732748,0.5606924785370879
all_observed,southern_extratropical,blue_purple,pilot,30,unconditional,fit,288,40,30.5,-0.04631883641088881,0.029478291683386653,0.11611615772464283,,,,0.5793657018394046,30,fit,288,40,30.5,-0.0474472039979377,0.0336255832544533,0.1582314081827055,,,,0.6269829408343204
all_observed,southern_extratropical,green_brown_inconspicuous,pilot,30,unconditional,fit,288,40,30.5,-0.0007430602873164383,0.04086410774924618,0.9854923135930612,,,,0.9854923135930612,30,fit,288,40,30.5,0.0079659367270623,0.0409919182344178,0.8459179311678873,,,,0.8459179311678874
all_observed,southern_extratropical,red_pink,pilot,30,unconditional,fit,288,40,30.5,0.025511373795781583,0.027162389473130807,0.34761942110364275,,,,0.5793657018394046,30,fit,288,40,30.5,0.0257336387509208,0.0290795764195628,0.3761897645005922,,,,0.6269829408343204
all_observed,southern_extratropical,white,pilot,30,unconditional,fit,288,40,30.5,0.012273290561405602,0.02611615572243841,0.6383906535308526,,,,0.7979883169135658,30,fit,288,40,30.5,0.0153708102297329,0.0269669370625851,0.5686863474915967,,,,0.710857934364496
all_observed,southern_extratropical,yellow_orange,pilot,30,unconditional,fit,288,40,30.5,-0.03447323610866958,0.031039274117144033,0.2667264358192744,,,,0.5793657018394046,30,fit,288,40,30.5,-0.0334714456545514,0.0324252375636967,0.3019478797569091,,,,0.6269829408343204
all_observed,tropical,blue_purple,confirmatory,50,conditional_selfing,fit,1103,104,56.0,-0.06046216788553416,0.026601861652043285,0.023034933806320688,0.3705487366824385,0.03248413370889847,3.855035246843492e-30,0.03839155634386781,50,fit,1103,104,56.0,-0.0601572052136987,0.026573870888466,0.0235880943437396,0.3715673366676248,0.0325598809517797,3.6503213082799994e-30,0.0393134905728994
all_observed,tropical,green_brown_inconspicuous,confirmatory,50,conditional_selfing,fit,1103,104,56.0,0.04121735754751531,0.01509743032977579,0.006331685940345157,-0.036787679905959325,0.02158395721048493,0.08830652893166789,0.01582921485086289,50,fit,1103,104,56.0,0.0454122006705838,0.0151795023853211,0.0027744770067377,-0.038921545326412,0.0215520164274549,0.0709284603468205,0.0069361925168442
all_observed,tropical,red_pink,confirmatory,50,conditional_selfing,fit,1103,104,56.0,0.03888364974930254,0.021485993418805735,0.07033909129222536,0.028035232930370246,0.023874041092709995,0.24027578100251326,0.0879238641152817,50,fit,1103,104,56.0,0.0360397906317867,0.0215719015395732,0.0947844783839064,0.0282287939336595,0.0239343220369047,0.2382280511335132,0.118480597979883
all_observed,tropical,white,confirmatory,50,conditional_selfing,fit,1103,104,56.0,0.06813723095950863,0.019807601356001795,0.0005818137758072307,-0.14806736463584547,0.024307822196179253,1.1196499871068387e-09,0.0029090688790361532,50,fit,1103,104,56.0,0.0670403256163278,0.0195701709273654,0.0006133567505215,-0.1489670273181023,0.0244159696369056,1.052666262648588e-09,0.0030667837526079
all_observed,tropical,yellow_orange,confirmatory,50,conditional_selfing,fit,1103,104,56.0,0.026598240949298274,0.01922620809740229,0.16653101889467636,0.04102387380549816,0.02028075100791741,0.043093920871057796,0.16653101889467636,50,fit,1103,104,56.0,0.0261401533150734,0.0184236589806594,0.1559467917232447,0.0406797016240682,0.0204278838203368,0.0464390061740166,0.1559467917232447
all_observed,tropical,blue_purple,confirmatory,50,unconditional,fit,1494,111,26.0,-0.0042038397630598245,0.0310110028637123,0.8921694292938341,,,,0.892169429293834,50,fit,1494,111,26.0,-0.0014049045160265,0.0307163834191445,0.963519112943944,,,,0.963519112943944
