stratum,context,combination,architecture_label,trait_name,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,yellow_orange__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1799,84,28.0,-0.0803816814560202,0.016262155462097423,7.698176369516847e-07,-0.05237649320632748,0.049193668719724915,0.2870117641867143,1.0777446917323585e-05
all_observed,northern_midlatitude,yellow_orange__large_bee_form_given_colour,large_bee_associated_form,floral_form,pilot,30,unconditional,fit,1823,84,27.0,-0.08211918171774744,0.016301653530774205,4.717116977267778e-07,,,,6.60396376817489e-06
all_observed,northern_midlatitude,yellow_orange__large_bee_form_given_colour,large_bee_associated_form,floral_form,pilot,30,conditional_selfing,fit,1799,84,28.0,-0.0803816814560202,0.016262155462097423,7.698176369516847e-07,-0.05237649320632748,0.049193668719724915,0.2870117641867143,1.0777446917323585e-05
all_observed,northern_midlatitude,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,1792,84,16.0,-0.011592191093694082,0.02724872644809965,0.6705295154649448,,,,0.8878321911172958
all_observed,northern_midlatitude,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,1753,84,17.0,-0.007573285917909456,0.027370229656591954,0.7820120606666663,-0.14322059874136017,0.040158001438185625,0.00036188093120487154,0.9039834019550888
all_observed,northern_midlatitude,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,1792,84,16.0,-0.011592191093694082,0.02724872644809965,0.6705295154649448,,,,0.8878321911172958
all_observed,northern_midlatitude,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,1753,84,17.0,-0.007573285917909456,0.027370229656591954,0.7820120606666663,-0.14322059874136017,0.040158001438185625,0.00036188093120487154,0.9039834019550888
all_observed,northern_midlatitude,yellow_orange__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,1749,82,15.0,0.008409357715808974,0.04659482572851567,0.8567770419317812,,,,0.9226829682342259
all_observed,northern_midlatitude,yellow_orange__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,1726,82,15.0,0.009546207891430486,0.047108227276136366,0.8394131589582967,-0.04528384062412294,0.06797897244922863,0.5053185364076884,0.9039834019550888
all_observed,northern_midlatitude,yellow_orange__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,1749,82,15.0,0.008409357715808974,0.04659482572851567,0.8567770419317812,,,,0.9226829682342259
