accepted_species,genus,family,n_islands,n_records
Selenicereus grandiflorus,Selenicereus,Cactaceae,27,260
Garcinia livingstonei,Garcinia,Clusiaceae,10,20
Limonium cancellatum,Limonium,Plumbaginaceae,20,118
Guzmania monostachia,Guzmania,Bromeliaceae,13,237
Comesperma retusum,Comesperma,Polygalaceae,16,498
Dianella brevicaulis,Dianella,Asphodelaceae,23,601
Santiria apiculata,Santiria,Burseraceae,13,319
Centranthus calcitrapae,Centranthus,Caprifoliaceae,74,1825
Impatiens niamniamensis,Impatiens,Balsaminaceae,5,17
Luzula sylvatica,Luzula,Juncaceae,203,92134
Hypericum gramineum,Hypericum,Hypericaceae,30,1773
Aristolochia sempervirens,Aristolochia,Aristolochiaceae,11,128
Micranthes nelsoniana,Micranthes,Saxifragaceae,88,716
Myoporum laetum,Myoporum,Scrophulariaceae,51,3142
Dichorisandra thyrsiflora,Dichorisandra,Commelinaceae,29,368
Geissois ternata,Geissois,Cunoniaceae,6,8
Terminalia molinetii,Terminalia,Combretaceae,16,131
Saurauia purgans,Saurauia,Actinidiaceae,4,37
Roemeria hispida,Roemeria,Papaveraceae,75,3421
Geranium erianthum,Geranium,Geraniaceae,82,849
Ilex perado,Ilex,Aquifoliaceae,15,4594
Kayea paniculata,Kayea,Calophyllaceae,5,20
Eurya obovata,Eurya,Pentaphylacaceae,7,99
Hibbertia procumbens,Hibbertia,Dilleniaceae,12,1341
Cyclea insularis,Cyclea,Menispermaceae,16,53
Passiflora incarnata,Passiflora,Passifloraceae,23,170
Dioscorea tokoro,Dioscorea,Dioscoreaceae,23,2457
Lippia alba,Lippia,Verbenaceae,44,250
Strychnos spinosa,Strychnos,Loganiaceae,11,256
Fritillaria affinis,Fritillaria,Liliaceae,36,2180
Pittosporum rhytidocarpum,Pittosporum,Pittosporaceae,12,51
Kibara kostermansii,Kibara,Monimiaceae,4,10
Eriocaulon depressum,Eriocaulon,Eriocaulaceae,9,23
Sonneratia caseolaris,Sonneratia,Lythraceae,32,337
Notothixos leiophyllus,Notothixos,Viscaceae,10,96
Heliotropium amplexicaule,Heliotropium,Heliotropiaceae,20,394
Symplocos pendula,Symplocos,Symplocaceae,13,199
Guapira obtusata,Guapira,Nyctaginaceae,23,117
Cordia africana,Cordia,Cordiaceae,11,214
Capparis umbonata,Capparis,Capparaceae,16,30
Nepenthes masoalensis,Nepenthes,Nepenthaceae,3,29
Ischnosiphon arouma,Ischnosiphon,Marantaceae,7,29
Goodenia mystrophylla,Goodenia,Goodeniaceae,10,24
Geobalanus oblongifolius,Geobalanus,Chrysobalanaceae,6,55
Utricularia cornuta,Utricularia,Lentibulariaceae,28,389
Potamogeton distinctus,Potamogeton,Potamogetonaceae,44,1391
Smilax insularis,Smilax,Smilacaceae,15,308
Oxalis perennans,Oxalis,Oxalidaceae,31,2544
Polyspora integerrima,Polyspora,Theaceae,6,18
Cistus ladanifer,Cistus,Cistaceae,20,175
Epimedium alpinum,Epimedium,Berberidaceae,10,180
Alnus cordata,Alnus,Betulaceae,38,13253
Barringtonia calyptrocalyx,Barringtonia,Lecythidaceae,8,79
Magnolia soulangeana,Magnolia,Magnoliaceae,7,487
Ouratea cassinifolia,Ouratea,Ochnaceae,6,19
Erythroxylum sechellarum,Erythroxylum,Erythroxylaceae,5,280
Torenia asiatica,Torenia,Linderniaceae,10,263
Viburnum edule,Viburnum,Viburnaceae,39,510
Drypetes littoralis,Drypetes,Putranjivaceae,7,66
Disphyma crassifolium,Disphyma,Aizoaceae,28,521
Philadelphus pubescens,Philadelphus,Hydrangeaceae,10,27
Myriophyllum pedunculatum,Myriophyllum,Haloragaceae,15,1068
Connarus panamensis,Connarus,Connaraceae,5,39
Linum monogynum,Linum,Linaceae,14,954
Celtis iguanaea,Celtis,Cannabaceae,31,260
Erythrospermum candidum,Erythrospermum,Achariaceae,3,119
Colchicum neapolitanum,Colchicum,Colchicaceae,8,102
Alangium chinense,Alangium,Cornaceae,17,357
Tiquilia darwinii,Tiquilia,Ehretiaceae,7,78
Tetraena hamiensis,Tetraena,Zygophyllaceae,12,73
Buxus moratii,Buxus,Buxaceae,3,80
Elodea densa,Elodea,Hydrocharitaceae,43,2606
Trillium cernuum,Trillium,Melanthiaceae,11,286
Drosera macrantha,Drosera,Droseraceae,13,408
Rhizophora racemosa,Rhizophora,Rhizophoraceae,21,178
Mediusella bernieri,Mediusella,Sarcolaenaceae,1,175
Rumicastrum calyptratum,Rumicastrum,Montiaceae,13,118
Polemonium campanulatum,Polemonium,Polemoniaceae,11,21
Hosiea japonica,Hosiea,Icacinaceae,3,167
Escallonia callcottiae,Escallonia,Escalloniaceae,2,16
Sagittaria pygmaea,Sagittaria,Alismataceae,12,283
Stemonurus monticola,Stemonurus,Stemonuraceae,4,57
Erythranthe nepalensis,Erythranthe,Phrymaceae,8,838
Centrolepis fascicularis,Centrolepis,Restionaceae,11,312
Castela peninsularis,Castela,Simaroubaceae,7,67
Xyris marginata,Xyris,Xyridaceae,6,622
Ribes laxiflorum,Ribes,Grossulariaceae,30,187
Stylidium muscicola,Stylidium,Stylidiaceae,6,9
Burmannia wallichii,Burmannia,Burmanniaceae,4,10
Gymnostoma nodiflorum,Gymnostoma,Casuarinaceae,4,28
Physostemon procumbens,Physostemon,Cleomaceae,5,33
Nothofagus carrii,Nothofagus,Nothofagaceae,3,74
Zygogynum amplexicaule,Zygogynum,Winteraceae,1,234
Hamamelis vernalis,Hamamelis,Hamamelidaceae,4,12
Heliconia acuminata,Heliconia,Heliconiaceae,8,29
Nymphaea violacea,Nymphaea,Nymphaeaceae,16,43
Pseudanthus divaricatissimus,Pseudanthus,Picrodendraceae,2,17
Costus laevis,Costus,Costaceae,7,16
Phacelia cicutaria,Phacelia,Hydrophyllaceae,4,159
Ensete glaucum,Ensete,Musaceae,4,43
Portulaca elatior,Portulaca,Portulacaceae,8,89
Meliosma tenuis,Meliosma,Sabiaceae,3,1000
Santalum yasi,Santalum,Santalaceae,6,12
Choretrum glomeratum,Choretrum,Amphorogynaceae,1,503
Engelhardia serrata,Engelhardia,Juglandaceae,10,70
Dichapetalum bocageanum,Dichapetalum,Dichapetalaceae,2,25
Styrax formosanus,Styrax,Styracaceae,2,1762
Clethra cubensis,Clethra,Clethraceae,1,45
Illicium parviflorum,Illicium,Schisandraceae,4,16
Ulmus rubra,Ulmus,Ulmaceae,4,79
Typha laxmannii,Typha,Typhaceae,14,81
Curculigo erecta,Curculigo,Hypoxidaceae,4,13
Hedyosmum grisebachii,Hedyosmum,Chloranthaceae,4,34
Elaeagnus oldhamii,Elaeagnus,Elaeagnaceae,10,619
Morella rivas-martinezii,Morella,Myricaceae,3,40
Quintinia minor,Quintinia,Paracryphiaceae,1,25
Astelia nivicola,Astelia,Asteliaceae,3,713
Marcgravia brownei,Marcgravia,Marcgraviaceae,1,31
Hernandia didymantha,Hernandia,Hernandiaceae,2,4
Aponogeton tenuispicatus,Aponogeton,Aponogetonaceae,1,6
Anisophyllea dinghoui,Anisophyllea,Anisophylleaceae,1,6
Mentzelia nesiotes,Mentzelia,Loasaceae,2,6
Nymphoides aurantiaca,Nymphoides,Menyanthaceae,5,16
Paramollugo simulans,Paramollugo,Molluginaceae,2,63
Uncarina perrieri,Uncarina,Pedaliaceae,1,89
Pera polylepis,Pera,Peraceae,1,25
Thesium retamoides,Thesium,Thesiaceae,1,32
Arboa berneriana,Arboa,Turneraceae,1,115
Gonocaryum minus,Gonocaryum,Cardiopteridaceae,1,62
Rhizanthes deceptor,Rhizanthes,Rafflesiaceae,1,4
Turpinia arguta,Turpinia,Staphyleaceae,3,19
Xerophyta brevifolia,Xerophyta,Velloziaceae,1,15
Langsdorffia hypogaea,Langsdorffia,Balanophoraceae,2,4
Olax lanceolata,Olax,Olacaceae,1,43
Phytolacca thyrsiflora,Phytolacca,Phytolaccaceae,3,5
Sciaphila yakushimensis,Sciaphila,Triuridaceae,1,6
Gunnera cordifolia,Gunnera,Gunneraceae,1,195
Mastixia arborea,Mastixia,Nyssaceae,1,18
Reseda muricata,Reseda,Resedaceae,3,16
Zostera caulescens,Zostera,Zosteraceae,6,3497
Tamarix smyrnensis,Tamarix,Tamaricaceae,3,18
Qualea coerulea,Qualea,Vochysiaceae,1,2
Daphniphyllum lanyuense,Daphniphyllum,Daphniphyllaceae,1,35
Bergia pusilla,Bergia,Elatinaceae,3,5
Triglochin nana,Triglochin,Juncaginaceae,4,80
Polypleurum wallichii,Polypleurum,Podostemaceae,1,2
Pontederia natans,Pontederia,Pontederiaceae,3,5
Alstroemeria patagonica,Alstroemeria,Alstroemeriaceae,1,14
Asplundia venezuelensis,Asplundia,Cyclanthaceae,1,2
Frankenia cinerea,Frankenia,Frankeniaceae,2,2
Rhaphiostylis beninensis,Rhaphiostylis,Metteniusaceae,1,12
Rhopalocarpus parvifolius,Rhopalocarpus,Sphaerosepalaceae,1,53
Zamites wendyellisae,Zamites,Williamsoniaceae,1,2
Pentaphragma lambirense,Pentaphragma,Pentaphragmataceae,1,3
Arjona pusilla,Arjona,Schoepfiaceae,1,2
Anacolosa glochidiiformis,Anacolosa,Aptandraceae,1,1
Corsia acuminata,Corsia,Corsiaceae,1,1
Conostylis stylidioides,Conostylis,Haemodoraceae,1,4
Calceolaria heterophylla,Calceolaria,Calceolariaceae,1,3
Gjellerupia papuana,Gjellerupia,Opiliaceae,1,12
Nuxia isaloensis,Nuxia,Stilbaceae,1,14
Picramnia gracilis,Picramnia,Picramniaceae,1,4
Croomia hyugaensis,Croomia,Stemonaceae,1,10
Halodule bermudensis,Halodule,Cymodoceaceae,1,1
Stauntonia cavalerieana,Stauntonia,Lardizabalaceae,1,2
Turricula parryi,Turricula,Namaceae,1,1
Aletris lutea,Aletris,Nartheciaceae,1,1
Paeonia coriacea,Paeonia,Paeoniaceae,1,149
Talinella bosseri,Talinella,Talinaceae,1,6
Argophyllum lejourdanii,Argophyllum,Argophyllaceae,1,2
Coriaria napalensis,Coriaria,Coriariaceae,1,1
Hydrostachys perrieri,Hydrostachys,Hydrostachyaceae,1,1
Delarbrea balansae,Delarbrea,Myodocarpaceae,1,22
Epipactis atrorubens,Epipactis,Orchidaceae,112,7150
Tripleurospermum inodorum,Tripleurospermum,Asteraceae,489,147157
Galium elongatum,Galium,Rubiaceae,133,2912
Vicia tetrasperma,Vicia,Fabaceae,332,46234
Nardus stricta,Nardus,Poaceae,518,120040
Eleocharis quinqueflora,Eleocharis,Cyperaceae,364,25608
Eugenia foetida,Eugenia,Myrtaceae,59,555
Jatropha integerrima,Jatropha,Euphorbiaceae,146,1052
Prunus spinosa,Prunus,Rosaceae,273,342720
Cynanchum viminale,Cynanchum,Apocynaceae,89,703
Ajuga reptans,Ajuga,Lamiaceae,233,171035
Miconia albicans,Miconia,Melastomataceae,18,149
Triumfetta rhomboidea,Triumfetta,Malvaceae,134,1160
Hypopitys monotropa,Hypopitys,Ericaceae,237,6905
Leucothrinax morrisii,Leucothrinax,Arecaceae,35,399
Justicia gendarussa,Justicia,Acanthaceae,58,447
Sassafras albidum,Sassafras,Lauraceae,32,2435
Lysimachia foemina,Lysimachia,Primulaceae,95,1611
Codonanthe devosiana,Codonanthe,Gesneriaceae,8,30
Breynia androgyna,Breynia,Phyllanthaceae,51,378
Monstera deliciosa,Monstera,Araceae,75,1335
Ranunculus aquatilis,Ranunculus,Ranunculaceae,181,23900
Artabotrys suaveolens,Artabotrys,Annonaceae,23,460
Hesperis matronalis,Hesperis,Brassicaceae,273,34887
Nephelium lappaceum,Nephelium,Sapindaceae,55,737
Citrus reticulata,Citrus,Rutaceae,44,161
Silene acaulis,Silene,Caryophyllaceae,317,16707
Conopodium majus,Conopodium,Apiaceae,150,168110
Boehmeria virgata,Boehmeria,Urticaceae,51,891
Populus nigra,Populus,Salicaceae,120,42093
Ficus variegata,Ficus,Moraceae,78,1673
Peperomia blanda,Peperomia,Piperaceae,26,111
Veronica agrestis,Veronica,Plantaginaceae,206,26235
Hydrocotyle umbellata,Hydrocotyle,Araliaceae,53,231
Solanum villosum,Solanum,Solanaceae,101,1132
Alpinia oceanica,Alpinia,Zingiberaceae,18,130
Hyacinthoides hispanica,Hyacinthoides,Asparagaceae,99,14386
Mimusops coriacea,Mimusops,Sapotaceae,25,441
Begonia sinuata,Begonia,Begoniaceae,8,33
Beta maritima,Beta,Amaranthaceae,161,16086
Ipomoea alba,Ipomoea,Convolvulaceae,108,1142
Freycinetia sumatrana,Freycinetia,Pandanaceae,9,21
Triodanis perfoliata,Triodanis,Campanulaceae,53,1071
Quercus glauca,Quercus,Fagaceae,45,7254
Antigonon leptopus,Antigonon,Polygonaceae,209,3836
Pleurostylia opposita,Pleurostylia,Celastraceae,29,121
Grevillea parallela,Grevillea,Proteaceae,17,58
Rhinanthus serotinus,Rhinanthus,Orobanchaceae,125,1674
Reynosia septentrionalis,Reynosia,Rhamnaceae,30,103
Elaeocarpus cumingii,Elaeocarpus,Elaeocarpaceae,11,82
Cynoglossum officinale,Cynoglossum,Boraginaceae,116,18304
Xylocarpus rumphii,Xylocarpus,Meliaceae,30,77
Jasminum simplicifolium,Jasminum,Oleaceae,46,391
Diospyros morrisiana,Diospyros,Ebenaceae,16,1846
Crassula aquatica,Crassula,Crassulaceae,74,528
Gentiana zollingeri,Gentiana,Gentianaceae,48,1406
Cotinus coggygria,Cotinus,Anacardiaceae,52,839
Cissus quadrangularis,Cissus,Vitaceae,33,320
Viola philippica,Viola,Violaceae,56,835
Shorea ovalis,Shorea,Dipterocarpaceae,10,312
Oroxylum indicum,Oroxylum,Bignoniaceae,27,221
Horsfieldia spicata,Horsfieldia,Myristicaceae,14,98
Cucumis maderaspatanus,Cucumis,Cucurbitaceae,51,483
Leucojum aestivum,Leucojum,Amaryllidaceae,77,8670
Stigmaphyllon bannisterioides,Stigmaphyllon,Malpighiaceae,14,57
Oenothera laciniata,Oenothera,Onagraceae,97,2928
Decaisnina hollrungii,Decaisnina,Loranthaceae,12,389
Iris sibirica,Iris,Iridaceae,44,919
Pimelea prostrata,Pimelea,Thymelaeaceae,13,2096
Opuntia microdasys,Opuntia,Cactaceae,26,54
Garcinia humilis,Garcinia,Clusiaceae,9,71
Limonium binervosum,Limonium,Plumbaginaceae,17,415
Tillandsia setacea,Tillandsia,Bromeliaceae,13,192
Comesperma ericinum,Comesperma,Polygalaceae,15,150
Asphodeline lutea,Asphodeline,Asphodelaceae,21,835
Santiria laevigata,Santiria,Burseraceae,13,312
Sixalix atropurpurea,Sixalix,Caprifoliaceae,73,2292
Impatiens scullyi,Impatiens,Balsaminaceae,4,52
Luzula confusa,Luzula,Juncaceae,173,1847
Hypericum empetrifolium,Hypericum,Hypericaceae,30,374
Aristolochia grandiflora,Aristolochia,Aristolochiaceae,11,49
Saxifraga cotyledon,Saxifraga,Saxifragaceae,88,595
Myoporum montanum,Myoporum,Scrophulariaceae,46,191
Murdannia graminea,Murdannia,Commelinaceae,28,133
Pterophylla parviflora,Pterophylla,Cunoniaceae,5,159
Terminalia tetraphylla,Terminalia,Combretaceae,15,171
Saurauia bracteosa,Saurauia,Actinidiaceae,4,14
Pseudofumaria lutea,Pseudofumaria,Papaveraceae,67,36075
Geranium thunbergii,Geranium,Geraniaceae,78,3011
Ilex maximowicziana,Ilex,Aquifoliaceae,15,838
Calophyllum tacamahaca,Calophyllum,Calophyllaceae,4,625
Eurya sandwicensis,Eurya,Pentaphylacaceae,7,62
Curatella americana,Curatella,Dilleniaceae,12,88
Diploclisia glaucescens,Diploclisia,Menispermaceae,15,87
Passiflora ligularis,Passiflora,Passifloraceae,21,118
Dioscorea tenuipes,Dioscorea,Dioscoreaceae,19,679
Verbena hastata,Verbena,Verbenaceae,42,469
Phyllangium divergens,Phyllangium,Loganiaceae,10,217
Clintonia borealis,Clintonia,Liliaceae,36,1972
Pittosporum viridiflorum,Pittosporum,Pittosporaceae,11,383
Matthaea chartacea,Matthaea,Monimiaceae,4,9
Eriocaulon nepalense,Eriocaulon,Eriocaulaceae,7,50
Ammannia auriculata,Ammannia,Lythraceae,31,585
Ginalloa arnottiana,Ginalloa,Viscaceae,10,45
Heliotropium supinum,Heliotropium,Heliotropiaceae,19,203
Symplocos coreana,Symplocos,Symplocaceae,12,2525
Pisonia subcordata,Pisonia,Nyctaginaceae,21,239
Cordia gerascanthus,Cordia,Cordiaceae,11,107
Capparis lanceolaris,Capparis,Capparaceae,15,120
Nepenthes merrilliana,Nepenthes,Nepenthaceae,3,23
Maranta divaricata,Maranta,Marantaceae,7,18
Scaevola aemula,Scaevola,Goodeniaceae,9,381
Licania ternatensis,Licania,Chrysobalanaceae,6,47
Utricularia aurea,Utricularia,Lentibulariaceae,27,324
Potamogeton lucens,Potamogeton,Potamogetonaceae,42,10088
Smilax nervomarginata,Smilax,Smilacaceae,15,138
Biophytum sensitivum,Biophytum,Oxalidaceae,28,280
Camellia oleifera,Camellia,Theaceae,5,125
Fumana ericoides,Fumana,Cistaceae,18,243
Epimedium grandiflorum,Epimedium,Berberidaceae,9,780
Betula alleghaniensis,Betula,Betulaceae,35,1081
Chydenanthus excelsus,Chydenanthus,Lecythidaceae,8,24
Magnolia tsiampacca,Magnolia,Magnoliaceae,7,232
Ouratea agrophylla,Ouratea,Ochnaceae,5,71
Erythroxylum platycladum,Erythroxylum,Erythroxylaceae,5,43
Yamazakia pusilla,Yamazakia,Linderniaceae,10,79
Sambucus sieboldiana,Sambucus,Viburnaceae,35,2683
Drypetes microphylla,Drypetes,Putranjivaceae,7,64
Aizoon canariense,Aizoon,Aizoaceae,27,1653
Hydrangea acuminata,Hydrangea,Hydrangeaceae,9,177
Myriophyllum salsugineum,Myriophyllum,Haloragaceae,14,416
Cnestidium rufescens,Cnestidium,Connaraceae,5,34
Linum marginale,Linum,Linaceae,14,551
Celtis boninensis,Celtis,Cannabaceae,30,234
Hydnocarpus gracilis,Hydnocarpus,Achariaceae,3,57
Colchicum hungaricum,Colchicum,Colchicaceae,8,28
Cornus walteri,Cornus,Cornaceae,15,71
Bourreria sonorae,Bourreria,Ehretiaceae,7,77
Viscainoa geniculata,Viscainoa,Zygophyllaceae,11,73
Sarcococca coriacea,Sarcococca,Buxaceae,3,18
Halophila minor,Halophila,Hydrocharitaceae,39,69
Helonias orientalis,Helonias,Melanthiaceae,10,1335
Drosera petiolaris,Drosera,Droseraceae,13,163
Cassipourea guianensis,Cassipourea,Rhizophoraceae,20,166
Leptolaena delphinensis,Leptolaena,Sarcolaenaceae,1,166
Montia australasica,Montia,Montiaceae,12,381
Cobaea scandens,Cobaea,Polemoniaceae,10,295
Nothapodytes insularis,Nothapodytes,Icacinaceae,3,34
Polyosma helicioides,Polyosma,Escalloniaceae,2,13
Sagittaria aginashi,Sagittaria,Alismataceae,12,165
Gomphandra capitulata,Gomphandra,Stemonuraceae,4,24
Glossostigma elatinoides,Glossostigma,Phrymaceae,8,783
Calorophus elongatus,Calorophus,Restionaceae,10,415
Castela erecta,Castela,Simaroubaceae,7,34
Xyris muelleri,Xyris,Xyridaceae,6,523
Ribes triste,Ribes,Grossulariaceae,27,167
Donatia novae-zelandiae,Donatia,Stylidiaceae,5,1227
Burmannia bifaria,Burmannia,Burmanniaceae,4,8
Allocasuarina distyla,Allocasuarina,Casuarinaceae,4,4
Gilgella scaposa,Gilgella,Cleomaceae,5,21
Nothofagus moorei,Nothofagus,Nothofagaceae,3,16
Zygogynum howeanum,Zygogynum,Winteraceae,1,167
Disanthus cercidifolius,Disanthus,Hamamelidaceae,3,232
Heliconia metallica,Heliconia,Heliconiaceae,5,52
Nymphaea pubescens,Nymphaea,Nymphaeaceae,15,103
Austrobuxus celebicus,Austrobuxus,Picrodendraceae,2,12
Costus pulverulentus,Costus,Costaceae,6,227
Emmenanthe penduliflora,Emmenanthe,Hydrophyllaceae,4,83
Musa itinerans,Musa,Musaceae,3,427
Portulaca teretifolia,Portulaca,Portulacaceae,6,15
Sabia javanica,Sabia,Sabiaceae,3,33
Exocarpos phyllanthoides,Exocarpos,Santalaceae,5,86
Choretrum spicatum,Choretrum,Amphorogynaceae,1,300
Pterocarya rhoifolia,Pterocarya,Juglandaceae,7,4166
Dichapetalum nigrescens,Dichapetalum,Dichapetalaceae,2,24
Halesia diptera,Halesia,Styracaceae,2,190
Clethra occidentalis,Clethra,Clethraceae,1,36
Illicium philippinense,Illicium,Schisandraceae,3,109
Zelkova abelicea,Zelkova,Ulmaceae,3,39
Sparganium splendens,Sparganium,Typhaceae,11,12
Pauridia vaginata,Pauridia,Hypoxidaceae,3,566
Ascarina polystachya,Ascarina,Chloranthaceae,4,31
Elaeagnus latifolia,Elaeagnus,Elaeagnaceae,5,13
Morella adenophora,Morella,Myricaceae,2,134
Quintinia montiswilhelmii,Quintinia,Paracryphiaceae,1,25
Astelia petriei,Astelia,Asteliaceae,3,484
Marcgravia evenia,Marcgravia,Marcgraviaceae,1,29
Hernandia mascarenensis,Hernandia,Hernandiaceae,1,159
Aponogeton womersleyi,Aponogeton,Aponogetonaceae,1,6
Anisophyllea glandulipetiolata,Anisophyllea,Anisophylleaceae,1,6
Aosa plumieri,Aosa,Loasaceae,1,22
Nymphoides exiliflora,Nymphoides,Menyanthaceae,4,13
Mollugo crockeri,Mollugo,Molluginaceae,2,18
Uncarina abbreviata,Uncarina,Pedaliaceae,1,86
Pera ekmanii,Pera,Peraceae,1,15
Thesium subsucculentum,Thesium,Thesiaceae,1,16
Arboa integrifolia,Arboa,Turneraceae,1,95
Pseudobotrys cauliflora,Pseudobotrys,Cardiopteridaceae,1,35
Rafflesia manillana,Rafflesia,Rafflesiaceae,1,3
Staphylea colchica,Staphylea,Staphyleaceae,3,17
Xerophyta analavelonensis,Xerophyta,Velloziaceae,1,14
Langsdorffia malagasica,Langsdorffia,Balanophoraceae,1,43
Olax wightiana,Olax,Olacaceae,1,29
Seguieria americana,Seguieria,Phytolaccaceae,3,5
Sciaphila quadribullifera,Sciaphila,Triuridaceae,1,3
Gunnera kauaiensis,Gunnera,Gunneraceae,1,25
Mastixia eugenioides,Mastixia,Nyssaceae,1,17
Reseda sphenocleoides,Reseda,Resedaceae,3,16
Zostera nigricaulis,Zostera,Zosteraceae,6,25
Tamarix aucheriana,Tamarix,Tamaricaceae,3,16
Qualea lineata,Qualea,Vochysiaceae,1,2
Daphniphyllum dichotomum,Daphniphyllum,Daphniphyllaceae,1,7
Elatine brochonii,Elatine,Elatinaceae,2,27
Triglochin centrocarpa,Triglochin,Juncaginaceae,4,31
Apinagia guyanensis,Apinagia,Podostemaceae,1,1
Heteranthera dubia,Heteranthera,Pontederiaceae,3,3
Alstroemeria hookeri,Alstroemeria,Alstroemeriaceae,1,2
Carludovica plumieri,Carludovica,Cyclanthaceae,1,2
Frankenia portulacifolia,Frankenia,Frankeniaceae,1,18
Rhaphiostylis madagascariensis,Rhaphiostylis,Metteniusaceae,1,10
Dialyceras parvifolium,Dialyceras,Sphaerosepalaceae,1,50
Palaeozamia megaphylla,Zamites,Williamsoniaceae,1,1
Pentaphragma mindanaense,Pentaphragma,Pentaphragmataceae,1,3
Schoepfia fragrans,Schoepfia,Schoepfiaceae,1,2
Anacolosa ilicoides,Anacolosa,Aptandraceae,1,1
Corsia pyramidata,Corsia,Corsiaceae,1,1
Haemodorum corymbosum,Haemodorum,Haemodoraceae,1,3
Calceolaria pinnata,Calceolaria,Calceolariaceae,1,2
Agonandra excelsa,Agonandra,Opiliaceae,1,9
Bowkeria verticillata,Bowkeria,Stilbaceae,1,5
Picramnia spruceana,Picramnia,Picramniaceae,1,2
Stemona collinsiae,Stemona,Stemonaceae,1,1
Halodule emarginata,Halodule,Cymodoceaceae,1,1
Sargentodoxa cuneata,Sargentodoxa,Lardizabalaceae,1,1
Wigandia crispa,Wigandia,Namaceae,1,1
