"Data_source","Species","Family","Self-compatibility_index_FS","Self-compatibility_index_SFL","Autofertility_index_FS","Autofertility_index_SFL","Annual_Biennial","Listed_in_GloNAF","Number_GloNAF_Regions","Number_Native_Regions"
"Johnson_etal_2011","Acrotriche_serrulata","Ericaceae","0.42455243","0.21086262","0.007672634","0.003194888","0","0","0","1"
"Schneemilch_Steegles_2010","Acrotriche_serrulata","Ericaceae","0.174698795","0.064102564","NA","NA","0","0","0","1"
"Almeida-Soares_etal_2010","Adenocalymma_bracteatum","Bignoniaceae","0.833","NA","0.134","NA","0","0","0","2"
"McMullen_1987","Adenostemma_platyphyllum","Compositae","NA","NA","NA","NA","1","1","1","3"
"Gonzalez_Perez_2010","Adesmia_argyrophylla","Leguminosae","NA","NA","NA","NA","0","0","0","1"
"Tedesco_etal_2000","Adesmia_bicolor","Leguminosae","0.372881356","NA","0","NA","0","0","0","2"
"Gomez_etal_2012","Adesmia_bijuga","Leguminosae","1","1","1","1","0","0","0","1"
"Tedesco_etal_2000","Adesmia_incana","Leguminosae","NA","NA","NA","NA","0","0","0","2"
"Arroyo_Uslar_1993","Adesmia_montana","Leguminosae","0.3921","0.183333333","0.1667","0.093333333","0","0","0","1"
"Arroyo_Uslar_1993","Adesmia_mucronata","Leguminosae","0.4375","0.289230769","0.4375","0.289230769","1","0","0","1"
"Tedesco_etal_2000","Adesmia_muricata","Leguminosae","0.115942029","NA","0.188405797","NA","1","0","0","2"
"Tedesco_etal_2000","Adesmia_punctata","Leguminosae","0.365853659","NA","0","NA","0","0","0","2"
"Tedesco_etal_2000","Adesmia_riograndensis","Leguminosae","1","NA","0.013043478","NA","1","0","0","1"
"Tedesco_etal_2000","Adesmia_tristis","Leguminosae","0.285714286","NA","0","NA","0","0","0","1"
"Matallana_etal_2010","Aechmea_araneosa","Bromeliaceae","0.682278481","NA","0.39278481","NA","0","0","0","1"
"Matallana_etal_2010","Aechmea_comata","Bromeliaceae","0.998846597","NA","1","NA","0","0","0","1"
"Scrok_Varassin_2011","Aechmea_distichantha","Bromeliaceae","0.9","NA","0.6","NA","0","0","0","3"
"Matallana_etal_2010","Aechmea_lamarchei","Bromeliaceae","0.792602041","NA","0.051785714","NA","0","0","0","1"
"Ramirez_Seres_1994","Aechmea_lasseri","Bromeliaceae","0.453333333","0.468986384","0.271111111","0.293494705","0","0","0","1"
"Matallana_etal_2010","Aechmea_macrochlamys","Bromeliaceae","0.7","NA","0.533","NA","0","0","0","1"
"Matallana_etal_2010","Aechmea_mutica","Bromeliaceae","0.690553746","NA","0.212703583","NA","0","0","0","1"
"Matallana_etal_2010","Aechmea_nudicaulis","Bromeliaceae","0","NA","0.0609","NA","0","0","0","6"
"Wolowski_etal_2013","Aechmea_nudicaulis","Bromeliaceae","0.024676851","NA","0.026271613","NA","0","0","0","6"
"Matallana_etal_2010","Aechmea_pectinata","Bromeliaceae","0","NA","0","NA","0","0","0","1"
"Matallana_etal_2010","Aechmea_pineliana","Bromeliaceae","0.085762712","NA","0.05220339","NA","0","0","0","1"
"Matallana_etal_2010","Aechmea_vallerandii","Bromeliaceae","0","NA","0","NA","0","0","0","4"
"Wolowski_etal_2013","Aechmea_van-houtteana","Bromeliaceae","0.225373623","NA","0.004799825","NA","0","0","0","1"
"Matallana_etal_2010","Aechmea_victoriana","Bromeliaceae","0.743286788","NA","0","NA","0","0","0","1"
"Ge_Sun_1999","Aegiceras_corniculatum","Primulaceae","NA","NA","NA","NA","0","0","0","5"
"Singhal_etal_2011","Aegle_marmelos","Rutaceae","NA","NA","NA","NA","0","1","2","2"
"Ramirez_Brito_1990","Aeschynomene_pratensis_caribaea","Leguminosae","0.905322349","1","0.305086962","1","1","1","1","6"
"Neel_2002","Agalinis_acuta","Orobanchaceae","NA","NA","NA","NA","1","0","0","1"
"Mulvaney_etal_2004","Agalinis_auriculata","Orobanchaceae","0.975","0.926083763","0.975","0.9655","1","0","0","4"
"Stewart_etal_1996","Agalinis_neoscotica","Orobanchaceae","NA","NA","NA","NA","1","0","0","1"
"Dieringer_1999","Agalinis_skinneriana","Orobanchaceae","0.974221223","NA","0.896085597","NA","1","0","0","5"
"Johnson_etal_2009b","Agapanthus_campanulatus","Amaryllidaceae","0.777777778","0.715909091","0.142222222","0.079545455","0","0","0","1"
"Arizaga_etal_2000","Agave_macroacantha","Asparagaceae","0.082051282","NA","0.068205128","NA","0","0","0","1"
"Weston_etal_2012","Agelanthus_brunneus","Loranthaceae","0.88851256","NA","0","NA","0","0","0","3"
"Weston_etal_2012","Agelanthus_djurensis","Loranthaceae","1","NA","0.047325976","NA","0","0","0","1"
"Hao_etal_2011","Ageratina_adenophora","Compositae","NA","NA","NA","NA","0","1","57","1"
"Rambuda_Johnson_2004","Ageratina_adenophora","Compositae","NA","NA","NA","NA","0","1","57","1"
"Figueroa-Castro_Cano-Santana_2011","Ageratina_petiolaris","Compositae","NA","NA","NA","NA","0","0","0","1"
"Hao_etal_2011","Ageratum_conyzoides","Compositae","NA","NA","NA","NA","1","1","197","5"
"McMullen_1987","Ageratum_conyzoides","Compositae","NA","NA","NA","NA","1","1","197","5"
"Kawagoe_Suzuki_2005","Akebia_quinata","Lardizabalaceae","0","NA","NA","NA","0","1","27","2"
"Bawa_1974","Albizia_saman","Leguminosae","0","NA","NA","NA","0","1","59","3"
"Li_etal_2012","Alcea_rosea","Malvaceae","0.969688619","0.972021661","0.33149628","0.284747292","0","1","98","0"
"Ladley_etal_1997","Alepis_flavida","Loranthaceae","0.828473413","NA","1","NA","0","0","0","1"
"Sigrist_Sazima_2004","Alicia_anisopetala","Malpighiaceae","0.212121212","NA","0.515151515","NA","0","0","0","3"
"Anderson_etal_1996","Alliaria_petiolata","Brassicaceae","1","0.791793313","0.584657855","0.476697062","1","1","50","11"
"Botes_etal_2009","Aloe_africana","Xanthorrhoeaceae","0","NA","NA","NA","0","0","0","1"
"Symes_etal_2009","Aloe_greatheadii_davyana","Xanthorrhoeaceae","NA","NA","NA","NA","0","0","0","2"
"Botes_etal_2009","Aloe_hexapetala","Xanthorrhoeaceae","0","NA","NA","NA","0","0","0","1"
"Hargreaves_etal_2008","Aloe_inconspicua","Xanthorrhoeaceae","0.055555556","NA","0","NA","0","0","0","1"
"Botes_etal_2009","Aloe_lineata_muirii","Xanthorrhoeaceae","0","NA","NA","NA","0","0","0","1"
"Pailler_etal_2000","Aloe_macra","Xanthorrhoeaceae","0.5232","0.095756257","0.0416","0.007616975","0","0","0","1"
"Symes_etal_2009","Aloe_marlothii","Xanthorrhoeaceae","NA","NA","NA","NA","0","0","0","2"
"Pailler_etal_2002","Aloe_mayottensis","Xanthorrhoeaceae","0.562647754","0.64586357","0.591016548","0.490566038","0","0","0","1"
"Arena_etal_2013","Aloe_peglerae","Xanthorrhoeaceae","NA","NA","NA","NA","0","0","0","1"
"Botes_etal_2009","Aloe_pluridens","Xanthorrhoeaceae","0","NA","NA","NA","0","0","0","1"
"Wilson_etal_2009","Aloe_pruinosa","Xanthorrhoeaceae","0","0","NA","NA","0","0","0","1"
"Morales_Galetto_2003","Aloysia_gratissima","Verbenaceae","NA","NA","NA","NA","0","1","1","6"
"Li_etal_2002","Alpinia_kwangsiensis","Zingiberaceae","0.736132365","NA","0.060097122","NA","0","0","0","1"
"Zhang_etal_2003","Alpinia_roxburghii","Zingiberaceae","0.998859749","NA","NA","NA","0","0","0","4"
"Aizen_Basilio_1995","Alstroemeria_aurea","Alstroemeriaceae","0.726011561","0.593794076","0","0","0","1","8","1"
"Arroyo_Uslar_1993","Alstroemeria_ligtu_simsii","Alstroemeriaceae","0.419358266","0.197029703","0.26561836","0.112871287","0","0","0","2"
"Arroyo_Uslar_1993","Alstroemeria_pallida","Alstroemeriaceae","0.445292898","0.413363533","0.196138322","0.148357871","0","0","0","1"
"Gonzalez_Perez_2010","Alstroemeria_philippii","Alstroemeriaceae","NA","NA","NA","NA","0","0","0","1"
"Gonzalez_Perez_2010","Alstroemeria_werdermannii","Alstroemeriaceae","NA","NA","NA","NA","0","0","0","1"
"McMullen_1987","Alternanthera_echinocephala","Amaranthaceae","NA","NA","NA","NA","0","0","0","2"
"Schvinn_etal_2014","Amasonia_obovata","Lamiaceae","0.919098526","0.944444444","0.115573534","NA","0","0","0","2"
"Morales_Galetto_2003","Amblyopetalum_coccineum","Apocynaceae","NA","NA","NA","NA","0","0","0","1"
"Friedman_Barrett_2008","Ambrosia_artemisiifolia","Compositae","NA","NA","NA","NA","1","1","93","11"
"Wanderley_etal_2014","Ameroglossum_pernambucense","Scrophulariaceae","0.983733847","0.997003621","0.57577288","0.346543216","0","0","0","2"
"Linares_Koptur_2010","Amorpha_herbacea_crenulata","Leguminosae","NA","NA","NA","NA","0","0","0","1"
"Morales_Galetto_2003","Amphilophium_cynanchoides","Bignoniaceae","0","NA","0","NA","0","0","0","2"
"Gibbs_Talavera_2001","Anagallis_monelli","Primulaceae","1","NA","NA","NA","0","1","1","3"
"Gonjito_etal_2010","Anathallis_liparanges","Orchidaceae","0","NA","0","NA","0","0","0","1"
"Gonjito_etal_2010","Anathallis_microphyta","Orchidaceae","0","NA","0","NA","0","0","0","2"
"Gonjito_etal_2010","Anathallis_rubens","Orchidaceae","0","NA","0","NA","0","0","0","1"
"Gonjito_etal_2010","Anathallis_sclerophylla","Orchidaceae","0.259090909","NA","0","NA","0","0","0","6"
"Bawa_etal_1985","Anaxagorea_crassipetala","Annonaceae","0.731707317","NA","NA","NA","0","0","0","3"
"Froborg_1996","Andromeda_polifolia","Ericaceae","0.542467113","NA","0.800138991","NA","0","0","0","7"
"McKone_etal_1998","Andropogon_gerardii","Poaceae","NA","NA","NA","NA","0","0","0","10"
"Douglas_Cruden_1994","Anemone_canadensis","Ranunculaceae","0.007407407","NA","0.046296296","NA","0","0","0","8"
"Murphy_Vasseur_1995","Anemone_hepatica_acuta","Ranunculaceae","NA","0.640849984","NA","NA","0","0","0","8"
"Muller_etal_2000","Anemone_nemorosa","Ranunculaceae","NA","NA","NA","NA","0","1","7","6"
"Lindell_1998","Anemone_patens","Ranunculaceae","1","NA","0.620512472","NA","0","1","1","15"
"Lindell_1998","Anemone_pulsatilla","Ranunculaceae","0.84725","NA","0.394","NA","0","0","0","5"
"Motten_1986","Anemonella_thalictroides","Ranunculaceae","NA","NA","NA","NA","0","1","1","4"
"Sampaio_etal_2013","Anemopaegma_acutifolium","Bignoniaceae","1","1","0.098332375","NA","0","0","0","2"
"Barrios_Koptur_2011","Angadenia_berteroi","Apocynaceae","0.101876676","NA","0.011872846","NA","0","1","1","2"
"Machado_etal_2006","Angelonia_bisaccata","Plantaginaceae","0","NA","0","NA","0","0","0","1"
"Machado_etal_2006","Angelonia_cornigera","Plantaginaceae","0","NA","0","NA","0","0","0","1"
"Machado_etal_2006","Angelonia_hirta","Plantaginaceae","0","NA","0","NA","0","0","0","1"
"Machado_etal_2006","Angelonia_hookeriana","Plantaginaceae","0","NA","0","NA","0","0","0","1"
"Machado_etal_2006","Angelonia_pubescens","Plantaginaceae","1","NA","1","NA","0","0","0","1"
"Michenau_etal_2006","Angraecum_striatum","Orchidaceae","0.817238095","NA","0","NA","0","0","0","1"
"Duan_etal_2007","Anisodus_tanguticus","Solanaceae","0.523809524","0.284638723","0.196904762","0.023073167","0","0","0","2"
"Richardson_Anderson_1996","Annona_cherimola","Annonaceae","1","NA","NA","NA","0","1","34","1"
"Rosquist_2001","Anthericum_liliago","Asparagaceae","0.946296296","NA","NA","NA","0","1","1","5"
"Rosquist_2001","Anthericum_ramosum","Asparagaceae","0.677873188","NA","NA","NA","0","0","0","7"
"Navarro_1999","Anthyllis_vulneraria","Leguminosae","0.542666667","NA","0","NA","0","1","22","13"
"Carrio_etal_2009","Antirrhinum_charidemi","Plantaginaceae","0.10722997","NA","0.07517943","NA","0","0","0","1"
"Torres_etal_2002","Antirrhinum_microphyllum","Plantaginaceae","0.029642058","NA","NA","NA","0","0","0","1"
"Carrio_etal_2009","Antirrhinum_subbaeticum","Plantaginaceae","0.934918409","NA","0.140676396","NA","0","0","0","1"
"Carrio_etal_2009","Antirrhinum_valentinum","Plantaginaceae","0.15453708","NA","0.14866421","NA","0","0","0","1"
"Mateu-Andres_Segarra-Moragues_2004","Antirrhinum_valentinum","Plantaginaceae","0.305280528","NA","0.366336634","NA","0","0","0","1"
"Cursach_Rita_2012b","Apium_bermejoi","Apiaceae","NA","NA","NA","NA","0","0","0","1"
"Brunet_Sweet_2006","Aquilegia_caerulea","Ranunculaceae","NA","NA","NA","NA","0","0","0","3"
"Eckert_Schaefer_1998","Aquilegia_canadensis","Ranunculaceae","NA","NA","NA","NA","0","0","0","7"
"Routley_etal_1999","Aquilegia_canadensis","Ranunculaceae","NA","NA","NA","NA","0","0","0","7"
"Matallana_etal_2010","Araeococcus_parviflorus","Bromeliaceae","0","NA","0","NA","0","0","0","1"
"Barrett_Helenurm_1987","Aralia_nudicaulis","Araliaceae","NA","NA","0","NA","0","0","0","7"
"Tepedino_etal_2014","Arctomecon_humilis","Papaveraceae","0.59258642","0.317543935","0.083","0.09004329","0","0","0","1"
"Bawa_etal_1985","Ardisia_nigropunctata","Primulaceae","1","NA","NA","NA","0","0","0","2"
"Bawa_1974","Ardisia_revoluta","Primulaceae","0.445945946","NA","NA","NA","0","0","0","2"
"Fishman_Wyatt_1999","Arenaria_uniflora","Caryophyllaceae","NA","0.912628768","NA","0.103777184","1","0","0","1"
"Nerd_etal_1998","Argania_spinosa","Sapotaceae","0.078825348","NA","0","NA","0","1","2","2"
"Schneider_Nichols_1984","Argemone_aurantiaca","Papaveraceae","NA","NA","NA","NA","1","0","0","1"
"Carr_etal_1986","Argyroxiphium_sandwicense_macrocephalum","Compositae","NA","NA","NA","NA","0","0","0","1"
"Martinez-Peralta_etal_2014","Ariocarpus_agavioides","Cactaceae","0.126605505","NA","NA","NA","0","0","0","1"
"Martinez-Peralta_etal_2014","Ariocarpus_bravoanus","Cactaceae","0","NA","NA","NA","0","0","0","1"
"Martinez-Peralta_etal_2014","Ariocarpus_fissuratus","Cactaceae","0.073170732","NA","NA","NA","0","0","0","2"
"Martinez-Peralta_Mandujano_2011","Ariocarpus_fissuratus","Cactaceae","0.099412341","NA","0","NA","0","0","0","2"
"Martinez-Peralta_etal_2014","Ariocarpus_kotschoubeyanus","Cactaceae","0.410367171","NA","NA","NA","0","0","0","1"
"Martinez-Peralta_etal_2014","Ariocarpus_retusus","Cactaceae","0.089958159","NA","NA","NA","0","0","0","1"
"Martinez-Peralta_etal_2014","Ariocarpus_retusus_trigonus","Cactaceae","0.082524272","NA","NA","NA","0","0","0","1"
"Martinez-Peralta_etal_2014","Ariocarpus_scaphirostris","Cactaceae","0.027777778","NA","NA","NA","0","0","0","1"
"Trujillo_Sersic_2006","Aristolochia_argentina","Aristolochiaceae","0.5","1","0","0","0","0","0","3"
"Zhang_etal_2014_c","Arnebia_szechenyi","Boraginaceae","0","0","0","NA","0","0","0","1"
"Luijten_etal_1996","Arnica_montana","Compositae","0.944059817","0.139723802","0.90210468","0.026807474","0","0","0","5"
"Diaz_etal_2006","Arum_italicum","Araceae","0.970588235","1","0","0","0","1","28","8"
"Diaz_etal_2006","Arum_italicum_neglectum","Araceae","1","1","0","0","0","1","28","8"
"Diaz_etal_2006","Arum_maculatum","Araceae","1","0.930156393","0","0","0","1","4","6"
"Sugiura_2014","Arundina_graminifolia","Orchidaceae","1","NA","NA","NA","0","1","17","5"
"Ward_etal_2012","Asclepias_curassavica","Apocynaceae","1","1","0","0","0","1","164","7"
"Himes_Wyatt_2005","Asclepias_exaltata","Apocynaceae","0.143145161","0.045840077","NA","NA","0","1","1","4"
"Lipow_Wyatt_1999","Asclepias_exaltata","Apocynaceae","0.198123533","0.106353591","NA","NA","0","1","1","4"
"Ivey_etal_1998","Asclepias_incarnata","Apocynaceae","0.084369757","0.078357289","NA","NA","0","0","0","8"
"Kephart_1981","Asclepias_incarnata","Apocynaceae","0.541813298","NA","NA","NA","0","0","0","8"
"Lipow_Wyatt_2000","Asclepias_incarnata","Apocynaceae","NA","NA","NA","NA","0","0","0","8"
"Ivey_etal_1998","Asclepias_incarnata_pulchra","Apocynaceae","0.260539493","0.255290651","NA","NA","0","0","0","8"
"Wyatt_etal_1998","Asclepias_perennis","Apocynaceae","0","0","NA","NA","0","0","0","4"
"Wyatt_etal_1996","Asclepias_subulata","Apocynaceae","0.066447368","0.038076152","NA","NA","0","0","0","2"
"Kephart_1981","Asclepias_syriaca","Apocynaceae","0.082352941","NA","NA","NA","0","1","22","8"
"Wyatt_etal_1998","Asclepias_texana","Apocynaceae","0","0","NA","NA","0","0","0","2"
"Kephart_1981","Asclepias_verticillata","Apocynaceae","0","NA","NA","NA","0","0","0","8"
"Norman_etal_1992","Asimina_parviflora","Annonaceae","0.413560327","0.525641026","0.14375","0.333333333","0","0","0","2"
"DiazLifante_1996","Asphodelus_aestivus","Xanthorrhoeaceae","0.848103509","0.729368241","0.019142148","0.011098463","0","0","0","1"
"Oliveira_etal_2004","Aspidosperma_macrocarpon","Apocynaceae","0","NA","NA","NA","0","0","0","4"
"Ramirez_Seres_1994","Asplundia_fendleri","Cyclanthaceae","1","0.566249599","NA","NA","0","0","0","1"
"Ramirez_Seres_1994","Asplundia_moritziana","Cyclanthaceae","1","0.605935387","NA","NA","0","0","0","3"
"Razanajatovo_vanKleunen_unpubl","Aster_amellus","Compositae","NA","NA","NA","NA","0","1","2","8"
"Hao_etal_2011","Aster_subulatus","Compositae","NA","NA","NA","NA","1","1","64","13"
"Bullock_1985","Astianthus_viminalis","Bignoniaceae","0.9375","NA","NA","NA","0","0","0","2"
"Kaye_1999","Astragalus_australis","Leguminosae","NA","NA","NA","NA","0","0","0","12"
"Becker_etal_2011","Astragalus_exscapus","Leguminosae","NA","0.694530513","NA","NA","0","0","0","4"
"Watrous_Cane_2011","Astragalus_filipes","Leguminosae","0.916267362","NA","0.45139388","NA","0","0","0","4"
"Karron_1989","Astragalus_linifolius","Leguminosae","0.730556949","NA","0.280732564","NA","0","0","0","1"
"Karron_1989","Astragalus_lonchocarpus","Leguminosae","0.995333644","NA","0.181054596","NA","0","0","0","3"
"Karron_1989","Astragalus_osterhoutii","Leguminosae","NA","NA","NA","NA","0","0","0","1"
"Karron_1989","Astragalus_pectinatus","Leguminosae","0.188622754","NA","0","NA","0","0","0","3"
"Tanner_etal_2013","Astragalus_phoenix","Leguminosae","NA","NA","NA","NA","0","0","0","1"
"Aizen_Feinsinger_1994","Atamisquea_emarginata","Capparaceae","0.042553191","NA","0","NA","0","0","0","3"
"Tadey_etal_2009","Atriplex_lampa","Amaranthaceae","NA","NA","NA","NA","0","1","2","1"
"McMullen_1987","Avicennia_germinans","Acanthaceae","NA","NA","NA","NA","0","0","0","11"
"Coupland_etal_2006","Avicennia_marina","Acanthaceae","NA","NA","0","NA","0","1","1","17"
"Bullock_1985","Ayenia_micrantha","Malvaceae","0.153846154","NA","NA","NA","0","0","0","2"
"vanKleunen_etal_2008","Babiana_angustifolia","Iridaceae","NA","NA","NA","NA","0","1","5","1"
"vanKleunen_etal_2008","Babiana_odorata","Iridaceae","NA","NA","NA","NA","0","0","0","1"
"Jaimes_Ramirez_1997","Badiera_caracasana","Polygalaceae","0.467941176","0.480769231","0.416617647","0.403846154","0","0","0","2"
"Ndoye_etal_2004","Balanites_aegyptiaca","Zygophyllaceae","1","NA","1","NA","0","1","2","9"
"Gonzalez_Perez_2010","Balbisia_peduncularis","Vivianiaceae","NA","NA","NA","NA","0","0","0","2"
"Sigrist_Sazima_2004","Banisteriopsis_adenopoda","Malpighiaceae","1","NA","0.149700599","NA","0","0","0","2"
"Sigrist_Sazima_2004","Banisteriopsis_muricata","Malpighiaceae","0.044736842","NA","0","NA","0","0","0","6"
"Zapata_Arroyo_1978","Banisteriopsis_muricata","Malpighiaceae","1","0.833333333","0","0","0","0","0","6"
"Day_etal_1997","Banksia_brownii","Proteaceae","NA","NA","NA","NA","0","0","0","1"
"Carthew_etal_1996","Banksia_ericifolia","Proteaceae","0.272151899","NA","NA","NA","0","1","1","1"
"Goldingay_Carthew_1998","Banksia_ericifolia","Proteaceae","NA","NA","NA","NA","0","1","1","1"
"Heliyanto_etal_2005","Banksia_ilicifolia","Proteaceae","0.269349845","0.282798834","0.018575851","0.023323615","0","0","0","1"
"Vaughton_2006","Banksia_marginata","Proteaceae","NA","NA","NA","NA","0","0","0","1"
"Goldingay_Carthew_1998","Banksia_menziesii","Proteaceae","NA","NA","NA","NA","0","0","0","1"
"Ramsey_Vaughton_1991","Banksia_menziesii","Proteaceae","0","NA","0","NA","0","0","0","1"
"Goldingay_Carthew_1998","Banksia_paludosa","Proteaceae","NA","NA","NA","NA","0","0","0","1"
"Carthew_etal_1996","Banksia_spinulosa","Proteaceae","0.409574468","NA","NA","NA","0","0","0","1"
"Goldingay_Carthew_1998","Banksia_spinulosa","Proteaceae","NA","NA","NA","NA","0","0","0","1"
"McMullen_1987","Bastardia_viscosa","Malvaceae","NA","NA","NA","NA","0","1","1","4"
"Lau_etal_2009","Bauhinia_championii","Leguminosae","0.463235294","NA","NA","NA","0","0","0","3"
"Leite_Machado_2010","Bauhinia_cheilantha","Leguminosae","0","NA","0","NA","0","0","0","5"
"Lau_etal_2009","Bauhinia_corymbosa","Leguminosae","0.050917431","NA","NA","NA","0","1","1","2"
"Lau_etal_2009","Bauhinia_glauca","Leguminosae","0","NA","NA","NA","0","0","0","4"
"Bawa_1974","Bauhinia_ungulata","Leguminosae","0.152553191","0.0825","NA","NA","0","0","0","4"
"Arroyo_Squeo_1990","Benthamiella_nordenskjoldii","Solanaceae","0","0","0","0","0","0","0","1"
"Peter_etal_2004","Bergeranthus_multiceps","Aizoaceae","0","NA","0","NA","0","0","0","1"
"Stein_Hensen_2013","Besleria_melancholica","Gesneriaceae","0.226222622","NA","0","NA","0","0","0","1"
"Huang_Kao_2014","Bidens_alba_radiata","Compositae","NA","NA","NA","NA","1","0","0","6"
"Razanajatovo_vanKleunen_2016","Bidens_connata","Compositae","NA","NA","NA","NA","1","1","10","24"
"Razanajatovo_vanKleunen_2016","Bidens_frondosa","Compositae","NA","NA","NA","NA","1","1","44","9"
"Hao_etal_2011","Bidens_pilosa","Compositae","NA","NA","NA","NA","1","1","280","8"
"Huang_Kao_2014","Bidens_pilosa","Compositae","NA","NA","NA","NA","1","1","280","8"
"Jaimes_Ramirez_1997","Bidens_pilosa","Compositae","1","1","1","1","1","1","280","8"
"McMullen_1987","Bidens_pilosa","Compositae","NA","NA","NA","NA","1","1","280","8"
"Razanajatovo_vanKleunen_2016","Bidens_tripartita","Compositae","NA","NA","NA","NA","1","1","21","24"
"Matallana_etal_2010","Billbergia_amoena","Bromeliaceae","0.203768116","NA","0","NA","0","0","0","1"
"Matallana_etal_2010","Billbergia_bradeana","Bromeliaceae","1","NA","0","NA","0","0","0","1"
