accepted_species,source_excel_row,SI,SC,Mixed mating,autonomous selfing/agagamospermy,evidence for selfing,references,notes,notes.1,notes.2,locality,review_status,source_record,source_sha256,compatibility_flag_present
Paphiopedilum villosum,51,,,,,,Bänziger 1996,,,,"NE India, SE Asia, S China",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Phragmipedium longifolium,57,,1,,,1,"Dodson 1966, Pemberton 2011, Díaz-Morales et al. 2019",,,,"C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Calopogon barbatus,64,,,,,,Roberson 1887,,,,N Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Calopogon pallidus,65,,,,,,"Luer 1975, Argue 2012b",Apis mellifera is a non-indigenous pltr,,,N Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Dilochia wallichii,89,,1,,1,2,Smith 1928 cited by Catling 1990,,,,"SE Asia Malesia (Java, Sumatra)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pholidota imbricata,93,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pleione formosana,128,,1,,,,Chen et al. 2019,,,,Asia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Plocoglottis gigantea,131,,,,,,Ridley 1896 ,,,,"Asia, Malaysia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Agrostophyllum crassicaule,139,,1,,1,,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Agrostophyllum dischorense,141,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Agrostophyllum graminifolium,142,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Agrostophyllum montanum,143,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Agrostophyllum pelorioides,144,,1,,1,2,Smith 1928 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Agrostophyllum stenophyllum,145,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Agrostophyllum superpositum,146,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Bletia campanulata,151,,1,,1,2,Dressler 1968,,,,Mex,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Bletia corallicola,153,,1,,1,2,"Ackerman 1995, van der Cingel 2001",formerly Basiphyllaea,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Bletia patula,156,,,,,2,Ackerman & Carromero 2005; Recart et al. 2013,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Bletia purpurea,157,,1,,1,2,"Dodson & Frymire 1961, Catling 1990",,,,"S Am, Ecuador",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Bletia spicata,160,,1,,1,,Catling 2004 cited by Argue 2012b,,as Hexalectris  ,,N Am (Ariz),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Corallorhiza ekmanii,169,,1,1,1,2,Freudenstein 1997,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Corallorhiza odontorhiza,172,,1,1,1,1,Catling 1983b; Freudenstein 1997,highly variable from cleistogamous to outcrossing,,,N Am ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Corallorhiza striata,173,,,,,2,"Freudenstein 1997, Téllez-Baños et al. 2023",,,,N Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cremastra appendiculata,175,,,,,,Sugiura 1996b,,,,Asia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Arpophyllum giganteum,193,,,,,,"Cardoso-Gustavson et al. 2018, Karremans ined video",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Brassavola cucullata,201,,,,,,Chipka 2009,,,,"WI, C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Broughtonia sanguinea,206,,1,1,1,,Sauleda & Adams 1984,,,mentions a rare selfing form,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Caularthron bicornutum,250,,,,,,Braga 1977,,,,S Am Bra (Amazonas),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Caularthron bilamellatum,251,,1,,1,1,Catling 1990; Klose & Zotz 2024,,,,"Mex, C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Dimerandra emarginata,253,,1,,1,2,"Hamer 1984, Zotz 1998",,,,"S Am, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Domingoa haematochila,255,,,,,,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Guarianthe skinneri,352,,1,,,,"Mora Monge & Valerio 1988 cited by Dressler 2005, Pemberton 2007 (pltr as Eg. viridissima)",,,,"C Am, N Am (Florida)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Homalopetalum vomeriforme,353,,1,,1,,Withner 1998,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Laelia lyonsii,359,,1,1,1,,"Bennett in van der Pijl & Dodson 1966, Jones 1967",,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Laelia marginata,360,,1,1,1,, Jones 1968 cited by Catling 1990,,,as Schomburgkia crispa,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Laelia undulata,367,,1,,1,2,Jones 1967; Jones 1968 cited by Catling 1990,,,,WI (Trinidad),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Myrmecophila humboldtii,372,,1,,1,2,Jones 1967,as Schomburgkia ,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Myrmecophila thomsoniana,373,,1,,,1,Rose-Smyth 2019,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Nidema boothii,374,,1,1,1,2,Damon & Salas-Rivero 2007; Luer 1972,,,,"Mex, S Florida",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Nidema ottonis,375,,1,,1,2,Ackerman et al. 2014,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prosthechea boothiana,377,,1,,1,2,Luer 1972; Catling 1990,,,,"WI, N Am (Florida)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prosthechea chacaoensis,378,,1,1,1,,Dressler & Pollard 1976,,,,"Mex, SC Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prosthechea crassilabia,380,,,,,,Dodson 1965 cited by van der Pijl & Dodson 1966,,,,"S Am, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Prosthechea fragrans,382,,1,,,1,Cabrera Reyes et al. 2021,,,,S Am Ecu,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prosthechea pygmaea,384,,1,1,1,2,Ackerman 1995,cleistogamous and open flowers,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prosthechea spondiada,385,,1,,1,2,Karremans pers. obs.,,,,C Am (Costa Rica),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prosthechea vespa,386,,,,,,Braga 1977,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Psychilis kraenzlinii,388,1,,,,1,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Psychilis macconnelliae,390,,,,,,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Psychilis monensis,391,1,,,,1,Aragón & Ackerman 2004; Ackerman et al. 2014,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Rhyncholaelia digbyana,392,,,,,,Fuchs cited by van der Pijl & Dodson 1966,,,,"Mex, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Rhyncholaelia glauca,393,,,,,,Dressler 1980,,,,Mex,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Scaphyglottis bidentata,394,,,,,,Dressler 2005b,,,,"C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Scaphyglottis imbricata,395,,,,,,Stpiczynska et al. 2005,,,,"Mex, C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Scaphyglottis modesta,398,,1,,1,2,"Adams 1993, Feldmann & Barré 19993",,,,"S Am, WI",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Scaphyglottis punctulata,399,,1,1,1,2,Ackerman et al. 2014,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Acianthera angustifolia,404,,1,1,1,2,Catling 1990,,,as Pleurothallis carioi,"WI, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Acianthera luteola,414,,,,,,Singer & Cocucci 1999b,,,,S Am Bra (Parana),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Anathallis obovata,424,,,,,,Karremans ined video,,,,"WI, S Am, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Anathallis sertularioides,425,,1,,,1,Martin 2007,,,,"Mex, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Dilomilis montana,428,,1,,,1,Tyrrell & Tyrrell 1990; Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Dracula chimaera,431,,,,,,Karremans & Díaz-Morales 2019,,,,S Am Col,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Lepanthes dodiana,453,,1,,1,2,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Muscarella helenae,503,,1,,1,2,Karremans & Vieira-Uribe 2020,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pleurothallis quadrifida,541,,1,1,1,2,"Damon & Salas-Rivero 2007, Ackerman 1995, Karremans ined video; Hamer 1984",,,,"Mex, C Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Specklinia corniculata,562,,1,,1,2,Hamer 1984 cited by Catling 1990,,,as Pleurothallis corniculata,C Am (Hon),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Specklinia grobyi,566,,,,,,Damon & Salas-Rivero 2007,,,as S. marginata,Mex,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stelis antillensis,577,,,,1,,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stelis deregularis,585,,1,,1,2,Karremans pers. obs.,,,,C Am (Costa Rica),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Stelis gelida,587,,,,,,Karremans ined photos,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Stelis pittieri,597,,,,,,Duque 1993 IDs confirmed Karremens,,,,S Am Col,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Trichosalpinx blaisdellii,610,,,,,,Bogarín et al. 2018,,,,CAm,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Didymoplexis cornuta,618,,1,,1,,Smith 1928 cited by Catling 1990,,,,"Malesia (Java, Borneo)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Crepidium khasianum,894,,,,,,Wu et al. 2023,,,,China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Crepidium soleiforme,897,,,,1,,Smith 1928 cited by Catling 1990,,,,Malesia (Java),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Dienia ophrydis,898,,1,,1,2,"Ridley 1896, Wu et al. 2023",,,,"Malaysia, China",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Liparis caespitosa,900,,,,1,1,"Schlechter 1914 cited by Catling 1990, Jacquemyn et al. 2005",,,,"C Afr, Mad, Mascarenes (Reunion, Mauritius), S Asia, Malesia, New Guiea, Melanesia, Japan",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Liparis elliptica,903,,,,,,Wu et al. 2023,,,,China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Liparis ferruginea,904,,1,,1,2,Wing et al. 2009,,,,Singapore,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Liparis flavescens,905,,,,,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Liparis gigantea,906,,1,1,1,1,Qi et al. 2024,,,,Asia  China Guangxi,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Liparis reflexa,910,,,,,,Wallace 1974 cited by Beardsell & Bernhardt 1982; Adams & Lawson 1993; Akam 1990 cited by Adams & Lawson 1993,,,,Austra (NSW),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Liparis salassia,911,,1,,1,1,Jacquemyn et al. 2005 ,as L. purpurascens,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Liparis scaposa,912,,1,,1,1,Jacquemyn et al. 2005,,,,Macarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Liparis viridiflora,913,,1,,1,2,"Schlechter 1922a cited by Catling 1990 [but not in his lit cit section], Wu et al 2023",,,as L. longipies,"China, S Asia, Malesia, New Guinea, Taiwan",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Malaxis histionantha,915,,1,,1,2,Ridley 1888 cited by Catling 1990,,,as Microchilus histionantha,"Mex, C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Malaxis massonii,916,,1,,,1,Aragon & Ackerman 2001,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Malaxis unifolia,920,,,,,,L Reeves in Christensen 1994,,,,N Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oberonia cleistogama,925,,1,,1,,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Oberonia disticha,926,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Oberonia ensiformis,927,,,,,,Wu et al. 2023,,,,China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oberonia japonica,930,,,,,,Wu et al. 2023; Sunakawa et al. 2024,as var. luchuensis -- Wu et al.; var. japonica Sunakawa et al.,,,Asia China Yunnan; Japan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oberonia linearis,931,,1,,1,2,Smith 1928 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Oberonia mucronata,932,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oberonia longibracteata,933,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oberonia rufilabris,934,,,,,,"Huda & Wilcock 2008, Wu et al. 2023",,,,"Asia Bangladesh, China",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oberonia variabilis,935,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Limodorum trabutianum,974,,1,,1,2,Claessens & Kleynen 2014; Pais et al 1986,,,,Eur,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Palmorchis powellii,982,,,,,,Dressler 1983,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Nervilia bicarinata,987,,,,,,Pettersson 1989,,,,Afr Malawi,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Nervilia concolor,988,,1,,1,2,Jones 1988,,,,Australia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Appendicula bracteata,998,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Appendicula flaccida,1003,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Bryobium pudicum,1010,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Callostylis rigida,1011,,,,,2,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
