stratum,context,outcome,n_islands_original,n_species_trials_original,kappa_original,optimizer_success_original,geography_slope_log_odds_original,cluster_robust_se_original,p_value_original,n_islands_corrected,n_species_trials_corrected,kappa_corrected,optimizer_success_corrected,geography_slope_log_odds_corrected,cluster_robust_se_corrected,p_value_corrected,_merge
all_native,tropical,selfing_mating_system,90,742,162754.79141900392,True,-0.0131820059506962,0.0769095235675496,0.863912182547269,90,742,162754.79141900392,True,-0.0111044978642618,0.0740591831440032,0.8808112717890868,both
all_native,tropical,shallow_open_tube,125,3379,80.82070023951027,True,-0.0926465942928178,0.1158323720322573,0.4238073571380755,125,3379,82.7770909671157,True,-0.0855583338777944,0.1167836940606739,0.463788850518657,both
all_observed,northern_high_latitude,actinomorphic_symmetry,359,18114,256.75785956482486,True,0.190996729269865,0.0842779090318779,0.0234346883430218,359,18114,307.7329726611485,True,0.2236874277757147,0.0866299112982143,0.0098200029210756,both
all_observed,northern_high_latitude,autonomous_selfing,321,9243,162754.79141900392,True,0.1303468627059626,0.0494802877782053,0.0084306237134564,321,9243,162754.79141900392,True,0.1496676844980936,0.0596407735962904,0.0120907018961047,both
all_observed,northern_high_latitude,generalized_form,324,14230,162754.79141900392,True,0.0275592226107605,0.0262297422297995,0.2934028338879014,324,14230,162754.79141900392,True,0.0208789083535527,0.0310429772325992,0.501214063174769,both
all_observed,northern_high_latitude,plain_colour,380,19686,877.5946988700142,True,0.0175892295507974,0.0195533708973941,0.3683599185808694,380,19686,912.9194956418522,True,0.0313237607344807,0.022297881762337,0.1600848085907674,both
all_observed,northern_high_latitude,self_compatibility,368,18259,162754.79141900392,True,0.0860286125578971,0.0394035056395064,0.0290157068218919,368,18259,162754.79141900392,True,0.1098978241415799,0.0456421482092736,0.0160483350027948,both
all_observed,northern_high_latitude,selfing_mating_system,342,14066,162754.79141900392,True,0.0845862153765271,0.0227883507903232,0.000205775763191,342,14066,162754.79141900392,True,0.0851098886080387,0.0271022926305685,0.0016876301949767,both
all_observed,northern_high_latitude,shallow_open_tube,200,1653,162754.79141900392,True,0.2601490548696621,0.1475939949571518,0.0779681150471708,200,1653,162754.79141900392,False,0.3544813651007559,0.1771125359848227,0.045344233104951,both
all_observed,northern_midlatitude,actinomorphic_symmetry,2071,322632,284.37376536086697,True,0.0003916154703021,0.0182937754072324,0.9829209626116208,2070,322344,284.12280377439674,True,0.0046450528706119,0.0202816823000157,0.8188479301227711,both
all_observed,northern_midlatitude,autonomous_selfing,1964,166930,111.89373248210566,True,3.922706631459216e-05,0.0274144515450861,0.9988583152996462,1963,166840,111.52238327757048,True,0.0063810846650018,0.0276594603416621,0.8175465487223416,both
all_observed,northern_midlatitude,generalized_form,1952,236887,330.5837635332265,True,0.0289420113918791,0.023490721116335,0.2179261387401323,1951,236747,350.9485361955598,True,0.039638261875381,0.0218826424865458,0.0700786500806584,both
all_observed,northern_midlatitude,plain_colour,2069,297628,93.97962369644644,True,0.0021585732902896,0.0220138522273081,0.921888439339809,2068,297285,94.12483876957133,True,0.002954624879618,0.0212151459695715,0.8892371119294653,both
all_observed,northern_midlatitude,self_compatibility,2032,272840,257.76464710476955,True,0.0323294826753769,0.0280557371672329,0.2491852731134414,2031,272631,257.6175701753633,True,0.035751059383297,0.028942121886891,0.2167335767070392,both
all_observed,northern_midlatitude,selfing_mating_system,1915,211612,167.29487723461767,True,0.0571065053357127,0.0186004590025109,0.0021393949766472,1914,211487,176.12925560789364,True,0.0657314451490726,0.0190827076591652,0.0005719992442489,both
