source_species,japanese_name,life_form,major_habitat,surveyed_area,treated_month,open_fsr_percent,open_n,bagged_fsr_percent,bagged_n,exact_test_p
Aconitum yesoense,エゾトリカブト,iteroparous_perennial,Int,OT,Sept.,86.7,135,5.3,95,<0.001
Oreorchis patens,コケイラン,iteroparous_perennial,Int,KY,June,28.0,25,0.0,24,0.010
Trillium camschatcense,オオバナノエンレイソウ,iteroparous_perennial,Int,KY,May,89.4,85,8.8,34,<0.001
Smilacina japonica,ユキザサ,iteroparous_perennial,Int,AH,May,100.0,20,0.0,13,<0.001
Polygonatum odoratum,オオアマドコロ,iteroparous_perennial,Int,AH,June,87.1,31,0.0,69,<0.001
Hosta sieboldii,タチギボウシ,iteroparous_perennial,Int,AH,July,27.3,88,10.8,130,0.002
Hemerocallis dumortierii,ゼンテイカ,iteroparous_perennial,Int,AH,June,33.3,12,0.0,16,0.056
Symplocarpus foetidus,ザゼンソウ,iteroparous_perennial,Int,KY,Apr.,23.6,89,5.9,34,0.035
Lonicera gracilipes,ミヤマウグイスカグラ,woody,Int,AH,May,39.1,46,0.0,23,<0.001
Lonicera chrysantha,ネムロブシダマ,woody,Int,KY,May,23.4,47,0.0,20,0.026
Syringa reticulata,ハシドイ,woody,Int,AH,Aug.,14.3,42,0.0,100,<0.001
Acanthopanax divaricatus,ケヤマウコギ,woody,Int,AH,Aug.,68.8,64,0.0,60,<0.001
Acer ginnala,カラコギカエデ,woody,Int,AH,June,27.8,108,25.0,20,1.000
Staphylea bumalda,ミツバウツギ,woody,Int,UR,June,34.4,540,18.1,116,<0.001
Euonymus sieboldianus,マユミ,woody,Int,AH,July,24.6,183,0.0,56,<0.001
Euonymus oxyphyllus,ツリバナ,woody,Int,KY,June,1.0,98,5.9,34,0.063
Euonymus alatus,ニシキギ,woody,Int,OT,June,13.0,46,0.0,21,0.169
Pachysandra terminalis,フッキソウ,woody,Int,KY,May,89.7,97,14.0,50,<0.001
Lespedeza bicolor,エゾヤマハギ,woody,Int,AH,Aug.,46.2,91,0.0,96,<0.001
Spiraea salicifolia,ホザキシモツケ,woody,Int,UR,July,93.5,92,77.6,67,0.003
Sorbaria sorbifolia,ホザキナナカマド,woody,Int,UR,Aug.,100.0,43,77.8,36,0.003
Prunus padus,エゾノウワミズザクラ,woody,Int,UR,May,7.8,321,0.0,309,<0.001
Prunus maximowiczii,ミヤマザクラ,woody,Int,AH,May,55.6,99,0.0,108,<0.001
Malus baccata,エゾノコリンゴ,woody,Int,AH,June,90.5,21,81.8,22,0.343
