island_id,analysis_regime,island_latitude,island_longitude,distance_to_continent_km,spherical_coast_distance_km,seconds,island_segment_count
gshhg_2.3.7_h_05059f34c5d520b8f121,northern_midlatitude,56.13830938461538,-76.74748648563396,0.0,3.45550750189623,0.0159999998286366,21
gshhg_2.3.7_h_051a1add97a3f0466dd1,northern_midlatitude,66.25700415384615,12.805437311367903,0.0,6.8465596650080585,0.0319999998901039,50
gshhg_2.3.7_h_057f4c1ee75cd5b54938,tropical,-22.94030123076923,-43.8942626634696,0.0,0.1211996193830592,0.0149999998975545,22
gshhg_2.3.7_h_05c82caa974320394105,northern_high_latitude,70.93064107692308,82.89241287491572,0.0,0.0611054044377788,0.0309999999590218,18
gshhg_2.3.7_h_061edbd137bef34f96a7,northern_midlatitude,40.85503219230769,29.118110548071552,0.0,3.313146417061558,0.0159999998286366,12
gshhg_2.3.7_h_062dff688c0d93cb5efc,southern_extratropical,-38.713850692307695,146.6307622787806,0.0,1.2756846351766602,0.0160000000614672,32
gshhg_2.3.7_h_06606570822645b17b2c,northern_midlatitude,54.721286769230765,8.499918713179962,0.0,4.420786892281006,0.0159999998286366,23
gshhg_2.3.7_h_067b6a31cc6c3900c5f6,tropical,11.569617307692308,-15.937652603333,0.0,13.812556099780451,0.0160000000614672,54
gshhg_2.3.7_h_06fac0b51e4a817cbf37,northern_midlatitude,29.564066384615383,-91.86803497500476,0.0,0.6287517346400495,0.0310000001918524,82
gshhg_2.3.7_h_07bcb55c354c41075c9a,southern_extratropical,-23.82241676923077,151.36076761544908,0.0,4.110882722485429,0.0150000001303851,28
gshhg_2.3.7_h_07eb89947d8ef52ec8df,northern_midlatitude,47.56368469230769,-122.22504754807215,0.0,0.4205724123990913,0.0319999998901039,15
gshhg_2.3.7_h_07ecc582f50814d0c1ba,southern_extratropical,-53.62160696153846,-72.33530022711307,0.0,2.586692287013833,0.0309999999590218,41
gshhg_2.3.7_h_07fdd05fa0f1a89a9370,tropical,4.34128676923077,6.321045641730873,0.0,0.1555202476879567,0.0470000000204891,29
gshhg_2.3.7_h_0804a93150d863123482,southern_extratropical,-37.911199,147.75163658462077,0.0,0.1819262549471255,0.0150000001303851,15
gshhg_2.3.7_h_08438688d5e754b6e3a8,northern_midlatitude,62.940275538461535,21.387974096217217,0.0,0.5160910082678959,0.0159999998286366,33
gshhg_2.3.7_h_0873ba7ab54bb6624eda,northern_midlatitude,44.347164923076924,-68.50453365385799,0.0,1.5268812885562066,0.0149999998975545,14
gshhg_2.3.7_h_088cc0a4ea345ae1678f,southern_extratropical,-41.77408115384616,-73.22156496185004,0.0,0.0094082869192093,0.0630000000819563,29
gshhg_2.3.7_h_096127ffb5ffb7a8da4c,northern_midlatitude,27.98186369230769,-82.8247910360642,0.0,0.2749991833945462,0.0309999999590218,24
gshhg_2.3.7_h_096bcb03aef7161ab14f,northern_midlatitude,38.57476092307692,20.91534183845635,0.0,6.048866787833997,0.0160000000614672,22
gshhg_2.3.7_h_0981209195c6644ef5ab,tropical,21.528564,-87.2742452960645,0.0,0.8519364786063779,0.0150000001303851,40
gshhg_2.3.7_h_09908b026146467ba134,northern_midlatitude,34.14127992307692,-77.85139012087139,0.0,0.0623172833899273,0.0470000000204891,23
gshhg_2.3.7_h_099cc80aa00dd32bf3d0,tropical,-0.9707095384615384,-51.06357303169565,0.0,1.111822715653462,0.0620000001508742,28
gshhg_2.3.7_h_09a3a5f1577d69d93c81,southern_extratropical,-23.851405846153845,-45.33223281454414,0.0,1.7869189592041264,0.0319999998901039,101
gshhg_2.3.7_h_09a609cdfd174521857d,tropical,-15.589739384615385,136.55967821881268,0.0,3.7301909363875385,0.0,45
gshhg_2.3.7_h_09b94864e86e4f794c51,northern_midlatitude,34.562044846153846,-77.28463338452089,0.0,0.0370742818972959,0.0309999999590218,10
gshhg_2.3.7_h_09c69eec839306c40012,northern_midlatitude,45.99093146153846,34.728242440789465,0.0,0.4633475503182061,0.0160000000614672,21
gshhg_2.3.7_h_09e9515d700456d40280,southern_extratropical,-48.72926261538461,-75.50415363307633,0.0,65.791985719027,0.0470000000204891,57
gshhg_2.3.7_h_0ab5f0effe305b9bc5b5,northern_midlatitude,52.98431730769231,-81.30914779402288,0.0,13.679156467601109,0.0309999999590218,103
gshhg_2.3.7_h_0ab781a05783e7e2b216,northern_midlatitude,54.96115361538462,9.8747045132498,0.0,0.0554800675848144,0.0309999999590218,105
gshhg_2.3.7_h_0bd40dd8686fe3f74250,northern_midlatitude,62.557325,21.07495800000188,0.0,0.4322316996652374,0.0160000000614672,20
gshhg_2.3.7_h_0bf5c44ae5e958053a11,northern_midlatitude,25.359615461538464,-112.1111291520447,0.0,0.5585521499339811,0.078999999910593,29
gshhg_2.3.7_h_0bf7b3cbfd2ec9d02483,northern_midlatitude,66.34457023076924,33.829791497587124,0.0,5.969901970122606,0.0460000000894069,18
gshhg_2.3.7_h_0c5d160061456b39c20d,northern_midlatitude,49.486927461538464,-123.3937938667234,0.0,1.427803169298842,0.0470000000204891,55
gshhg_2.3.7_h_0c96c3f908fd9a55cc65,tropical,-2.249597,-79.92063882451741,0.0,0.0355643527310426,0.0309999999590218,15
gshhg_2.3.7_h_0cdc12b9e32222230d81,northern_midlatitude,63.00591246153847,7.548730494873037,0.0,0.5584281471744749,0.0309999999590218,143
gshhg_2.3.7_h_0d45a4c103f52dc77bc0,northern_midlatitude,31.17835246153846,-81.44331845672532,0.0,0.0036684552532194,0.0159999998286366,15
gshhg_2.3.7_h_0e0fee7ea9614c02dc22,northern_midlatitude,50.11699169230769,-124.96372262440802,0.0,2.533718305933637,0.0160000000614672,100
gshhg_2.3.7_h_0e5efa9d7548a9c891b4,northern_midlatitude,59.0844426923077,5.636415911754495,0.0,4.629350022254665,0.0310000001918524,33
gshhg_2.3.7_h_0eb67653e0f5037f271b,tropical,6.449668615384615,3.4207515313627064,0.0,0.1000086104780861,0.0149999998975545,18
gshhg_2.3.7_h_0ef7441a6b017dddd5d4,northern_midlatitude,60.10067307692307,22.91311951578572,0.0,0.9825908364173715,0.0159999998286366,28
gshhg_2.3.7_h_0f1f8de9894143387112,northern_high_latitude,69.57891846153846,-133.9221297358268,0.0,0.301175567192895,0.0319999998901039,31
gshhg_2.3.7_h_0f260208fd7d8681d6c3,tropical,-0.0381706153846153,-49.58993168525921,0.0,100.43254705621054,0.0309999999590218,91
gshhg_2.3.7_h_0faab010a442db18510a,tropical,3.576239230769231,9.676811860276938,0.0,0.1249702714065194,0.0309999999590218,17
gshhg_2.3.7_h_0faef0a6465dc14c598d,northern_midlatitude,44.350844,-68.43416550961697,0.0,2.241097810191512,0.0150000001303851,17
gshhg_2.3.7_h_0ff11adddf6838d8214e,northern_midlatitude,61.85335507692308,5.0216331678301005,0.0,0.1631964206699303,0.0310000001918524,112
gshhg_2.3.7_h_100548110dc193c4e6bc,tropical,-15.934578615384616,124.45536939182549,0.0,0.6011580943842566,0.0309999999590218,34
gshhg_2.3.7_h_105fa707dc4d998d09f2,southern_extratropical,-42.63148507692308,-73.49503483543039,0.0,46.7057710599188,0.0,21
