island_id,n_bombus_species_total,n_bombus_species_scored,n_bombus_species_unscored,n_environmentally_compatible_species,share_environmentally_compatible_species,environmental_compatibility_max,environmental_compatibility_mean,environmental_extrapolation_share,bombus_regime_set,primary_bombus_channel_analysis,global_comparison_only,n_trait_species,area_km2,log_island_area_km2,island_latitude,island_longitude,abs_latitude,spatial_block,climate_pc1,climate_pc2,climate_pc3,climate_pc4,distance_to_continent_km,log_distance_to_continent_km,legacy_v1_all_land_distance_km,legacy_v1_log_all_land_distance_km,analysis_regime,bombus_channel_state,plain_color_trials,plain_color_successes,plain_color_share,conspicuous_color_trials,conspicuous_color_successes,conspicuous_color_share,generalized_form_trials,generalized_form_successes,generalized_form_share,wind_mixed_trials,wind_mixed_successes,wind_mixed_share,showy_alternative_guild_trials,showy_alternative_guild_successes,showy_alternative_guild_share,other_bee_guild_trials,other_bee_guild_successes,other_bee_guild_share,generalist_insect_guild_trials,generalist_insect_guild_successes,generalist_insect_guild_share,spherical_coast_distance_km,original_projected_distance_km
gshhg_2.3.7_h_003be0507f772932109f,169,142,27,11,0.0774647887323943,0.7379762247814359,0.0908403318966461,0.7988165680473372,applicability_unresolved,False,True,0,7.784260035364706,2.172961487626445,22.979822846153844,-80.16623547751652,22.979822846153844,lat11_lon09,1.3614257698214434,1.3399047453117172,-0.0975015305059846,-0.4146658005647948,219.6742516925236,5.396687639907111,2.961154585591717,1.3765355447885543,tropical,0.7379762247814359,,,,,,,,,,,,,,,,,,,,,,219.6742516925236,259.3171881116959
gshhg_2.3.7_h_0049a8b24518fbc34d51,169,142,27,0,0.0,0.3928256048756154,0.0276860790932231,0.834319526627219,applicability_unresolved,False,True,0,21.55060575797658,3.115761928469331,-50.82735669230769,-74.12101080658915,50.82735669230769,lat03_lon10,0.6048896785242883,-3.051538573498612,1.2777403595592025,0.0107987087219585,1.1734676810140547,0.7763239017774057,0.0,0.0,southern_extratropical,0.3928256048756154,,,,,,,,,,,,,,,,,,,,,,1.1734676810140547,0.0
gshhg_2.3.7_h_004ad917629fdd5abe7e,169,142,27,35,0.2464788732394366,0.8724276898875055,0.2710044571453134,0.6390532544378699,applicability_unresolved,False,True,22,5.394411705077306,1.855424437848031,64.95194038461538,11.425115816141473,64.95194038461538,lat15_lon19,-0.6742490185800002,-0.7561576076326021,-0.2250389454527742,-0.387158898819666,0.6355694442393238,0.491991027650869,0.0,0.0,northern_midlatitude,0.8724276898875055,22.0,13.0,0.5909090909090909,22.0,9.0,0.4090909090909091,18.0,0.0,0.0,22.0,9.0,0.4090909090909091,22.0,0.0,0.0,22.0,15.0,0.6818181818181818,22.0,0.0,0.0,0.6355694442393238,0.0
gshhg_2.3.7_h_00524b5bdac8c50ab8ee,169,142,27,7,0.0492957746478873,0.7260596648010514,0.1262601264078902,0.834319526627219,applicability_unresolved,False,True,0,9.501250349381232,2.3514943309673617,-51.780957307692304,-73.61855029807181,51.780957307692304,lat03_lon10,-0.1505160336546924,-2.040055613960198,1.033148852347358,-0.6692056658763476,0.6486010283245488,0.49992706665304254,0.0,0.0,southern_extratropical,0.7260596648010514,,,,,,,,,,,,,,,,,,,,,,0.6486010283245488,0.0
gshhg_2.3.7_h_005581d54c1eb248551b,169,142,27,17,0.1197183098591549,0.8884424254348826,0.1909211585546872,0.757396449704142,applicability_unresolved,False,True,10,22.96206862368699,3.1764721060683345,58.55214746153846,-62.69813048582152,58.55214746153846,lat14_lon11,-2.389477475596081,-0.5390710904458466,-0.2549234216766003,-0.1903162862078119,2.796962973764117,1.3342015297573255,12.01902967258018,2.566412108087728,northern_midlatitude,0.8884424254348826,10.0,4.0,0.4,10.0,6.0,0.6,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.0,0.7,10.0,0.0,0.0,2.796962973764117,12.01902967258018
gshhg_2.3.7_h_0059cfe5da0cdaa5f7c4,169,142,27,39,0.2746478873239437,0.8381711042365114,0.2731467017773463,0.621301775147929,applicability_unresolved,False,True,33,211.7603784793368,5.360166548775227,58.54604261538461,-152.497996345719,58.54604261538461,lat14_lon02,-0.7228254380127143,-0.788657621742964,-0.4113699123572294,-0.506920945290709,45.70131708068945,3.8437723672897763,92.5028435377613,4.537991848000771,northern_midlatitude,0.8381711042365114,33.0,19.0,0.5757575757575758,33.0,14.0,0.4242424242424242,30.0,2.0,0.0666666666666666,33.0,11.0,0.3333333333333333,33.0,0.0,0.0,33.0,25.0,0.7575757575757576,33.0,1.0,0.0303030303030303,45.70131708068945,92.5028435377613
gshhg_2.3.7_h_00647303e0fd25d47112,169,142,27,1,0.0070422535211267,0.6527151373879959,0.0289410375939967,0.8402366863905325,applicability_unresolved,False,True,0,14.725453371280263,2.75528063341288,-2.558057461538461,147.28359742308038,2.558057461538461,lat08_lon32,3.231576634103285,-1.4322397465396863,-0.9408224156804874,-0.3730759920758448,1042.2937537813557,6.950138058473692,297.5505322564917,5.69893920579661,tropical,0.6527151373879959,,,,,,,,,,,,,,,,,,,,,,1042.2937537813557,1050.447177014275
gshhg_2.3.7_h_006a21fa968b88c1a1eb,169,142,27,49,0.3450704225352112,0.8936491353959978,0.3167979114776391,0.7100591715976331,applicability_unresolved,False,True,79,19.33681244361741,3.012432664653081,65.0394445,35.960809067428706,65.0394445,lat15_lon21,-1.933472336999088,0.4344696845777263,-0.4639877617438071,-0.3238819523428007,22.915598736072397,3.174530912824401,83.26709589611896,4.433991467295563,northern_midlatitude,0.8936491353959978,79.0,35.0,0.4430379746835443,79.0,44.0,0.5569620253164557,63.0,3.0,0.0476190476190476,79.0,22.0,0.2784810126582278,79.0,0.0,0.0,79.0,58.0,0.7341772151898734,79.0,2.0,0.0253164556962025,22.915598736072397,83.26709589611896
gshhg_2.3.7_h_007148e460fe928630fb,169,142,27,9,0.0633802816901408,0.7303671758746049,0.1559166418387605,0.7928994082840237,applicability_unresolved,False,True,41,5.51075626969228,1.8734556199328565,38.54385269230769,14.35249359014382,38.54385269230769,lat12_lon19,-0.183464431018664,0.5031060813273386,2.175646718506463,-0.5539152597119349,115.94260152295472,4.761683229147538,60.39512683048658,4.117330464421672,northern_midlatitude,0.7303671758746049,40.0,15.0,0.375,40.0,25.0,0.625,34.0,5.0,0.1470588235294117,41.0,4.0,0.0975609756097561,41.0,0.0,0.0,41.0,28.0,0.6829268292682927,41.0,3.0,0.073170731707317,115.94260152295472,154.38093629435954
gshhg_2.3.7_h_00767d0397a05e924716,169,142,27,66,0.4647887323943662,0.9848590851198012,0.4555047782661197,0.5384615384615384,applicability_unresolved,False,True,777,53.96352405164178,4.006669766157635,59.05880130769231,18.4159507884605,59.05880130769231,lat14_lon19,-1.1876827837735382,0.2754716830573441,-0.4956178473510355,-0.8945126974312377,1.7456450219239692,1.0100160280223314,40.50522210765194,3.725819253239553,northern_midlatitude,0.9848590851198012,775.0,318.0,0.4103225806451613,775.0,457.0,0.5896774193548387,727.0,93.0,0.1279229711141678,777.0,170.0,0.2187902187902188,775.0,0.0,0.0,775.0,560.0,0.7225806451612903,775.0,65.0,0.0838709677419354,1.7456450219239692,40.50522210765194
gshhg_2.3.7_h_0078d2a192b51b88ac7c,169,142,27,14,0.0985915492957746,0.8572386901885363,0.1821295575394477,0.7928994082840237,applicability_unresolved,False,True,0,13.22106851456991,2.654724563223684,60.53150446153846,-45.93554531988577,60.53150446153846,lat15_lon13,-1.4394177911863435,-0.8634896028887852,-0.0148112979574599,-0.7905855174184275,940.8010799109924,6.8477940844545735,17.215321144296908,2.9022630610652995,northern_midlatitude,0.8572386901885363,,,,,,,,,,,,,,,,,,,,,,940.8010799109924,1760.4087832366351
gshhg_2.3.7_h_008b2aa7a9a2249b4c28,169,142,27,5,0.0352112676056338,0.8697061666523642,0.0763144696436328,0.8224852071005917,applicability_unresolved,False,True,1,27.274065107316844,3.341944957169672,-43.21355769230769,-73.70133087736436,43.21355769230769,lat04_lon10,0.6735655105618771,-1.6475824496955325,0.2628798296251002,0.245725854532577,49.92724505084258,3.9303980465774155,0.0,0.0,southern_extratropical,0.8697061666523642,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.92724505084258,0.0
gshhg_2.3.7_h_0093dfa164df11909773,169,142,27,0,0.0,0.134648829954897,0.0061718079080593,0.8402366863905325,applicability_unresolved,False,True,85,64.82023971982086,4.186927385559927,14.845865538461538,-24.7161886369454,14.845865538461538,lat10_lon15,0.6046777674546213,2.143203269866895,4.434228879818287,1.82896330823654,767.9418306658185,6.645015323817297,785.0568079554123,6.667029064569945,tropical,0.134648829954897,85.0,37.0,0.4352941176470588,85.0,48.0,0.5647058823529412,82.0,11.0,0.1341463414634146,85.0,18.0,0.2117647058823529,85.0,0.0,0.0,85.0,68.0,0.8,85.0,8.0,0.0941176470588235,767.9418306658185,785.0568079554123
gshhg_2.3.7_h_009d3ad64db6a0ebaf19,169,142,27,68,0.4788732394366197,0.980193892743254,0.4581395202455501,0.5325443786982249,applicability_unresolved,False,True,872,59.2011476279942,4.097691415721011,58.985,17.668019227185706,58.985,lat14_lon19,-1.243246675498716,0.3095201232047898,-0.4341612405169775,-0.8364421448050857,0.0910736691440497,0.08716222899293971,0.0,0.0,northern_midlatitude,0.980193892743254,870.0,352.0,0.4045977011494253,870.0,518.0,0.5954022988505747,820.0,142.0,0.173170731707317,872.0,195.0,0.2236238532110091,870.0,0.0,0.0,870.0,646.0,0.7425287356321839,870.0,70.0,0.0804597701149425,0.0910736691440497,0.0
gshhg_2.3.7_h_00a67a6665b912b07888,169,142,27,0,0.0,0.2136513835730984,0.0090594143775419,0.8402366863905325,applicability_unresolved,False,True,0,26.88737236637682,3.328173983015836,55.968350692307695,-133.45332716827266,55.968350692307695,lat14_lon04,1.3407677649123455,-2.261481416399002,-1.1945540782794122,1.4453699702839409,73.59826348757072,4.312117229292282,140.07081640412568,4.949262008296755,northern_midlatitude,0.2136513835730984,,,,,,,,,,,,,,,,,,,,,,73.59826348757072,140.07081640412568
gshhg_2.3.7_h_00a68415a76a6454dce6,169,142,27,8,0.056338028169014,0.8682997148543167,0.0879285092659666,0.8165680473372781,applicability_unresolved,False,True,0,13.679843248056056,2.686475345204024,67.89950892307692,-64.74986337993947,67.89950892307692,lat15_lon11,-3.331044387977056,0.1107891632313298,-0.3005811780168175,0.4349768527322555,677.1259598823514,6.519333052222534,12.678555867704969,2.615829341395759,northern_high_latitude,0.8682997148543167,,,,,,,,,,,,,,,,,,,,,,677.1259598823514,1762.5865933388852
gshhg_2.3.7_h_00a77a226f89a2e1b183,169,142,27,35,0.2464788732394366,0.7990873126832011,0.2765039576357982,0.8224852071005917,applicability_unresolved,False,True,1,5.26758774733906,1.835391551325512,-38.680028,146.7206988030745,38.680028,lat05_lon32,-0.2581242678726373,0.4493005557824296,-0.5628019946689075,-1.5714826964805442,0.0719888502327135,0.06951566169220098,0.0,0.0,southern_extratropical,0.7990873126832011,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0719888502327135,0.0
gshhg_2.3.7_h_00b3684b563ac2c3ed39,169,142,27,2,0.0140845070422535,0.6093129107495164,0.0720800835082616,0.8224852071005917,applicability_unresolved,False,True,644,54.59096445073564,4.01802067817152,18.33869253846154,-64.73725136547074,18.33869253846154,lat10_lon11,1.323376658312865,0.6388844996332529,0.4925934597086117,-1.293419627872146,849.102715694591,6.745357184177193,88.93458123521914,4.499082530864197,tropical,0.6093129107495164,642.0,340.0,0.5295950155763239,642.0,302.0,0.470404984423676,634.0,29.0,0.0457413249211356,644.0,80.0,0.124223602484472,642.0,5.0,0.0077881619937694,642.0,518.0,0.8068535825545171,642.0,55.0,0.0856697819314641,849.102715694591,882.00146851077
gshhg_2.3.7_h_00b379d004b4b050ca7f,169,142,27,4,0.028169014084507,0.7987088657795346,0.0467933094123695,0.8402366863905325,applicability_unresolved,False,True,0,27.577344459308577,3.352614252135373,2.775389,106.222910302905,2.775389,lat09_lon28,2.3555413682699387,-0.2076803906886526,0.1974531086776075,-0.3908264520953837,247.5054270830347,5.515464684666557,249.73592327849616,5.524400286795618,tropical,0.7987088657795346,,,,,,,,,,,,,,,,,,,,,,247.5054270830347,249.73592327849616
gshhg_2.3.7_h_00b59c20e2385becf361,169,142,27,1,0.0070422535211267,0.6425711841325599,0.0165356941619282,0.8402366863905325,applicability_unresolved,False,True,23,67.31315770518438,4.224102393779659,-1.4463055,-48.555025467527145,1.4463055,lat08_lon13,2.7327669906519083,0.0361686367949204,-0.669009081082322,0.5541889921983524,1.5193094113150836,0.923984820837717,0.0,0.0,tropical,0.6425711841325599,23.0,14.0,0.6086956521739131,23.0,9.0,0.391304347826087,23.0,2.0,0.0869565217391304,23.0,4.0,0.1739130434782608,23.0,0.0,0.0,23.0,18.0,0.782608695652174,23.0,3.0,0.1304347826086956,1.5193094113150836,0.0
gshhg_2.3.7_h_00bd270a444ae52c6a3e,169,142,27,4,0.028169014084507,0.8819945775967793,0.0755164766541306,0.8165680473372781,applicability_unresolved,False,True,0,234.5259079025105,5.461820919730446,39.562812,121.3894068985595,39.562812,lat12_lon30,-1.0396336815572556,1.8376740591655376,0.285306775975964,1.613262294120746,0.0920517460503337,0.08805826269298848,0.0,0.0,northern_midlatitude,0.8819945775967793,,,,,,,,,,,,,,,,,,,,,,0.0920517460503337,0.0
gshhg_2.3.7_h_00bef7ba0e51a4c1c3b4,169,142,27,5,0.0352112676056338,0.659620168309077,0.0906219516548445,0.8165680473372781,applicability_unresolved,False,True,110,9.3132617159725,2.3334306123000657,36.78899184615385,24.23955984735916,36.78899184615385,lat12_lon20,-0.2341077371152461,1.2077571622012722,2.0116430914688155,-0.0185598845261479,93.97415085612816,4.553604758324357,120.58776012468653,4.80063630759647,northern_midlatitude,0.659620168309077,110.0,53.0,0.4818181818181818,110.0,57.0,0.5181818181818182,108.0,14.0,0.1296296296296296,110.0,32.0,0.2909090909090909,110.0,0.0,0.0,110.0,83.0,0.7545454545454545,110.0,12.0,0.109090909090909,93.97415085612816,120.58776012468653
gshhg_2.3.7_h_00c06aeffa4e55ceb30f,169,142,27,4,0.028169014084507,0.8042532683959804,0.0495072370834558,0.8402366863905325,applicability_unresolved,False,True,1,85.34479894482874,4.458348570524208,3.3179893846153847,106.26560555528454,3.3179893846153847,lat09_lon28,2.277196032435576,-0.1389485865973133,0.4228754372791493,-0.4141089454153939,272.2171274526994,5.610266817725349,275.1235080709103,5.620848258632558,tropical,0.8042532683959804,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,272.2171274526994,275.1235080709103
gshhg_2.3.7_h_00c2fa8b68ffe1f0c680,169,142,27,5,0.0352112676056338,0.5790236165331234,0.0626253930644173,0.834319526627219,applicability_unresolved,False,True,622,618.0851796521505,6.428242871702313,13.890352615384616,-60.967045588770624,13.890352615384616,lat10_lon11,2.0947809974601634,-0.3352027692361982,0.8241507390625568,-0.5230445668566667,343.6070207006978,5.842404697364812,321.2070950628882,5.775194491179778,tropical,0.5790236165331234,621.0,357.0,0.5748792270531401,621.0,264.0,0.4251207729468599,595.0,29.0,0.0487394957983193,622.0,75.0,0.1205787781350482,621.0,11.0,0.0177133655394524,621.0,495.0,0.7971014492753623,621.0,48.0,0.0772946859903381,343.6070207006978,355.78119195106007
gshhg_2.3.7_h_00c7152b178c4fd545ed,169,142,27,6,0.0422535211267605,0.8294455393991763,0.0907368508451443,0.8165680473372781,applicability_unresolved,False,True,0,13.846242329097311,2.697746791416599,65.60957023076922,-62.47525870193,65.60957023076922,lat15_lon11,-2.876948673780047,-0.7956088033231694,0.1668098382129266,0.0800892060514176,590.7643620332491,6.383108518540212,44.41545567168575,3.8158524804100784,northern_midlatitude,0.8294455393991763,,,,,,,,,,,,,,,,,,,,,,590.7643620332491,1309.9695001538926
gshhg_2.3.7_h_00c9c5d7dcc703ac71f1,169,142,27,19,0.1338028169014084,0.765639170076604,0.194012848723013,0.7810650887573964,applicability_unresolved,False,True,1,77.7067311000391,4.3657286803560735,55.90233992307692,-60.80323536073424,55.90233992307692,lat14_lon11,-2.155586657879577,-0.7847568578731183,-0.4709334512360439,-0.3736170564564587,0.6816691580274438,0.5197868466194834,0.0,0.0,northern_midlatitude,0.765639170076604,1.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6816691580274438,0.0
gshhg_2.3.7_h_00d5c6dac8ab9a5ee9d9,169,142,27,56,0.3943661971830985,0.8945536513974086,0.361783516642569,0.7455621301775148,applicability_unresolved,False,True,352,15.665160370969048,2.813320334933865,65.575208,22.587975001327607,65.575208,lat15_lon20,-1.9710057642570689,0.276478781674701,-0.6547849876894255,-0.6043240218218076,5.839556698549105,1.9227229193805506,49.70502399553567,3.9260249983019047,northern_midlatitude,0.8945536513974086,350.0,185.0,0.5285714285714286,350.0,165.0,0.4714285714285714,321.0,26.0,0.0809968847352024,352.0,110.0,0.3125,350.0,0.0,0.0,350.0,282.0,0.8057142857142857,350.0,13.0,0.0371428571428571,5.839556698549105,49.70502399553567
gshhg_2.3.7_h_00d6a71206fc87ca1a03,169,142,27,3,0.0211267605633802,0.8112807178130494,0.0369131966786212,0.8284023668639053,applicability_unresolved,False,True,0,13.5613846407206,2.678373137197512,2.3118633846153847,125.3611169711578,2.3118633846153847,lat09_lon30,2.791997420528841,-0.9745826609492652,-0.7134311692737708,-0.3410440770185535,1661.3089697373707,7.415962860506745,79.13225451844183,4.383678451154089,tropical,0.8112807178130494,,,,,,,,,,,,,,,,,,,,,,1661.3089697373707,1679.8229898601332
gshhg_2.3.7_h_00e48da2acde213efa8c,169,142,27,0,0.0,0.0022427941932762,3.519943490803834e-05,0.8402366863905325,applicability_unresolved,False,True,0,564.8114764036403,6.338260942160593,-50.62236738461539,-75.31615306943749,50.62236738461539,lat03_lon10,3.154318624435181,-4.929079320202544,-1.1980507928285558,2.2650700458567683,41.32189875751685,3.745304653214568,0.0,0.0,southern_extratropical,0.0022427941932762,,,,,,,,,,,,,,,,,,,,,,41.32189875751685,0.0
gshhg_2.3.7_h_0104d53c3911fbfff117,169,142,27,5,0.0352112676056338,0.5815682263724726,0.0720393608366542,0.834319526627219,applicability_unresolved,False,True,153,22.6449652178724,3.1631502050806906,22.65647907692308,-79.0063185329783,22.65647907692308,lat11_lon10,1.253081215080357,1.6467050974586108,-0.0305000826860583,-0.4447582392712055,295.1999036057745,5.691034576397367,23.09969536989403,3.1821992001633608,tropical,0.5815682263724726,152.0,66.0,0.4342105263157895,152.0,86.0,0.5657894736842105,152.0,13.0,0.0855263157894736,153.0,17.0,0.1111111111111111,152.0,0.0,0.0,152.0,125.0,0.8223684210526315,152.0,12.0,0.0789473684210526,295.1999036057745,340.82163024453854
gshhg_2.3.7_h_010a41d5d870c6b5c8f8,169,142,27,10,0.0704225352112676,0.8895332420193941,0.0990120165219372,0.8165680473372781,applicability_unresolved,False,True,0,7.674735254598373,2.160414807165316,67.308609,-63.96221261547865,67.308609,lat15_lon11,-3.3011848151798944,-0.2257433526939583,0.4453292675389823,0.4610162949909022,702.5778688331278,6.556178558180432,0.0,0.0,northern_high_latitude,0.8895332420193941,,,,,,,,,,,,,,,,,,,,,,702.5778688331278,1681.2988445714468
gshhg_2.3.7_h_010c7fdb977847abc475,169,142,27,4,0.028169014084507,0.7662277275153154,0.0374172212329904,0.8402366863905325,applicability_unresolved,False,True,0,19.01946691278743,2.9967051457996545,8.488237,93.63185462435938,8.488237,lat09_lon27,2.653874865084739,-0.0813438681819103,-0.2757537883229357,-0.0035726578307203,502.0253315749953,6.220640529815753,377.9316478936783,5.937355840252176,tropical,0.7662277275153154,,,,,,,,,,,,,,,,,,,,,,502.0253315749953,501.6074958306822
gshhg_2.3.7_h_010f5de5093b43051221,169,142,27,11,0.0774647887323943,0.7444352444594355,0.0913747664046894,0.7988165680473372,applicability_unresolved,False,True,6203,105514.72025021812,11.566615227908873,21.646234923076925,-78.97174182823598,21.646234923076925,lat11_lon10,1.451615812109711,1.0986214700168593,0.3541455978089076,-0.3085447185744486,198.52245922447776,5.2959268075598445,0.0,0.0,tropical,0.7444352444594355,6182.0,3397.0,0.5494985441604658,6182.0,2785.0,0.4505014558395341,5834.0,394.0,0.0675351388412752,6203.0,961.0,0.1549250362727712,6185.0,12.0,0.0019401778496362,6185.0,5171.0,0.8360549717057397,6185.0,346.0,0.0559417946645109,198.52245922447776,216.5015001912019
