"","genus_species","Family","mating_system"
"91","Aechmea magdalenae","Bromeliaceae","si"
"92","Aechmea mariae-reginae","Bromeliaceae","na"
"93","Aechmea nudicaulis","Bromeliaceae","si"
"95","Aechmea tuitensis","Bromeliaceae","sc"
"96","Aechmea winkleri","Bromeliaceae","si"
"97","Aegialitis rotundifolia","Plumbaginaceae","sc"
"98","Aegiceras corniculatum","Primulaceae","sc"
"99","Aerides odorata","Orchidaceae","sc"
"100","Aeschynomene afraspera","Fabaceae","sc"
"101","Aeschynomene americana","Fabaceae","sc"
"102","Aeschynomene brasiliana","Fabaceae","sc"
"103","Aeschynomene brevifolia","Fabaceae","sc"
"104","Aeschynomene brevipes","Fabaceae","sc"
"105","Aeschynomene ciliata","Fabaceae","sc"
"106","Aeschynomene deamii","Fabaceae","sc"
"107","Aeschynomene denticulata","Fabaceae","sc"
"108","Aeschynomene elegans","Fabaceae","sc"
"110","Aeschynomene evenia","Fabaceae","sc"
"111","Aeschynomene falcata","Fabaceae","sc"
"112","Aeschynomene fascicularis","Fabaceae","sc"
"114","Aeschynomene filosa","Fabaceae","sc"
"115","Aeschynomene fluitans","Fabaceae","sc"
"116","Aeschynomene foliolosa","Fabaceae","sc"
"117","Aeschynomene histrix","Fabaceae","sc"
"118","Aeschynomene indica","Fabaceae","sc"
"119","Aeschynomene marginata","Fabaceae","sc"
"120","Aeschynomene mollicula","Fabaceae","sc"
"121","Aeschynomene montevidensis","Fabaceae","sc"
"122","Aeschynomene paniculata","Fabaceae","sc"
"123","Aeschynomene pratensis","Fabaceae","sc"
"124","Aeschynomene riedeliana","Fabaceae","sc"
"125","Aeschynomene scabra","Fabaceae","sc"
"126","Aeschynomene schimperi","Fabaceae","sc"
"127","Aeschynomene sensitiva","Fabaceae","sc"
"128","Aeschynomene uniflora","Fabaceae","sc"
"129","Aeschynomene villosa","Fabaceae","sc"
"130","Aeschynomene viscidula","Fabaceae","sc"
"131","Aethionema arabicum","Brassicaceae","sc"
"132","Aethionema carneum","Brassicaceae","sc"
"133","Aethionema grandiflorum","Brassicaceae","si"
"134","Aethionema heterocarpum","Brassicaceae","sc"
"135","Afzelia africana","Fabaceae","si"
"136","Agalinis neoscotica","Orobanchaceae","sc"
"137","Agarista hispidula","Ericaceae","sc"
"138","Agarista revoluta","Ericaceae","na"
"139","Ageratina adenophora","Asteraceae","sc"
"140","Ageratina ligustrina","Asteraceae","si"
"141","Ageratum conyzoides","Asteraceae","sc"
"143","Ageratum houstonianum","Asteraceae","si"
"144","Ageratum microcarpum","Asteraceae","si"
"146","Agrostemma githago","Caryophyllaceae","sc"
"147","Ainsliaea apiculata","Asteraceae","sc"
"148","Ainsliaea fragrans","Asteraceae","sc"
"149","Ajuga reptans","Lamiaceae","sc"
"150","Akebia quinata","Lardizabalaceae","si"
"151","Albizia julibrissin","Fabaceae","si"
"154","Alcantarea geniculata","Bromeliaceae","sc"
"156","Alcantarea imperialis","Bromeliaceae","sc"
"157","Alcantarea nahoumii","Bromeliaceae","sc"
"158","Alcantarea regina","Bromeliaceae","sc"
"159","Alcea rosea","Malvaceae","sc"
"160","Alliaria petiolata","Brassicaceae","sc"
"161","Allium schoenoprasum","Amaryllidaceae","sc"
"162","Allocasuarina verticillata","Casuarinaceae","si"
"163","Allophylus racemosus","Sapindaceae","na"
"164","Alnus japonica","Betulaceae","si"
"165","Alnus rubra","Betulaceae","si"
"166","Aloe ferox","Asphodelaceae","si"
"167","Aloe marlothii","Asphodelaceae","si"
"168","Aloe peglerae","Asphodelaceae","si"
"169","Aloe speciosa","Asphodelaceae","si"
"170","Aloe thraskii","Asphodelaceae","sc"
"171","Aloe vryheidensis","Asphodelaceae","sc"
"172","Alopecurus pratensis","Poaceae","si"
"173","Alstroemeria foliosa","Alstroemeriaceae","si"
"174","Alysicarpus bupleurifolius","Fabaceae","sc"
"175","Alysicarpus ferrugineus","Fabaceae","sc"
"177","Alysicarpus glumaceus","Fabaceae","sc"
"179","Alysicarpus longifolius","Fabaceae","si"
"180","Alysicarpus monilifer","Fabaceae","sc"
"181","Alysicarpus ovalifolius","Fabaceae","sc"
"183","Alysicarpus pubescens","Fabaceae","si"
"185","Alysicarpus quartinianus","Fabaceae","sc"
"186","Alysicarpus rugosus","Fabaceae","na"
"187","Alysicarpus scariosus","Fabaceae","sc"
"188","Alysicarpus vaginalis","Fabaceae","sc"
"189","Alysicarpus zeyheri","Fabaceae","sc"
"190","Alyssum alyssoides","Brassicaceae","sc"
"191","Alyssum damascenum","Brassicaceae","sc"
"192","Alyssum desertorum","Brassicaceae","sc"
"193","Alyssum simplex","Brassicaceae","sc"
"194","Amaranthus cruentus","Amaranthaceae","sc"
"195","Amaranthus hypochondriacus","Amaranthaceae","sc"
"196","Amaranthus tuberculatus","Amaranthaceae","si"
"197","Amasonia campestris","Lamiaceae","na"
"198","Ambrosia artemisiifolia","Asteraceae","si"
"199","Ambrosia deltoidea","Asteraceae","si"
"200","Ameroglossum manoel-felixii","Scrophulariaceae","sc"
"201","Ameroglossum pernambucense","Scrophulariaceae","sc"
"202","Ammopiptanthus mongolicus","Fabaceae","sc"
"203","Amorpha canescens","Fabaceae","sc"
"205","Amorpha herbacea","Fabaceae","si"
"206","Amphicarpaea bracteata","Fabaceae","sc"
"208","Amphicarpaea edgeworthii","Fabaceae","sc"
"209","Amphicarpum amphicarpon","Poaceae","sc"
"211","Amphicarpum muhlenbergianum","Poaceae","sc"
"212","Amsinckia douglasiana","Boraginaceae","si"
"213","Amsinckia grandiflora","Boraginaceae","si"
"214","Amsinckia lunaris","Boraginaceae","si"
"215","Amsinckia spectabilis","Boraginaceae","sc"
"216","Amsinckia vernicosa","Boraginaceae","sc"
"218","Anacamptis coriophora","Orchidaceae","si"
"219","Anacardium humile","Anacardiaceae","si"
"220","Anacyclus clavatus","Asteraceae","si"
"221","Anacyclus valentinus","Asteraceae","si"
"222","Anadenanthera colubrina","Fabaceae","sc"
"223","Anadenanthera peregrina","Fabaceae","sc"
"226","Anagyris foetida","Fabaceae","sc"
"227","Ananas lucidus","Bromeliaceae","si"
"228","Ancistrachne maidenii","Poaceae","sc"
"229","Ancistrachne uncinulata","Poaceae","sc"
"230","Ancistrocladus korupensis","Ancistrocladaceae","sc"
"231","Andira inermis","Fabaceae","si"
"232","Andira surinamensis","Fabaceae","si"
"233","Androsace obtusifolia","Primulaceae","sc"
"234","Anemone coronaria","Ranunculaceae","si"
"235","Angelica glauca","Apiaceae","sc"
"236","Angraecum bracteosum","Orchidaceae","sc"
"237","Angraecum striatum","Orchidaceae","sc"
"238","Anigozanthos humilis","Haemodoraceae","na"
"239","Anisocarpus scabridus","Asteraceae","sc"
"240","Anisodus tanguticus","Solanaceae","sc"
"241","Annona coriacea","Annonaceae","sc"
"242","Annona crassiflora","Annonaceae","si"
"243","Annona jahnii","Annonaceae","na"
"244","Anthemis arvensis","Asteraceae","sc"
"245","Anthemis cotula","Asteraceae","na"
"246","Anthemis maritima","Asteraceae","sc"
"247","Anthurium caucanum","Araceae","sc"
"248","Anthurium panduriforme","Araceae","si"
"249","Anthyllis vulneraria","Fabaceae","na"
"250","Anticlea occidentalis","Melanthiaceae","sc"
"251","Antirrhinum australe","Plantaginaceae","si"
"252","Antirrhinum braun-blanquetii","Plantaginaceae","si"
"253","Antirrhinum charidemi","Plantaginaceae","na"
"254","Antirrhinum graniticum","Plantaginaceae","si"
"255","Antirrhinum grosii","Plantaginaceae","si"
"256","Antirrhinum hispanicum","Plantaginaceae","si"
"258","Antirrhinum latifolium","Plantaginaceae","na"
"259","Antirrhinum majus","Plantaginaceae","na"
"261","Antirrhinum meonanthum","Plantaginaceae","si"
"262","Antirrhinum microphyllum","Plantaginaceae","si"
"263","Antirrhinum molle","Plantaginaceae","si"
"265","Antirrhinum pertegasii","Plantaginaceae","si"
"266","Antirrhinum pulverulentum","Plantaginaceae","si"
"267","Antirrhinum sempervirens","Plantaginaceae","na"
"268","Antirrhinum valentinum","Plantaginaceae","si"
"269","Aphanostephus skirrhobasis","Asteraceae","sc"
"270","Apios priceana","Fabaceae","na"
"272","Aquilaria crassna","Thymelaeaceae","sc"
"273","Aquilegia canadensis","Ranunculaceae","sc"
"274","Aquilegia viscosa","Ranunculaceae","sc"
"275","Aquilegia vulgaris","Ranunculaceae","sc"
"276","Arabidopsis arenosa","Brassicaceae","si"
"277","Arabidopsis halleri","Brassicaceae","si"
"278","Arabidopsis lyrata","Brassicaceae","na"
"281","Arabidopsis suecica","Brassicaceae","sc"
"282","Arabidopsis thaliana","Brassicaceae","sc"
"283","Arabis allionii","Brassicaceae","sc"
"284","Arabis alpina","Brassicaceae","na"
"286","Arabis aucheri","Brassicaceae","sc"
"287","Arabis blepharophylla","Brassicaceae","sc"
"288","Arabis caucasica","Brassicaceae","si"
"290","Arabis hirsuta","Brassicaceae","sc"
"291","Arabis planisiliqua","Brassicaceae","sc"
"293","Arabis sagittata","Brassicaceae","sc"
"295","Arabis scabra","Brassicaceae","sc"
"296","Arabis soyeri","Brassicaceae","sc"
"297","Arabis verna","Brassicaceae","sc"
"298","Arachis appressipila","Fabaceae","sc"
"299","Arachis archeri","Fabaceae","sc"
"300","Arachis batizocoi","Fabaceae","sc"
"301","Arachis burkartii","Fabaceae","sc"
"302","Arachis cardenasii","Fabaceae","sc"
"303","Arachis correntina","Fabaceae","sc"
"304","Arachis dardani","Fabaceae","sc"
"305","Arachis decora","Fabaceae","sc"
"307","Arachis duranensis","Fabaceae","sc"
"308","Arachis gracilis","Fabaceae","sc"
"309","Arachis hermannii","Fabaceae","sc"
"310","Arachis hoehnei","Fabaceae","sc"
"311","Arachis hypogaea","Fabaceae","sc"
"312","Arachis kempff-mercadoi","Fabaceae","sc"
"314","Arachis kretschmeri","Fabaceae","sc"
"315","Arachis magna","Fabaceae","sc"
"317","Arachis major","Fabaceae","sc"
"318","Arachis palustris","Fabaceae","sc"
"320","Arachis paraguariensis","Fabaceae","sc"
"321","Arachis pintoi","Fabaceae","sc"
"322","Arachis prostrata","Fabaceae","sc"
"323","Arachis pusilla","Fabaceae","sc"
"325","Arachis repens","Fabaceae","sc"
"326","Arachis stenosperma","Fabaceae","sc"
"327","Arachis triseminata","Fabaceae","sc"
"328","Arachis valida","Fabaceae","sc"
"329","Arachis villosa","Fabaceae","sc"
"330","Arachis williamsii","Fabaceae","sc"
"331","Arbutus menziesii","Ericaceae","si"
"332","Arceuthobium americanum","Santalaceae","si"
"333","Arceuthobium apachecum","Santalaceae","si"
"334","Arceuthobium blumeri","Santalaceae","si"
"335","Arceuthobium cyanocarpum","Santalaceae","si"
"337","Arcoa gonavensis","Fabaceae","si"
"338","Arcterica nana","Ericaceae","si"
"339","Arctium minus","Asteraceae","sc"
"341","Arctium nemorosum","Asteraceae","sc"
"342","Arctotis fastuosa","Asteraceae","si"
"343","Ardisia crenata","Primulaceae","sc"
"344","Ardisia escallonioides","Primulaceae","sc"
"345","Argania spinosa","Sapotaceae","na"
"346","Argemone glauca","Papaveraceae","sc"
"347","Argemone ochroleuca","Papaveraceae","sc"
"348","Argyranthemum adauctum","Asteraceae","sc"
"349","Argyranthemum broussonetii","Asteraceae","si"
"350","Argyranthemum filifolium","Asteraceae","sc"
"351","Argyranthemum frutescens","Asteraceae","si"
"352","Argyranthemum sundingii","Asteraceae","si"
"353","Argyroxiphium kauense","Asteraceae","si"
"354","Argyroxiphium sandwicense","Asteraceae","si"
"355","Ariocarpus kotschoubeyanus","Cactaceae","sc"
"356","Aristida beyrichiana","Poaceae","sc"
"357","Aristolochia gigantea","Aristolochiaceae","si"
"358","Aristolochia pannosoides","Aristolochiaceae","na"
"359","Armoracia rusticana","Brassicaceae","si"
"360","Arnica fulgens","Asteraceae","si"
"361","Arnica montana","Asteraceae","sc"
"362","Arnica sororia","Asteraceae","si"
"363","Arnica unalaschcensis","Asteraceae","si"
"364","Aronia melanocarpa","Rosaceae","na"
"367","Arrhenatherum elatius","Poaceae","si"
"368","Artemisia biennis","Asteraceae","sc"
"370","Artemisia granatensis","Asteraceae","si"
"372","Arthraxon hispidus","Poaceae","sc"
"373","Asclepias incarnata","Apocynaceae","sc"
"375","Asclepias syriaca","Apocynaceae","si"
"376","Asimina reticulata","Annonaceae","sc"
"377","Aspasia principissa","Orchidaceae","sc"
"378","Aspidosperma polyneuron","Apocynaceae","si"
"379","Aspilia africana","Asteraceae","si"
"380","Aster acuminatus","Asteraceae","sc"
"381","Aster amellus","Asteraceae","si"
"382","Aster divaricatus","Asteraceae","si"
"383","Aster lucidulus","Asteraceae","si"
"384","Aster multiflorus","Asteraceae","si"
"387","Aster puniceus","Asteraceae","si"
"389","Aster sibiricus","Asteraceae","sc"
"390","Aster tataricus","Asteraceae","si"
"391","Asteriscus aquaticus","Asteraceae","sc"
"392","Asteriscus daltonii","Asteraceae","si"
"394","Asteriscus graveolens","Asteraceae","sc"
"396","Asteriscus intermedius","Asteraceae","sc"
"397","Asteriscus schultzii","Asteraceae","si"
"398","Asteriscus sericeus","Asteraceae","sc"
"399","Asteriscus smithii","Asteraceae","si"
"400","Astragalus agnicidus","Fabaceae","sc"
"401","Astragalus alpinus","Fabaceae","si"
"403","Astragalus americanus","Fabaceae","si"
"404","Astragalus ampullarioides","Fabaceae","sc"
"405","Astragalus annularis","Fabaceae","sc"
"406","Astragalus argaeus","Fabaceae","si"
"407","Astragalus asterias","Fabaceae","sc"
"409","Astragalus australis","Fabaceae","sc"
"410","Astragalus bibullatus","Fabaceae","na"
"411","Astragalus boeticus","Fabaceae","sc"
"412","Astragalus brauntonii","Fabaceae","sc"
"413","Astragalus canadensis","Fabaceae","sc"
"414","Astragalus cibarius","Fabaceae","si"
"415","Astragalus cicer","Fabaceae","na"
"416","Astragalus cremnophylax","Fabaceae","na"
"417","Astragalus cymbicarpos","Fabaceae","sc"
"418","Astragalus edulis","Fabaceae","sc"
"419","Astragalus exscapus","Fabaceae","sc"
"420","Astragalus filipes","Fabaceae","sc"
"421","Astragalus guttatus","Fabaceae","sc"
"422","Astragalus hamosus","Fabaceae","sc"
"425","Astragalus holmgreniorum","Fabaceae","sc"
"426","Astragalus humillimus","Fabaceae","sc"
"427","Astragalus intercedens","Fabaceae","sc"
"428","Astragalus jaegerianus","Fabaceae","si"
"429","Astragalus kentrophyta","Fabaceae","na"
"430","Astragalus linifolius","Fabaceae","sc"
"431","Astragalus lonchocarpus","Fabaceae","sc"
"432","Astragalus magdalenae","Fabaceae","si"
"433","Astragalus miser","Fabaceae","na"
"435","Astragalus monoensis","Fabaceae","si"
"436","Astragalus monumentalis","Fabaceae","sc"
"437","Astragalus nitidiflorus","Fabaceae","sc"
"439","Astragalus nivicola","Fabaceae","sc"
"440","Astragalus oxyglottis","Fabaceae","sc"
"441","Astragalus peckii","Fabaceae","sc"
"442","Astragalus pectinatus","Fabaceae","si"
"443","Astragalus phoenix","Fabaceae","sc"
"444","Astragalus robbinsii","Fabaceae","sc"
"445","Astragalus schimperi","Fabaceae","sc"
"446","Astragalus schmalhausenii","Fabaceae","sc"
"447","Astragalus sesameus","Fabaceae","sc"
"449","Astragalus sinicus","Fabaceae","na"
"450","Astragalus tegetarioides","Fabaceae","si"
"452","Astragalus tennesseensis","Fabaceae","si"
"454","Astragalus tragacantha","Fabaceae","sc"
"455","Astragalus tribuloides","Fabaceae","sc"
"457","Astragalus utahensis","Fabaceae","na"
"458","Astranthium beamanii","Asteraceae","sc"
"459","Astranthium integrifolium","Asteraceae","sc"
"460","Astranthium laetificum","Asteraceae","sc"
"461","Astranthium orthopodum","Asteraceae","sc"
"462","Astranthium purpurascens","Asteraceae","sc"
"463","Astranthium robustum","Asteraceae","sc"
"464","Astranthium splendens","Asteraceae","sc"
"465","Astranthium xanthocomoides","Asteraceae","sc"
"466","Astrebla elymoides","Poaceae","sc"
"467","Astrebla lappacea","Poaceae","sc"
"468","Astrebla pectinata","Poaceae","sc"
"469","Astrebla squarrosa","Poaceae","sc"
"470","Astrocaryum mexicanum","Arecaceae","sc"
"471","Ateleia herbert-smithii","Fabaceae","si"
"472","Atherosperma moschatum","Atherospermataceae","si"
"473","Athysanus pusillus","Brassicaceae","sc"
"474","Aucoumea klaineana","Burseraceae","si"
"475","Australopyrum pectinatum","Poaceae","sc"
"476","Austrostipa aristiglumis","Poaceae","sc"
"477","Austrostipa bigeniculata","Poaceae","sc"
"478","Austrostipa densiflora","Poaceae","sc"
"479","Austrostipa flavescens","Poaceae","sc"
"480","Austrostipa mollis","Poaceae","sc"
"481","Austrostipa pubescens","Poaceae","sc"
"482","Austrostipa rudis","Poaceae","sc"
"483","Austrostipa scabra","Poaceae","sc"
"484","Austrostipa semibarbata","Poaceae","sc"
"485","Austrostipa setacea","Poaceae","sc"
"486","Austrostipa stuposa","Poaceae","sc"
"487","Avena sterilis","Poaceae","sc"
"488","Avicennia germinans","Acanthaceae","si"
"489","Avicennia marina","Acanthaceae","na"
"490","Avicennia officinalis","Acanthaceae","sc"
"491","Axinaea confusa","Melastomataceae","sc"
"492","Axinaea costaricensis","Melastomataceae","sc"
"493","Axinaea sclerophylla","Melastomataceae","sc"
"494","Azadirachta indica","Meliaceae","si"
"495","Babiana ringens","Iridaceae","sc"
"496","Baccharis altimontana","Asteraceae","si"
"497","Baccharis itatiaiae","Asteraceae","sc"
"498","Baccharis megapotamica","Asteraceae","si"
"499","Baccharis platypoda","Asteraceae","si"
"500","Bactris guineensis","Arecaceae","na"
"501","Balduina angustifolia","Asteraceae","si"
"502","Balduina atropurpurea","Asteraceae","si"
"503","Balduina uniflora","Asteraceae","si"
"504","Balsamorhiza deltoidea","Asteraceae","si"
"505","Balsamorhiza sagittata","Asteraceae","sc"
"506","Banisteriopsis muricata","Malpighiaceae","si"
"507","Banksia attenuata","Proteaceae","si"
"508","Banksia cuneata","Proteaceae","sc"
"509","Banksia ericifolia","Proteaceae","sc"
"510","Banksia ilicifolia","Proteaceae","sc"
"511","Banksia media","Proteaceae","sc"
"512","Banksia menziesii","Proteaceae","na"
"513","Banksia nivea","Proteaceae","sc"
"515","Banksia oligantha","Proteaceae","sc"
"516","Banksia speciosa","Proteaceae","sc"
"517","Banksia spinulosa","Proteaceae","sc"
"518","Barbacenia gounelleana","Velloziaceae","si"
"519","Barbarea verna","Brassicaceae","sc"
"520","Barbarea vulgaris","Brassicaceae","si"
"521","Bartlettina sordida","Asteraceae","si"
"522","Bauhinia aculeata","Fabaceae","si"
"523","Bauhinia brevipes","Fabaceae","si"
"524","Bauhinia cheilantha","Fabaceae","si"
"525","Bauhinia corymbosa","Fabaceae","si"
"526","Bauhinia curvula","Fabaceae","si"
"527","Bauhinia forficata","Fabaceae","si"
"528","Bauhinia holophylla","Fabaceae","si"
"529","Bauhinia macranthera","Fabaceae","si"
"530","Bauhinia multinervia","Fabaceae","si"
"531","Bauhinia pauletia","Fabaceae","na"
"532","Bauhinia purpurea","Fabaceae","na"
"534","Bauhinia ungulata","Fabaceae","si"
"535","Bauhinia variegata","Fabaceae","sc"
"536","Bdallophytum oxylepis","Cytinaceae","sc"
"537","Begonia heracleifolia","Begoniaceae","si"
"538","Begonia herveyana","Begoniaceae","sc"
"539","Begonia hirsuta","Begoniaceae","sc"
"540","Begonia homonyma","Begoniaceae","sc"
"541","Begonia maxwelliana","Begoniaceae","sc"
"542","Begonia nelumbiifolia","Begoniaceae","si"
"543","Begonia semiovata","Begoniaceae","sc"
"544","Begonia socotrana","Begoniaceae","si"
"545","Begonia sutherlandii","Begoniaceae","si"
"546","Bellevalia webbiana","Asparagaceae","si"
"547","Bencomia exstipulata","Rosaceae","sc"
"548","Berberis lycium","Berberidaceae","sc"
"549","Berchemiella wilsonii","Rhamnaceae","si"
"550","Berlandiera lyrata","Asteraceae","si"
"551","Berlandiera pumila","Asteraceae","si"
"552","Berlandiera subacaulis","Asteraceae","si"
"553","Berlandiera texana","Asteraceae","si"
"554","Bertholletia excelsa","Lecythidaceae","si"
"555","Bertolonia mosenii","Melastomataceae","sc"
"556","Beta vulgaris","Amaranthaceae","si"
"559","Betula maximowicziana","Betulaceae","si"
"560","Betula occidentalis","Betulaceae","si"
"561","Betula papyrifera","Betulaceae","si"
"562","Betula pendula","Betulaceae","si"
"563","Bidens amplectens","Asteraceae","sc"
"564","Bidens aristosa","Asteraceae","si"
"565","Bidens bidentoides","Asteraceae","sc"
"566","Bidens bipinnata","Asteraceae","sc"
"567","Bidens biternata","Asteraceae","sc"
"568","Bidens campylotheca","Asteraceae","sc"
"569","Bidens cernua","Asteraceae","sc"
"570","Bidens cervicata","Asteraceae","sc"
"571","Bidens cosmoides","Asteraceae","sc"
"572","Bidens discoidea","Asteraceae","sc"
"573","Bidens eatonii","Asteraceae","sc"
"574","Bidens forbesii","Asteraceae","sc"
"575","Bidens frondosa","Asteraceae","sc"
"576","Bidens hawaiensis","Asteraceae","sc"
"578","Bidens heterodoxa","Asteraceae","sc"
"579","Bidens hillebrandiana","Asteraceae","sc"
"580","Bidens hyperborea","Asteraceae","sc"
"581","Bidens laevis","Asteraceae","si"
"582","Bidens lemmonii","Asteraceae","sc"
"583","Bidens leptocephala","Asteraceae","sc"
"584","Bidens mauiensis","Asteraceae","sc"
"585","Bidens menziesii","Asteraceae","sc"
"588","Bidens micrantha","Asteraceae","sc"
"589","Bidens mitis","Asteraceae","si"
"590","Bidens molokaiensis","Asteraceae","sc"
"592","Bidens odorata","Asteraceae","na"
"593","Bidens pilosa","Asteraceae","sc"
"596","Bidens polycephala","Asteraceae","sc"
"597","Bidens polylepis","Asteraceae","si"
"598","Bidens radiata","Asteraceae","sc"
"599","Bidens sandvicensis","Asteraceae","sc"
"603","Bidens schimperi","Asteraceae","sc"
"604","Bidens subalternans","Asteraceae","sc"
"605","Bidens torta","Asteraceae","sc"
"606","Bidens trichosperma","Asteraceae","si"
"607","Bidens tripartita","Asteraceae","sc"
"608","Bidens valida","Asteraceae","sc"
"609","Bidens vulgata","Asteraceae","sc"
"610","Bidens wiebkei","Asteraceae","sc"
"611","Biscutella auriculata","Brassicaceae","sc"
"612","Biscutella didyma","Brassicaceae","sc"
"614","Biscutella frutescens","Brassicaceae","si"
"615","Biscutella glacialis","Brassicaceae","si"
"616","Biscutella intermedia","Brassicaceae","si"
"617","Biscutella laevigata","Brassicaceae","si"
"618","Biscutella lyrata","Brassicaceae","sc"
"619","Biscutella neustriaca","Brassicaceae","si"
"620","Biscutella scaposa","Brassicaceae","si"
"621","Biscutella sempervirens","Brassicaceae","si"
"622","Biscutella valentina","Brassicaceae","si"
"623","Biscutella variegata","Brassicaceae","si"
"624","Biserrula pelecinus","Fabaceae","sc"
"625","Bixa orellana","Bixaceae","sc"
"626","Blackstonia perfoliata","Gentianaceae","sc"
"627","Blennosperma chilense","Asteraceae","sc"
"628","Blennosperma nanum","Asteraceae","si"
"629","Blennospora drummondii","Asteraceae","sc"
"630","Blepharipappus scaber","Asteraceae","si"
"631","Blepharizonia laxa","Asteraceae","si"
"632","Blepharizonia plumosa","Asteraceae","si"
"633","Blumenbachia insignis","Loasaceae","sc"
"634","Blyxa aubertii","Hydrocharitaceae","sc"
"635","Bobartia longicyma","Iridaceae","si"
"637","Boechera breweri","Brassicaceae","sc"
"638","Boechera constancei","Brassicaceae","si"
"639","Boechera crandallii","Brassicaceae","sc"
"640","Boechera fecunda","Brassicaceae","sc"
"641","Boechera gunnisoniana","Brassicaceae","sc"
"642","Boechera holboellii","Brassicaceae","sc"
"643","Boechera lyallii","Brassicaceae","sc"
"644","Boechera microphylla","Brassicaceae","sc"
"645","Boechera parishii","Brassicaceae","sc"
"646","Boechera platysperma","Brassicaceae","sc"
"647","Boechera rectissima","Brassicaceae","sc"
"648","Boechera retrofracta","Brassicaceae","sc"
"649","Boechera sparsiflora","Brassicaceae","sc"
"650","Boechera spatifolia","Brassicaceae","na"
