source_row_number,Reference,PubYear,Family,Genus,species,Genus species,Monocot/Dicot/Gymno,"Lform(0=ann,1=Hper,2=Wper)","Pollination(0=anim,1=wind,2=water)",MarkerType,nMarkers,"PopType (0=natural, 1= experimental, 2=seed orchard, 3=agricultural)",nPops(t),Mean-tm,Mean ts,Upper-tm,Where-t,nPops(F),Mech of selfing,Use for t & F?,Mean-F,Lower-F,Upper-F,Where-F,Reference.1
25,Damgaard & Abbott 1995,1995,Asteraceae,Senecio,vulgaris,Senecio  vulgaris,D,0,0,F,1,1,1,0.21,,,Results,,,0,,,,,"Damgaard, C., and R. J. Abbott. 1995. Positive correlations between selfing rate and pollen-ovule ratio within plant populations. Evolution 49:214–217."
26,Ellstrand et al. 1978,1978,Asteraceae,Helianthus,annuus,Helianthus  annuus,D,0,0,I,1,0,6,0.748,0.655,0.86,Table 1,6,,1,-0.1,-0.17,-0.035,Table 6,"Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403-407"
27,Ferrer et al. 2004,2004,Asteraceae,Flourensia,cernua,Flourensia cernua,D,2,0,I,12,0,10,0.99,,,Results,10,,1,-0.27,-0.5,-0.11,Table 1,"Ferrer, M. M., L. E. Eguiarte, and C. Montana. 2004. Genetic structure and outcrossing rates in Flourensia cernua (Asteraceae) growing at different densities in the South-western Chihuahuan Desert. Annals of Botany 94:419-426."
28,Godt & Hamrick 1995,1995,Asteraceae,Liatris,helleri,Liatris  helleri,D,1,0,I,9,0,7,0.97,0.88,1.04,Table 2 (range for multilocus estimate),7,,1,-0.096,-0.3,0.225,Table 4 (FIS),"Godt MJW, JL Hamrick. 1995. The mating system of Liatris helleri (Asteraceae), a threatened plant species. Heredity 75:398-404"
29,Hetz et al. 1995,1995,Asteraceae,Silybum,marianum,Silybum marianum,D,0,0,M,,0,1,0.02,,,Abstract,,,0,,,,,"Hetz E, Liersch R, O Schieder. 1995. Genetic Investigations on Silybum marianum and S. eburneum with respect to leaf colour, outcrossing ratio, and flavonolignan composition. Planta Medica 61:54-57."
30,Innes & Hermanutz 1988,1988,Asteraceae,Solidago,sempervirens,Solidago  sempervirens,D,1,0,I,,0,2,0.935,0.9,0.97,??,,,0,,,,,"Innes, D. J., and L. A. Hermanutz. 1988. The mating system and genetic-structure in a disjunct population of the seaside goldenrod Solidago sempervirens L (Asteraceae). Heredity 61:447-454."
31,Marshall & Abbott 1982,1982,Asteraceae,Senecio,vulgaris,Senecio  vulgaris,D,0,0,F,1,0,2,0.055,0.002,0.199,Table 2,2,,1,0.9461666666666666,0.9,0.98,Table 1,"Marshall DF, RJ Abbott. 1982. Polymorphism for outcrossing frequency at the ray floret locus in Senecio vulgaris LI Evidence. Heredity 48:227-235"
32,"Innes & Hermanutz 1988, Marshall & Abbott 1982",1988 & 1982,Asteraceae,Senecio,vulgaris,Senecio  vulgaris,D,0,0,F,1,0&1,3,0.49500000000000005,0.002,0.21,?? & Table 2,2,,0,,,,,Species summary
33,Michalakis et al. 1993,1993,Asteraceae,Onopordum,illyricum,Onopordum  illyricum,D,2,0,I,,0,1,0.568,0.52,0.57,Table 1,,,0,,,,,"Michalakis Y, Derancourt F, Noël V, C Espiau. 1993. A first estimation of the mating system of Onopordum illyricum (L.) and its relevance to the invasion of Australia. Acta Oecologica 14:539-545"
34,Moran & Marshall 1978,1978,Asteraceae,Xanthium,strumarium italicum,Xanthium  strumarium italicum,D,0,0,I,,0,2,0.11,0,0.11,??,,,0,,,,,"Moran GF, DR Marshall. 1978. Allozyme uniformity within and variation between races of the colonizing species Xanthium strumarium L. (Noogora burr). Austr J Biol Sci 31:283-291."
35,Ritland & Ganders 1985,1985,Asteraceae,Bidens,menziesii filiformis,Bidens menziesii filiformis,D,2,0,I,3,0,4,0.52,0.35,0.59,Table 2,4,,1,0.105,0.17,0.57,Table 2,"Ritland, K., and F. R. Ganders. 1985. Variation in the mating system of Bidens menziesii (Asteraceae) in relation to population substructure. Heredity 55:235-244."
36,Smyth & Hamrick 1984,1984,Asteraceae,Carduus,nutans,Carduus  nutans,D,0,0,I,2,0,2,1.1,1.095,1.105,Table II,2,,1,-0.2225,-0.245,-0.2,Table IV,"Smyth CA, JL Hamrick. 1984. Variation in estimates of outcrossing in musk thistle populations. J Hered 75:303-307"
37,"Ritland & Ganders 1985, Smyth & Hamrick 1984",1985 & 1984,Asteraceae,Carduus,nutans,Carduus  nutans,D,0,0,I,2,0,5,0.7133333333333334,0.35,1.105,Table 2 & Table II,2,,0,,,,,Species summary
38,Sun & Ganders 1988,1988,Asteraceae,Bidens,amplectens,Bidens  amplectens,D,2,0,I,,0,1,0.588,,,Table 5,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
39,Sun & Ganders 1988,1988,Asteraceae,Bidens,cervicata,Bidens  cervicata,D,2,0,I,,0,1,0.664,,,Table 4,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
40,Sun & Ganders 1988,1988,Asteraceae,Bidens,forbesii,Bidens  forbesii,D,2,0,I,,0,1,0.612,,,Table 4,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
41,Sun & Ganders 1988,1988,Asteraceae,Bidens,hawaiensis,Bidens  hawaiensis,D,2,0,I,,0,1,0.634,,,Table 5,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
42,Sun & Ganders 1988,1988,Asteraceae,Bidens,mauiensis,Bidens  mauiensis,D,1,0,I,,0,2,0.659,0.584,0.73,Table 5,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
43,Sun & Ganders 1988,1988,Asteraceae,Bidens,menziesii filiformis,Bidens  menziesii filiformis,D,2,0,I,,0,2,0.618,0.584,0.653,Table 4,,,0,,,,,"Sun M, FR Ganders . 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
44,Sun & Ganders 1988,1988,Asteraceae,Bidens,sandvicensis sandvicensis,Bidens sandvicensis sandvicensis,D,1,0,I,,0,4,0.689,0.425,0.877,Table 4,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
45,Sun & Ganders 1988,1988,Asteraceae,Bidens,sandvicensis confusa,Bidens sandvicensis confusa,D,1,0,I,,0,1,0.881,,,Table 4,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
46,Sun & Ganders 1988,1988,Asteraceae,Bidens,torta,Bidens  torta,D,1,0,I,,0,2,0.615,0.56,0.67,Table 5,,,0,,,,,"Sun M, FR Ganders. 1988. Mixed mating systems in Hawaiian Bidens. Evolution 42:516-527"
47,"Sun & Ganders 1988, Sun & Ganders 1988",1988 & 1988,Asteraceae,Bidens,menziesii filiformis,Bidens menziesii filiformis,D,2,0,I,,0,6,0.7036666666666666,0.56,0.67,Table 4 & Table 5,4,,0,,,,,Species summary
48,Sun & Ganders 1990,1990,Asteraceae,Bidens,pilosa,Bidens  pilosa,D,1,0,I &M,,0,3,0.062,0.048,0.088,Table 3 (av of all three morphs),3,,1,0.7233333333333333,0.64,0.84,Table 3 (av of all three morphs),"Sun M, FR Ganders. 1990. Outcrossing rates and allozyme variation in rayed and rayless morphs of Bidens pilosa. Heredity 64: 139-143"
49,Sun & Ritland 1998,1998,Asteraceae,Centaurea,solstitialis,Centaurea solstitialis,D,0,0,I,9,0,8,0.978,0.948,0.99,Table 2,8,,1,-0.028,-0.108,0.27,Table 2,"Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225–232."
50,Warwick & Thompson 1989,1989,Asteraceae,Carduus,acanthoides,Carduus  acanthoides,D,0,0,I,3,0,3,0.71,0.6,0.87,Table 4 (range for multilocus estimate),,,0,,,,,"Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329-337"
51,Warwick & Thompson 1989,1989,Asteraceae,Carduus,nutans,Carduus  nutans,D,0,0,I,2,0,3,0.77,0.71,0.84,Table 4 (range for multilocus estimate),,,0,,,,,"Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329-337"
52,Iwaizumi & Sakai 2004,2004,Balsaminaceae,Impatiens,textori,Impatiens textori,D,0,0,I,2,0,4,0.536,0.339,0.682,Table 1,4,,1,0.23,0.07,0.428,Table 1,"Iwaizumi, M. G., and S. Sakai. 2004. Variation in flower biomass among nearby populations of Impatiens textori (Balsaminaceae): effects of population plant densities. Canadian Journal of Botany 82:563-572."
53,Lu 2000,2000,Balsaminaceae,Impatiens,capensis,Impatiens capensis,D,0,0,I,3,0,3,0.127,0.11,0.14,"Fig. 1 - high (natural) density treatment, plant t's",,,0,,,,,"Lu, Y. 2000. Effects of density on mixed mating systems and reproduction in natural populations of Impatiens capensis. International Journal of Plant Science 161:671–681."
54,Waller & Knight 1989,1989,Balsaminaceae,Impatiens,capensis,Impatiens capensis,D,0,0,I,2,0,6,0.496,0.295,0.678,Table 2,6,,1,0.49333333333333335,0.4,0.63,Table 1,"Waller DM, SE Knight. 1989. Genetic consequences of outcrossing in the cleistogamous annual, Impatiens capensis. II. Outcrossing rates and genotypic correlations. Evolution 43:860-869."
55,"Lu 2000, Waller & Knight 1989",2000 & 1989,Balsaminaceae,Impatiens,capensis,Impatiens capensis,D,0,0,I,2.5,0,9,0.373,0.11,0.678,"Fig. 1 - high (natural) density treatment, plant t's & Table 2",6,,0,,,,,Species summary
56,Agren & Schemske 1993,1993,Begoniaceae,Begonia,hirsuta,Begonia  hirsuta,D,0,0,I,,0,1,0.03,,,Results (Outcrossing rates),1,auton,1,0.94,,,Results (Fobs),"Agren J, DW Schemske. 1993. Outcrossing rate and inbreeding depression in two annual monoecious herbs, Begonia hirsuta and B. semiovata. Evolution 47:125-135"
57,Agren & Schemske1993,1993,Begoniaceae,Begonia,semiovata,Begonia  semiovata,D,0,0,I,,0,1,0.05,,,Results (Outcrossing rates),1,auton,1,0.49,,,Results (Fobs),"Agren J, DW Schemske. 1993. Outcrossing rate and inbreeding depression in two annual monoecious herbs, Begonia hirsuta and B. semiovata. Evolution 47:125-135"
58,Bousquet et al. 1987,1987,Betulaceae,Alnus,crispa,Alnus  crispa,D,2,1,I,8,0,9,0.951,,,Table 6,22,biparental,1,0.009,,,Table 4,"Bousquet J, Cheliak WM, M Lalonde. 1987. Allozyme variability in natural populations of green alder (Alnus crispa) in Quebec. Genome 29:345-352"
59,Xie et al. 2002,2002,Betulaceae,Alnus,rubra,Alnus rubra,D,2,1,I,10,0,17,0.85,0.56,0.98,Table 6,,,0,,,,,"Xie C-Y, El-Kassaby YA, CC Ying. 2002. Genetics of red alder (Alnus rubra Bong.) populations in British Columbia and its implications for gene resources management. New Forests 24:97-112."
60,James et al. 1998,1998,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,D,2,0,I,4,0,2,0.9625,0.943,0.982,Table 2,,,0,,,,,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587-594."
61,Fuchs et al. 2003,2003,Bombacaceae,Pachira,quinata,Pachira quinata,D,2,0,I,6,0,2,0.846,0.777,0.915,Table 1,,,0,,,,,"Fuchs, E. J., J. A. Lobo, and M. Quesada. 2003. Effects of forest fragmentation and flowering phenology on the reproductive success and mating patterns of the tropical dry forest tree Pachira quinata. Conservation Biology 17:149-157."
62,Murawski & Hamrick 1991,1991,Bombacaceae,Cavanillesia,platanifolia,Cavanillesia  platanifolia,D,2,0,I,,0,3,0.37633333333333335,0.213,0.569,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
63,Murawski & Hamrick 1991,1991,Bombacaceae,Ceiba,pentandra,Ceiba  pentandra,D,2,0,I,,0,1,0.689,,,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
64,Murawski & Hamrick 1991,1991,Bombacaceae,Quararibea,asterolepis,Quararibea  asterolepis,D,2,0,I,,0,1,1.008,,,Table 3,,,0,,,,,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167-174"
65,Boshier et al. 1995,1995,Boraginaceae,Cordia,alliodora,Cordia  alliodora,D,2,0,I,,0,1,0.966,,,Table 1,,biparental,0,,,,,"Boshier, D. H., M. R. Chase, and K. S. Bawa. 1995. Population-Genetics of Cordia-Alliodora (Boraginaceae), a Neotropical Tree .2. Mating System. American Journal of Botany 82:476-483."
66,Burdon & Brown 1986,1986,Boraginaceae,Echium,plantagineum,Echium  plantagineum,D,0,0,I,5,0,1,0.73,,,Table 5 (range for single-locus estimate),1,geit,0,0.08,,,Table 4,"Burdon, J. J., and A. H. D. Brown. 1986. Population genetics of Echium plantagineum L. - Target weed for biological control. Australian Journal of Biological Science 39:369-378."
67,"Boshier et al. 1995, Burdon & Brown 1986",1995 & 1986,Boraginaceae,Echium,plantagineum,Echium plantagineum,D,0,0,I,4.5,0,4,0.848,0.73,0,Table 1 & Table 5 (range for single-locus estimate),4,,1,0.08,,, & Table 4,Species summary
68,Burdon et al. 1988,1988,Boraginaceae,Echium,plantagineum,Echium plantagineum,D,0,0,I,4,0,3,0.9383333333333334,0.875,0.97,Table 4,3,geit,0,-0.217,-0.177,-0.247,Table 2,"Burdon, J. J., A. M. Jarosz, and A. H. D. Brown. 1988. Temporal patterns of reproduction and outcrossing in weedy populations of Echium plantagineum. Biological Journal of the Linnean Society 34:81–92."
69,Johnston & Schoen 1996,1996,Boraginaceae,Amsinckia,douglasiana,Amsinckia  douglasiana,D,0,0,I,1,0,2,0.665,0.58,0.75,Table 2,2,,1,0.0395,0.032,0.047,Tabl e 2,"Johnston, M. O., and D. J. Schoen. 1996. Correlated evolution of self-fertilization and inbreeding depression: An experimental study of nine populations of Amsinckia (Boraginaceae). Evolution 50:1478-1491."
70,Johnston & Schoen 1996,1996,Boraginaceae,Amsinckia,gloriosa,Amsinckia  gloriosa,D,0,0,I,1,0,2,0.002,0.001,0.003,Table 2,2,,1,0.735,0.73,0.74,Tabl e 2,"Johnston, M. O., and D. J. Schoen. 1996. Correlated evolution of self-fertilization and inbreeding depression: An experimental study of nine populations of Amsinckia (Boraginaceae). Evolution 50:1478-1491."
71,Johnston & Schoen 1996,1996,Boraginaceae,Amsinckia,spectabilis,Amsinckia  spectabilis,D,0,0,I,1,0,4,0.348,0.002,0.45,Table 2,4,,1,0.389,0.036,1,Tabl e 2,"Johnston, M. O., and D. J. Schoen. 1996. Correlated evolution of self-fertilization and inbreeding depression: An experimental study of nine populations of Amsinckia (Boraginaceae). Evolution 50:1478-1491."
72,Leach et al. 1993,1993,Boraginaceae,Borago,officinalis,Borago officinalis,D,0,0,I,2,0,1,0.915,,,cited in Montaner et al. 2001,,,0,,,,,"Leach, C. R., A. Renfrey, and O. Mayo. 1993. Quantitatively determined self-incompatibility. IV. Pollination and seed set in Borago officinalis. Theoretical and Applied Genetics 85:755-760."
73,Rademaker et al. 1999,1999,Boraginaceae,Echium,vulgare,Echium vulgare,D,0,0,R,,0,1,0.875,,,Results,,,0,,,,,"Rademaker, M. C. J., T. J. De Jong, and E. Van der Meijden. 1999. Selfing rates in natural populations of Echium vulgare: a combined empirical and model approach. Functional Ecology 13:828-837."
74,Vrieling et al. 1999,1999,Boraginaceae,Cynoglossum,officinale,Cynoglossum officinale,D,0,0,V,,0,1,0.678,,,Results,,,0,,,,,"Vrieling, K., L. Saumitou, P., J. Cuguen, H. vanDijk, T. J. deJong, and P. G. L. Klinkhamer. 1999. Direct and indirect estimates of the selfing rate in small and large individuals of the bumblebee pollinated Cynoglossum officinale L. (Boraginaceae). Ecology Letters 2:331-337."
75,Abbott & Gomes,1989,Brassicaceae,Arabidopsis,thaliana,Arabidopsis  thaliana,D,0,0,I,,0,7,0.0028,0,0.003,Abstract,7,auton,1,0.9979,,,Results Population Structure,"Abbott RJ, MF Gomes. 1989. Population genetic structure and outcrossing rate of Arabidopsis thaliana (L.) Heynh. Heredity 62:411-418"
76,Damgaard & Abbott 1995,1995,Brassicaceae,Brassica,napus,Brassica napus,D,0,0,I,1,3,1,0.37,,,Results,,,0,,,,,"Damgaard, C., and R. J. Abbott. 1995. Positive correlations between selfing rate and pollen-ovule ratio within plant populations. Evolution 49:214–217."
77,"Hurka et al., 1989",1989,Brassicaceae,Capsella,bursa-pastoris,Capsella  bursa-pastoris,D,0,0,I,,0,2,0.07,0.03,0.11,??,,,0,,,,,"Hurka H, Freundner S, Brown AH, U Plantholt. 1989. Aspartate aminotransferase isozymes in the genus Capsella (Brassicaceae): subcellular location, gene duplication, and polymorphism. Biochem Genet 27(1-2):77-90."
78,"Hurka et al., 1989",1989,Brassicaceae,Capsella,rubella,Capsella  rubella,D,0,0,I,,0,1,0,,,??,,,0,,,,,"Hurka H, Freundner S, Brown AH, U Plantholt. 1989. Aspartate aminotransferase isozymes in the genus Capsella (Brassicaceae): subcellular location, gene duplication, and polymorphism. Biochem Genet 27(1-2):77-90."
79,Lyons & Antonovics 1991,1991,Brassicaceae,Leavenworthia,crassa,Leavenworthia  crassa,D,0,0,I,5,0,2,0.1855,0.03,0.33,Table 2,,,0,,,,,"Lyons E.E., J. Antonovics. 1991. Breeding system evolution in Leavenworthia:  I.  Breeding system variation and reproductive success in natural populations of Leavenworthia crassa. Amer. J. Bot. 78:270-287."
80,Preston 1990,1990,Brassicaceae,Streptanthus,tortuous,Streptanthus  tortuous,D,0,0,I,,0,2,0.9,,,Thesis,,,0,,,,,"Preston, R. E. 1990. The reproductive biology of Streptanthus tortuosus. University of California, Davis, Davis, California, U.S.A."
81,Molina-Freaner et al. 2003,2003,Cactaceae,Pachycereus,pringlei,Pachycereus  pringlei,D,1,0,I,3,0,4,1.1725,0.979,1.269,Table 5,,,0,,,,,"Molina-Freamer, F., M. Cervantes-Salas, D. Morales-Romero, S. Buchmann, and T. H. Fleming. 2003. Does the pollinator abundance hypothesis explain geographic variation in the breeding system of Pachycereus pringlei? International Journal of Plant Sciences 164:383-393."
82,Murawski et al. 1994,1994,Cactaceae,Pachycereus,pringlei,Pachycereus  pringlei,D,1,0,I,8,0,1,0.6898,,,Table 3 (range for multilocus estimate),1,,1,0.12,,,Discussion,"Murawski DA, Fleming TH, Ritland K, JL Hamrick. 1994. Mating system of Pachycereus pringlei: an autotetraploid cactus. Heredity 72:86-94"
83,"Molina-Freaner et al. 2003, Murawski et al. 1994",2003 & 1994,Cactaceae,Pachycereus,pringlei,Pachycereus  pringlei,D,1,0,I,5.5,0,5,1.07596,0.69,1.269,Table 5 & Table 3 (range for multilocus estimate),1,,0,,,,,Species summary
84,Galloway et al. 2003,2003,Campanulaceae,Campanula,americana,Campanula americana,D,0,0,I,,0,1,0.938,,,Results,1,,1,0.276,,,Results-Outcrossing rate,"Galloway LF, Etterson JR, JL Hamrick. 2003. Outcrossing rates and inbreeding depression in the herbaceous autotetraploid Campanula americana. Heredity 90:308-315"
