source_scientific_name,source_family,accepted_species,match_status,name_match_method,reason,gbif_match_type,gbif_status,gbif_confidence,gbif_usage_key,gbif_accepted_usage_key
Aechmea lasseri,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2698238,
Aechmea macrochlamys,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2697899,
Aechmea mutica,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2698067,
Aechmea pineliana,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2698460,
Aechmea van-houtteana,Bromeliaceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,96,4018392,
Aeschynomene pratensis caribaea,Fabaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,2949220,
Agalinis auriculata,Orobanchaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3171193,
Agave macroacantha,Asparagaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2766974,
Agelanthus djurensis,Loranthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4003342,
Aloe inconspicua,Xanthorrhoeaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2778067,
Aloe macra,Xanthorrhoeaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Aloe mayottensis,Xanthorrhoeaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Alpinia kwangsiensis,Zingiberaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5302072,
Alstroemeria ligtu simsii,Alstroemeriaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,2753779,
Alstroemeria pallida,Alstroemeriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2753812,
Ameroglossum pernambucense,Scrophulariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3742738,
Anagallis monelli,Primulaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,3169330,
Anathallis liparanges,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2783063,
Anathallis sclerophylla,Orchidaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2782826,9349708
Anaxagorea crassipetala,Annonaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3156858,
Anemone hepatica acuta,Ranunculaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,80,7465474,6374883
Anemone patens,Ranunculaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,3033620,
Anemone pulsatilla,Ranunculaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,3033620,
Anemopaegma acutifolium,Bignoniaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4093731,
Angelonia bisaccata,Plantaginaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3742237,3742222
Angelonia cornigera,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3742158,
Angelonia hookeriana,Plantaginaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,97,7333363,3742222
Angelonia pubescens,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3741949,
Anisodus tanguticus,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7300202,
Antirrhinum subbaeticum,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3739178,
Antirrhinum valentinum,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,3738990,
Araeococcus parviflorus,Bromeliaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2693910,12179028
Arctomecon humilis,Papaveraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2888377,
Ardisia nigropunctata,Primulaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5558789,
Arenaria uniflora,Caryophyllaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,2518,
Ariocarpus fissuratus,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3084097,
Ariocarpus kotschoubeyanus,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7283031,
Arnebia szechenyi,Boraginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7659985,
Arum italicum neglectum,Araceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,99,5330661,
Asclepias incarnata pulchra,Apocynaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,3170266,
Asphodelus aestivus,Xanthorrhoeaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Asplundia fendleri,Cyclanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2861064,
Asplundia moritziana,Cyclanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2860999,
Astragalus exscapus,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5343540,
Astragalus filipes,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5343317,
Astragalus linifolius,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5344486,
Astragalus lonchocarpus,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5344397,
Astragalus pectinatus,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5343722,
Badiera caracasana,Polygalaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,4050667,9585242
Banisteriopsis adenopoda,Malpighiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3985810,
Banksia ilicifolia,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,7287663,
Banksia menziesii,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5637974,
Benthamiella nordenskjoldii,Solanaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,8003562,3801319
Bergeranthus multiceps,Aizoaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3704120,
Besleria melancholica,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3824970,
Billbergia bradeana,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2693860,
Billbergia distachia distachia,Bromeliaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,8263986,7289469
Billbergia euphemiae,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2693796,
Billbergia horrida,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2693875,
Billbergia vittata,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,2693826,
Boswellia serrata,Burseraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,5421354,
Bromus auleticus,Poaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,4107276,
Bulbophyllum involutum,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2846039,
Bulbophyllum ipanemense,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2845493,
Bulbophyllum weddellii,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3649397,
Bulnesia retamo,Zygophyllaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7285833,
Caesalpinia caladenia,Fabaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2958695,9430755
Caesalpinia calycina,Fabaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2958491,8322761
Caesalpinia gilliesii,Fabaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,2946477,
Calamagrostis insperata,Poaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4108395,
Calandrinia prostrata,Portulacaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,4022546,4023383
Calceolaria purpurea,Calceolariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7844490,
Cambessedesia espora,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3859650,
Cambessedesia regnelliana,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3859293,
Campomanesia pubescens,Myrtaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3180981,
Campomanesia velutina,Myrtaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,3180967,
Capparis jacobinae,Capparaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,97,5602104,3872989
Cattleya elongata,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2800974,
Cattleya tenuis,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2801006,
Caulokaempferia coenobialis,Zingiberaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2760525,
Cercidium praecox glaucum,Fabaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,5357228,11377719
Cereus horrispinus,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5623397,
Chamaecrista blanchetii,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,7654582,
Chamaecrista chapadae,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2950497,
Chamaecrista confertiformis,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3979433,
Chamaecrista cytisoides,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2950121,
Chamaecrista desvauxii graminea,Fabaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,2949948,
Chamaecrista desvauxii latistipula,Fabaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,99,2949909,
Chamaecrista glaucofilix,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2950179,
Chamaecrista lineata keyensis,Fabaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,2950404,
Chamaecrista nictitans pilosa,Fabaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,3932035,
Chamaecrista ramosa curvifolia,Fabaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,2950051,
Chamaecrista rotundifolia grandiflora,Fabaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,2949812,
Chironia krebsii,Gentianaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5595784,
Chloraea lamellata,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5324819,
Chloraea membranacea,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5324885,
Cipocereus laniflorus,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3942136,
Cirrhaea dependens,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,9363674,
Cistanthe grandiflora,Portulacaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Cistus heterophyllus carthaginensis,Cistaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,3595333,
Cladium mariscus jamaicense,Cyperaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,8352228,
Clematis akebioides,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3924734,
Clematis chrysocoma,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7276969,
Cleome lutea,Cleomaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7805845,
Cleome serrulata,Cleomaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,3845332,
Cochlospermum regium,Bixaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3702412,
Codonopsis subglobosa,Campanulaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5412873,
Coelogyne rigida,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8082249,
Columnea magnifica,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5589580,
Comanthera mucugensis,Eriocaulaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,6312034,
Combretum leprosum,Combretaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3698829,
Combretum pisonioides,Combretaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3699093,
Condalia montana,Rhamnaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5602853,
Conospermum ellipticum,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7287114,
Conospermum ericifolium,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,7999884,
Conospermum longifolium,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7287052,
Cordia alba,Boraginaceae,,unmatched,unmatched,reject_family_conflict,EXACT,SYNONYM,98,5361860,5361859
Cordia alliodora,Boraginaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Cordia bullata globosa,Boraginaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,5660081,4061308
Cordia elaeagnoides,Boraginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,9265090,
Cordia leucocephala,Boraginaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,5660356,4060181
Cordia lutea,Boraginaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Cordia oncocalyx,Boraginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5661249,
Cristaria dissecta,Malvaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7279155,
Croton sarcopetalus,Euphorbiaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3057848,3059670
Croton scouleri scouleri,Euphorbiaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,7225818,
Croton sonderianus,Euphorbiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3059926,
Cucurbita maxima andreana,Cucurbitaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,4939874,3623921
Cuphea o'donnellii,Lythraceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,96,3989257,
Cyanus dominii,Asteraceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,5385985,3089498
Cyanus triumfettii axillaris,Asteraceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,SYNONYM,97,5386028,7338495
Cyanus triumfettii strictus,Asteraceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,5701628,4247542
Cynophalla retusa,Capparaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3873457,
Deeringothamnus rugelii,Annonaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3156171,
Derris ovalifolia,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5350243,
Dianella revoluta,Xanthorrhoeaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Dierama dracomontanum,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5296538,
Dierama luteoalbidum,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5296551,
Dillwynia tenuifolia,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5348679,
Disa pulchra,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2783625,
Discaria americana,Rhamnaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5602906,
Dolichandra cynanchoides,Bignoniaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7298320,
Dombeya de-lislei,Malvaceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,95,7379255,
Drosophyllum lusitanicum,Drosophyllaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3191259,
Dryandra nivea,Proteaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,7287527,7287515
Dryandra quercifolia,Proteaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,5637780,5638410
Drymonia rubra,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5590525,
Dunalia brachyacantha,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5580863,
Dyckia tuberosa,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2699597,
Encholirium heloisae,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2696599,
Enemion biternatum,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3033647,
Epidendrum lacustre,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5320598,
Eremosparton songoricum,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2964864,
Erica mackaiana andevalensis,Ericaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,99,8278445,
Eriocnema fulva,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3864733,
Eriolarynx lorentzii,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3797279,
Eriotheca pubescens,Malvaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7296176,
Erodium cazorlanum,Geraniaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3828302,7268560
Erythrina chiapasana,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5349664,
Erythrina mitis,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5349739,
Erythronium umbilicatum,Liliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2752903,
Eschweilera nana,Lecythidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3083414,
Eugenia dysenterica,Myrtaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5417055,
Euphrasia willkommii,Orobanchaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3735580,
Eustephia coccinea,Amaryllidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2860375,
Ferocactus cylindraceus,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,3084150,
Frasera caroliniensis,Gentianaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3169980,
Gavilea venosa,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2849832,
Geonoma spinescens,Arecaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8340299,
Gladiolus longicollis,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2750516,
Govenia fasciata,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2841068,
Grevillea beadleana,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,9898693,
Grevillea hugelii,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3997436,
Grevillea iaspicula,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,9895430,
Grevillea longifolia,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3996248,
Grevillea macleyana,Proteaceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,95,3996150,
Grevillea wilsonii,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3995682,
Grindelia covasii,Asteraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3146232,
Habenaria paulistana,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2829347,
Hakea cristata,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3996296,
Handroanthus impetiginosus,Bignoniaceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,96,4092242,
Handroanthus vellosoi,Bignoniaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4091918,
Hedychium villosum tenuiflorum,Zingiberaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,82,2758675,
Hedychium yunnanense,Zingiberaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2758766,
Helianthemum marifolium origanifolium,Cistaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,3595823,7331266
Heliconia revoluta,Heliconiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2760740,
Heliotropium angiospermum,Boraginaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Hepatica nobilis obtusa,Ranunculaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,5371699,
Hesperidanthus suffrutescens,Brassicaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3047780,
Hirtella physophora,Chrysobalanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2985192,
Hypericum cumulicola,Hypericaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7349499,
Hypochaeris angustifolia,Asteraceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3093865,10690822
Hyptis conferta,Lamiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7306422,
Hyptis dilatata,Lamiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3905756,
Incarvillea mairei,Bignoniaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7298303,
Ipomoea brasiliana,Convolvulaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3677342,
Iris haynei,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,5299154,
Iris hermona,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5298869,
Isoglossa woodii,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5574466,
Jacaranda racemosa,Bignoniaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4093263,
Jacquemontia multiflora,Convolvulaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8130386,
