source_species,accepted_species,family,hand_self_mean,autonomous_self_mean,hand_outcross_mean,open_mean,autofertility_index,autofertility_index_basis,prior_article_lineage,include_independent_chapter2,name_match_method,name_resolution_lineage,decision_reason
Dendrolobium umbellatum,Dendrolobium umbellatum,Fabaceae,3.0,2.6,0.6,0.2,,not_used,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Derris trifoliata,Derris trifoliata,Fabaceae,1.0,1.2,0.2,0.8,1.200,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Desmodium heterocarpon,Grona heterocarpos,Fabaceae,3.8,3.6,1.0,1.4,0.947,published_table_2_2,false,true,synonym_exact,GBIF_API_2026-08-12_plus_POWO_synonym_record,strict two-backbone synonym agreement
Dissotis rotundifolia,Dissotis rotundifolia,Melastomataceae,11.6,8.0,2.8,4.0,0.690,calculated_from_table_2_1_means,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment; species omitted from paired Table 2.2
Hibiscus tiliaceus,Hibiscus tiliaceus,Malvaceae,51.2,24.4,52.6,40.4,,not_used,true,false,accepted_name_exact,master_accepted_name_exact,chapter 2 row is an unmarked transcription of Yomai and Williams 2021 and conflicts with the original table; excluded
Impatiens balsamina,Impatiens balsamina,Balsaminaceae,8.4,9.4,2.0,3.2,1.119,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Ipomoea indica,Ipomoea indica,Convolvulaceae,13.8,10.2,1.2,2.8,0.739,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Ipomoea littoralis,Ipomoea littoralis,Convolvulaceae,3.6,3.6,0.4,0.6,1.000,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Leucaena leucocephala,Leucaena leucocephala,Fabaceae,13.6,11.4,0.8,6.0,0.838,published_table_2_2,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Ludwigia octovalis,Ludwigia octovalvis,Onagraceae,11.2,10.0,2.8,2.2,0.893,published_table_2_2,false,true,synonym_exact,GBIF_API_2026-08-12_plus_ITIS_accepted_orthography,strict two-backbone orthographic synonym agreement
Melastoma malabathricum,Melastoma malabathricum,Melastomataceae,17.0,16.6,3.2,8.6,0.976,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment; retain direct conflict if another High source disagrees
Mimosa diplotricha,Mimosa diplotricha,Fabaceae,7.6,0.4,0,6.8,0.053,published_table_2_2,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Mimosa pudica,Mimosa pudica,Fabaceae,11.2,0,0,9.2,0,published_table_2_2,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Senna alata,Senna alata,Fabaceae,5.6,6.2,4.0,6.0,,not_used,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Senna obtusifolia,Senna obtusifolia,Fabaceae,6.0,7.6,2.0,2.6,1.267,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Senna occidentalis,Senna occidentalis,Fabaceae,13.6,10.8,7.0,7.4,0.794,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment; retain direct conflict if another High source disagrees
Sesbania grandiflora,Sesbania grandiflora,Fabaceae,11.6,14.2,12.6,11.4,1.224,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Sida acuta,Sida acuta,Malvaceae,5.6,6.2,6.0,4.0,,not_used,true,false,accepted_name_exact,master_accepted_name_exact,chapter 2 row conflicts with the marked original Table 1.3 values; excluded as duplicate lineage
Sida rhombifolia,Sida rhombifolia,Malvaceae,3.0,6.8,1.4,6.4,,not_used,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Solanum americanum,Solanum americanum,Solanaceae,10.8,13.0,7.0,4.4,1.204,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Tephrosia candida,Tephrosia candida,Fabaceae,5.2,3.6,1.0,1.4,0.692,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Thespesia populnea,Thespesia populnea,Malvaceae,14.2,5.8,11.2,13.0,,not_used,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Vigna marina,Vigna marina,Fabaceae,4.6,4.0,3.8,1.0,,not_used,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Xylocarpus granatum,Xylocarpus granatum,Meliaceae,7.8,8.4,5.4,4.8,1.077,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
