source_name,family,traits,dataset_keys,source_rows
Acacia chalkeri,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia cheelii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia chrysotricha,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia colletioides,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia constablei,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia costiniana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia courtii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia covenyi,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia curranii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia dallachiana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia dangarensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia dawsonii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia debilis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia difformis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia dorothea,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia echinula,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia flexifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia flocktoniae,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia floydii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia forsythii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia fulva,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia georgensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia gladiiformis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia gordonii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia granitica,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia halliana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia hamiltoniana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia harpophylla,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia havilandiorum,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia homalophylla,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia ingramii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia ixiophylla,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia ixodes,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia jennerae,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia johnsonii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia jonesii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia jucunda,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia kybeanensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia kydrensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia lanigera,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia latisepala,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia leptoclada,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia leucoclada,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia linearifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia lineata,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia loderi,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia lucasii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia mabellae,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia macnuttiana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia melvillei,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia mollifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia montana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia muelleriana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia murrayana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia neriifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia obtusata,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia olsenii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia orites,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia oshanesii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia parvipinnula,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia petraea,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia peuce,Fabaceae,flower_primary_color,eFLOWER_Dun_2022,2
Acacia phasmoides,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia pilligaensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia polybotrya,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia pravifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia ptychoclada,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia pubifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia pycnostachya,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia rivalis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia ruppii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia saliciformis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia sclerophylla,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia sibirica,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia stenophylla,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia subporosa,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia subtilinervis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia tessellata,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia torringtonensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia uncinata,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia venulosa,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia viscidula,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Aceratium doggrellii,Elaeocarpaceae,flower_primary_color,eFLOWER_Dun_2022,4
Acianthus apprimus,Orchidaceae,flower_primary_color,NHNSW_2014_2,1
Acianthus collinus,Orchidaceae,flower_primary_color,NHNSW_2014_2,1
Acianthus exiguus,Orchidaceae,flower_primary_color,NHNSW_2014_2,1
Acidonia microcarpa,Proteaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,2
Ackama paniculosa,Cunoniaceae,flower_primary_color,NHNSW_2014_2,1
Acomis acoma,Asteraceae,flower_primary_color,NHNSW_2014_2,1
Acradenia euodiiformis,Rutaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Acronychia baeuerlenii,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Acronychia pauciflora,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Acronychia suberosa,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Acrophyllum australe,Cunoniaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Acrothamnus maccraei,Ericaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,3
Acrothamnus melaleucoides,Ericaceae,flower_primary_color,NHNSW_2014_2,1
Acrotriche divaricata,Ericaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Acrotriche rigida,Ericaceae,flower_primary_color,NHNSW_2014_2,1
Actephila grandifolia,Phyllanthaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,2
Actinodium cunninghamii,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,2
Actinotus forsythii,Apiaceae,flower_primary_color,NHNSW_2014_2,1
Actinotus gibbonsii,Apiaceae,flower_primary_color,NHNSW_2014_2,1
Actinotus paddisonii,Apiaceae,flower_primary_color,NHNSW_2014_2,1
Actites megalocarpus,Asteraceae,flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,2
Adenochilus nortonii,Orchidaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Aenictophyton anomalum,Fabaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Aenictophyton reconditum,Fabaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,7
Agiortia cicatricata,Ericaceae,flower_primary_color,NHNSW_2014_2,1
Agiortia pleiosperma,Ericaceae,flower_primary_color,NHNSW_2014_2,1
Agrostis boormanii,Poaceae,flower_primary_color,NHNSW_2014_2,1
Agrostocrinum hirsutum,Hemerocallidaceae,flower_primary_color,eFLOWER_Dun_2022,2
Akania bidwillii,Akaniaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,6
Alania cunninghamii,Boryaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Alexgeorgea nitens,Restionaceae,flower_primary_color,eFLOWER_Dun_2022,1
Allocasuarina portuensis,Casuarinaceae,flower_primary_color,NHNSW_2014_2,1
Allosyncarpia ternata,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,2
Alloxylon flammeum,Proteaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,5
Almaleea cambagei,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Almaleea capitata,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Almaleea incurvata,Fabaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,6
Almaleea paludosa,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Alstonia constricta,Apocynaceae,flower_primary_color,NHNSW_2014_2,1
Alyogyne hakeifolia,Malvaceae,flower_primary_color,eFLOWER_Dun_2022,3
Alyssum linifolium,Brassicaceae,flower_primary_color,NHNSW_2014_2,1
Amaranthus centralis,Amaranthaceae,flower_primary_color,eFLOWER_Dun_2022,1
Ammi visnaga,Apiaceae,flower_primary_color,NHNSW_2014_2,1
Ammobium craspedioides,Asteraceae,flower_primary_color,NHNSW_2014_2,1
Amomum queenslandicum,Zingiberaceae,flower_primary_color,eFLOWER_Dun_2022,2
Amphibromus pithogastrus,Poaceae,flower_primary_color,NHNSW_2014_2,1
Amsinckia intermedia,Boraginaceae,flower_primary_color,NHNSW_2014_2,1
Amyema gaudichaudii,Loranthaceae,flower_primary_color,NHNSW_2014_2,1
Amyema linophylla,Loranthaceae,flower_primary_color,NHNSW_2014_2,1
Amyema lucasii,Loranthaceae,flower_primary_color,NHNSW_2014_2,1
Anacampseros australiana,Portulacaceae,flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,2
Anarthria polyphylla,Anarthriaceae,floral_symmetry,eFLOWER_2021,2
Anchusa arvensis,Boraginaceae,flower_primary_color,NHNSW_2014_2,1
Androcalva fragifolia,Malvaceae,flower_primary_color,eFLOWER_Dun_2022,1
Androcalva fraseri,Malvaceae,flower_primary_color,NHNSW_2014_2,1
Androcalva procumbens,Malvaceae,flower_primary_color,NHNSW_2014_2,1
Anemocarpa podolepidium,Asteraceae,flower_primary_color,NHNSW_2014_2,1
Anemocarpa saxatilis,Asteraceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Angianthus brachypappus,Asteraceae,flower_primary_color,NHNSW_2014_2,1
Angianthus tomentosus,Asteraceae,flower_primary_color,NHNSW_2014_2,1
Angophora bakeri,Myrtaceae,flower_primary_color,NHNSW_2014_2|Stephens_2024,2
Angophora inopina,Myrtaceae,flower_primary_color,NHNSW_2014_2|Stephens_2024,2
Angophora melanoxylon,Myrtaceae,flower_primary_color,NHNSW_2014_2|Stephens_2024,2
Angophora robur,Myrtaceae,flower_primary_color,NHNSW_2014_2|Stephens_2024,2
Angophora subvelutina,Myrtaceae,flower_primary_color,NHNSW_2014_2|Stephens_2024,2
Anigozanthos bicolor,Haemodoraceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Anopterus macleayanus,Escalloniaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_2021,2
Anthocercis littorea,Solanaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Anthotroche myoporoides,Solanaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,5
Anticoryne ovalifolia,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,2
Aotus mollis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Aotus subglauca,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Aotus subspinescens,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Apatophyllum constablei,Celastraceae,flower_primary_color,NHNSW_2014_2,1
Apatophyllum teretifolium,Celastraceae,flower_primary_color,eFLOWER_Dun_2022,1
Aphelia brizula,Centrolepidaceae,flower_primary_color,eFLOWER_Dun_2022,1
Aphyllodium parvifolium,Fabaceae,flower_primary_color,eFLOWER_Dun_2022,4
Aponogeton elongatus,Aponogetonaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Arabidella eremigena,Brassicaceae,flower_primary_color,NHNSW_2014_2,1
Arabidella nasturtium,Brassicaceae,flower_primary_color,NHNSW_2014_2,1
Araucaria cunninghamii,Araucariaceae,flower_primary_color,NHNSW_2014_2,1
Archidendron muellerianum,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Ardisia bakeri,Primulaceae,flower_primary_color,NHNSW_2014_2,1
Argophyllum nullumense,Argophyllaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Argyrodendron actinophyllum,Malvaceae,flower_primary_color,NHNSW_2014_2,1
Argyroglottis turbinata,Asteraceae,flower_primary_color,eFLOWER_Dun_2022,1
Aristida acuta,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida behriana,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida caput-medusae,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida helicophylla,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida leichhardtiana,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida leptopoda,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida obscura,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida platychaeta,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida psammophila,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristida vickeryae,Poaceae,flower_primary_color,NHNSW_2014_2,1
Aristolochia laheyana,Aristolochiaceae,flower_primary_color,NHNSW_2014_2,1
Aristolochia praevenosa,Aristolochiaceae,flower_primary_color,NHNSW_2014_2,1
Aristotelia australasica,Elaeocarpaceae,flower_primary_color,NHNSW_2014_2,1
Arnocrinum preissii,Hemerocallidaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Arrhenechthites mixtus,Asteraceae,flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,2
Arthropodium fimbriatum,Asparagaceae,flower_primary_color,NHNSW_2014_2,1
Asperula ambleia,Rubiaceae,flower_primary_color,NHNSW_2014_2,1
Asperula charophyton,Rubiaceae,flower_primary_color,NHNSW_2014_2,1
Asperula cunninghamii,Rubiaceae,flower_primary_color,NHNSW_2014_2,1
Asperula euryphylla,Rubiaceae,flower_primary_color,NHNSW_2014_2,1
Asperula gemella,Rubiaceae,flower_primary_color,NHNSW_2014_2,1
Asperula subulifolia,Rubiaceae,flower_primary_color,NHNSW_2014_2,1
Asplenium subglandulosum,Aspleniaceae,flower_primary_color,NHNSW_2014_2,2
Astelia australiana,Asteliaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Astelia psychrocharis,Asteliaceae,flower_primary_color,NHNSW_2014_2,1
Asterolasia correifolia,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Asterolasia elegans,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Asterolasia hexapetala,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Asterolasia trymalioides,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Astonia australiensis,Alismataceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Astrebla lappacea,Poaceae,flower_primary_color,eFLOWER_Dun_2022,2
Astrotricha asperifolia,Araliaceae,flower_primary_color,NHNSW_2014_2,1
Astrotricha cordata,Araliaceae,flower_primary_color,NHNSW_2014_2,1
Astrotricha crassifolia,Araliaceae,flower_primary_color,NHNSW_2014_2,1
Astrotricha floccosa,Araliaceae,flower_primary_color,NHNSW_2014_2,1
Astrotricha ledifolia,Araliaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Astrotricha linearis,Araliaceae,flower_primary_color,NHNSW_2014_2,1
Astrotricha obovata,Araliaceae,flower_primary_color,NHNSW_2014_2,1
Astrotricha roddii,Araliaceae,flower_primary_color,NHNSW_2014_2,1
Astus tetragonus,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,4
Atalaya brevialata,Sapindaceae,flower_primary_color,SPRAT_2025_2,1
Atkinsonia ligustrina,Loranthaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,3
Austrobaileya scandens,Austrobaileyaceae,floral_symmetry|flower_primary_color,eFLOWER_2021|eFLOWER_Dun_2022,4
Austrobryonia micrantha,Cucurbitaceae,flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,3
Austrobuxus swainii,Picrodendraceae,floral_symmetry,eFLOWER_Dun_2022,1
Austromuellera trinervia,Proteaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,5
Austromyrtus tenuifolia,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Austrosteenisia glabristyla,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Austrostipa gibbosa,Poaceae,flower_primary_color,NHNSW_2014_2,1
Austrostipa metatoris,Poaceae,flower_primary_color,NHNSW_2014_2,1
Austrostipa nullanulla,Poaceae,flower_primary_color,NHNSW_2014_2,1
Austrostipa trichophylla,Poaceae,flower_primary_color,NHNSW_2014_2,1
Austrostipa tuckeri,Poaceae,flower_primary_color,NHNSW_2014_2,1
Austrostipa wakoolica,Poaceae,flower_primary_color,NHNSW_2014_2,1
Azanza thespesioides,Malvaceae,flower_primary_color,eFLOWER_Dun_2022,3
Azorella fragosea,Apiaceae,flower_primary_color,NHNSW_2014_2,1
Azorella macquariensis,Apiaceae,flower_primary_color,eFLOWER_Dun_2022,3
Babiana stricta,Iridaceae,flower_primary_color,NHNSW_2014_2,1
Babingtonia camphorosmae,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,2
Backhousia hughesii,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,2
Backhousia leptopetala,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Backhousia sciadophora,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Backhousia subargentea,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Baeckea brevifolia,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Baeckea crassifolia,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Baeckea diosmifolia,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Baeckea preissiana,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,2
Baeckea utilis,Myrtaceae,flower_primary_color,NHNSW_2014_2,1
Balaustion pulcherrimum,Myrtaceae,flower_primary_color,eFLOWER_Dun_2022,2
Baloghia marmorata,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Banksia canei,Proteaceae,flower_primary_color,NHNSW_2014_2,1
Banksia penicillata,Proteaceae,flower_primary_color,NHNSW_2014_2,1
Banksia pteridifolia,Proteaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Barbarea grayi,Brassicaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,3
Barklya syringifolia,Fabaceae,flower_primary_color,eFLOWER_Dun_2022,4
Basedowia tenerrima,Asteraceae,flower_primary_color,eFLOWER_Dun_2022,1
Bellida graminea,Asteraceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,2
Bentleya spinescens,Pittosporaceae,flower_primary_color,eFLOWER_Dun_2022,4
Berberis aquifolium,Berberidaceae,flower_primary_color,NHNSW_2014_2,1
Berberis floribunda,Berberidaceae,flower_primary_color,NHNSW_2014_2,1
Bertya brownii,Euphorbiaceae,floral_symmetry,eFLOWER_Dun_2022,1
Bertya cunninghamii,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Bertya findlayi,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Bertya glandulosa,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Bertya gummifera,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Bertya ingramii,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Bertya mollissima,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Bertya oblonga,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,2
Bertya opponens,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Bertya pomaderroides,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Beyeria lasiocarpa,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Beyeria opaca,Euphorbiaceae,flower_primary_color,NHNSW_2014_2,1
Blackallia nudiflora,Rhamnaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,2
Blancoa canescens,Haemodoraceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,2
Blandfordia cunninghamii,Blandfordiaceae,flower_primary_color,NHNSW_2014_2,1
Bleasdalea bleasdalei,Proteaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,4
Blennodia canescens,Brassicaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,6
Blennodia pterosperma,Brassicaceae,flower_primary_color,NHNSW_2014_2,1
Blepharocarya involucrigera,Anacardiaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,3
Boea hygroscopica,Gesneriaceae,flower_primary_color,eFLOWER_Dun_2022,2
Boronia algida,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia anemonifolia,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia anethifolia,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia barkeriana,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia bipinnata,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia coerulescens,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia deanei,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia floribunda,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia glabra,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia granitica,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia imlayensis,Rutaceae,floral_symmetry|flower_primary_color,eFLOWER_Dun_2022,5
Boronia ledifolia,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia microphylla,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia nana,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia pinnata,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia repanda,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia rigens,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia rubiginosa,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia ruppii,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia serrulata,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia subulifolia,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia thujona,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia umbellata,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Boronia warrumbunglensis,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Borya sphaerocephala,Boryaceae,flower_primary_color,eFLOWER_Dun_2022,2
Bosistoa floydii,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Bosistoa transversa,Rutaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea bracteosa,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea buxifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea foliosa,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea kiamensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea lenticularis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea neoanglica,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea oligosperma,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea rhombifolia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea scolopendria,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea scortechinii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bossiaea stephensonii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Bothriochloa biloba,Poaceae,flower_primary_color,NHNSW_2014_2,1
Bouchardatia neurococca,Rutaceae,floral_symmetry|flower_primary_color,NHNSW_2014_2|eFLOWER_Dun_2022,4
Brachyloma geissoloma,Ericaceae,flower_primary_color,eFLOWER_Dun_2022,3
Brachyscias verecundus,Apiaceae,flower_primary_color,eFLOWER_Dun_2022,2
Brachyscome barkerae,Asteraceae,flower_primary_color,NHNSW_2014_2,1
