accepted_species,genus,family,n_islands,n_records
Maoutia setosa,Maoutia,Urticaceae,6,82
Salix hexandra,Salix,Salicaceae,10,118
Ficus sinuata,Ficus,Moraceae,12,260
Peperomia trichopus,Peperomia,Piperaceae,4,11
Gratiola officinalis,Gratiola,Plantaginaceae,14,113
Trevesia burckii,Trevesia,Araliaceae,5,41
Lycium andersonii,Lycium,Solanaceae,11,38
Zingiber molle,Zingiber,Zingiberaceae,3,9
Ornithogalum pyramidale,Ornithogalum,Asparagaceae,12,63
Planchonella contermina,Planchonella,Sapotaceae,3,51
Begonia pinglinensis,Begonia,Begoniaceae,1,86
Alternanthera halimifolia,Alternanthera,Amaranthaceae,19,125
Cuscuta umbellata,Cuscuta,Convolvulaceae,11,29
Benstonea gibbsiana,Benstonea,Pandanaceae,2,24
Heterocodon rariflorum,Heterocodon,Campanulaceae,4,76
Quercus hondae,Quercus,Fagaceae,4,67
Koenigia tripterocarpa,Koenigia,Polygonaceae,12,93
Lophopetalum beccarianum,Lophopetalum,Celastraceae,3,113
Alloxylon brachycarpum,Alloxylon,Proteaceae,2,28
Aphyllon fasciculatum,Aphyllon,Orobanchaceae,9,29
Phylica arborea,Phylica,Rhamnaceae,4,31
Didymocheton pauciflorus,Didymocheton,Meliaceae,5,13
Mertensia virginica,Mertensia,Boraginaceae,6,234
Sloanea grandiflora,Sloanea,Elaeocarpaceae,2,7
Jasminum nummulariifolium,Jasminum,Oleaceae,3,34
Diospyros ultima,Diospyros,Ebenaceae,2,39
Aichryson tortuosum,Aichryson,Crassulaceae,5,145
Sabatia arenicola,Sabatia,Gentianaceae,3,34
Searsia longipes,Searsia,Anacardiaceae,3,607
Cissus stipulata,Cissus,Vitaceae,4,5
Pigea caledonica,Pigea,Violaceae,5,141
Hopea glabrifolia,Hopea,Dipterocarpaceae,3,9
Tabebuia fluviatilis,Tabebuia,Bignoniaceae,3,6
Horsfieldia lancifolia,Horsfieldia,Myristicaceae,2,35
Hippeastrum striatum,Hippeastrum,Amaryllidaceae,6,26
Cucumis sacleuxii,Cucumis,Cucurbitaceae,3,20
Eulobus crassifolius,Eulobus,Onagraceae,5,59
Heteropterys brachiata,Heteropterys,Malpighiaceae,2,7
Amylotheca duthieana,Amylotheca,Loranthaceae,2,36
