island_id,species,n_records,n_unique_gbif_ids,basis_of_record_set,review_status
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Asplenium sandersonii,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Astropanax mannii,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Begonia ampla,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Begonia annobonensis,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Bolusiella talbotii,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Bridelia micrantha,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Bulbophyllum falcatum,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Canna indica,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cardiospermum corindum,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Catharanthus roseus,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cavacoa quintasii,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Ceiba pentandra,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Celtis philippensis,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Chaetachme aristata,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Christella dentata,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Citrus aurantium,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cocos nucifera,1,1,OCCURRENCE,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Coleus monostachyus,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Commelina benghalensis,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Commelina diffusa,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Costus giganteus,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Craterispermum caudatum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Craterispermum montanum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Crepidomanes mettenii,7,7,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Crotalaria retusa,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cyathula prostrata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cyclosorus striatus,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cyperus cyperoides,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cyperus dubius,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cyperus sphacelatus,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Cyrtorchis arcuata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Desmodium,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Dicliptera verticillata,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Didymoglossum liberiense,5,5,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Digitaria horizontalis,2,2,OCCURRENCE|PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Dioscorea cayenensis,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Diplazium proliferum,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Discoclaoxylon pubescens,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Discoglypremna caloneura,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Disperis reichenbachiana,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Elytraria marginata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Epipogium roseum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Euphorbia hirta,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Guilandina bonduc,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Gymnanthemum amygdalinum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Heisteria parvifolia,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Hibiscus rosa-sinensis,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Hymenophyllum kuhnii,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Ipomoea mauritiana,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Jatropha curcas,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Laportea aestuans,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Liparis epiphytica,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Liparis nervosa,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Lomaridium attenuatum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Loxogramme lanceolata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Mangifera indica,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Manilkara obovata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Microgramma lycopodioides,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Microsorum punctatum,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Mucuna sloanei,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Nephrolepis biserrata,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Nephrolepis undulata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Nervilia bicarinata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Ochna membranacea,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Ocimum gratissimum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Oxalis corniculata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Palisota pedicellata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Paspalum conjugatum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Pauridiantha floribunda,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Pellaea doniana,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Peperomia blanda,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Peperomia kamerunana,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Peperomia rapensis,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Peperomia vulcanica,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Persea americana,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Piper umbellatum,4,4,OCCURRENCE|PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Pityrogramma calomelanos,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Pleopeltis macrocarpa,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Pleurolobus gangeticus,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Pollia condensata,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Polygonum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Polystachya concreta,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Polystachya mukandaensis,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Psychotria lucens,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Psychotria peduncularis,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Pteris linearis,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Ptisana fraxinea,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Rauvolfia vomitoria,5,5,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Rhipsalis baccifera,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Ricinus communis,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Rytigynia umbellulata,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Sabicea ingrata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Senna obtusifolia,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Senna occidentalis,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Sesbania sericea,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Setaria barbata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Setaria longiseta,2,2,OCCURRENCE|PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Setaria parviflora,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Solanum americanum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Solanum dasyphyllum,2,2,OCCURRENCE|PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Solanum scabrum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Spondias mombin,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Syzygium jambos,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Tamarindus indica,4,4,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Tectaria camerooniana,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Teramnus labialis,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Thecacoris stenopetala,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Thecacoris trichogyne,4,4,OCCURRENCE|PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Tristemma littorale,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Warneckea fosteri,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Warneckea memecyloides,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Zeuxine elongata,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
