block_id,download_key,doi,n_block_member_islands,n_islands_available_for_assignment,archive_path,archive_sha256,archive_bytes,n_source_rows,n_valid_coordinate_rows,n_exact_island_rows_before_dedup,n_buffer_only_rows,n_rows_retained_after_global_dedup,collection_status,error
gbif_block_cell_w-060.0_s+30.0_002,0017587-260623161305970,10.15468/dl.kpqzs2,3,3,data/v2/staging/gbif/archives/0017587-260623161305970.zip,152a4bc0343e998eb012a4756ce3efa4ef12806aee04da66565a20eb80b70679,17236,261,261,239,22,239,collected,
gbif_block_cell_w-060.0_s+60.0_003,0017618-260623161305970,10.15468/dl.9sjbzm,105,105,data/v2/staging/gbif/archives/0017618-260623161305970.zip,405ac0626ab80413fff29533cf897e56cefb31cbf532a46ceaa009498de79c4c,91819,1256,1256,702,554,702,collected,
gbif_block_cell_w-060.0_s-30.0_002,0017589-260623161305970,10.15468/dl.wubuxy,100,100,data/v2/staging/gbif/archives/0017589-260623161305970.zip,30a37b804e34e806327e6b3e5abd500a93a9a3f090389af8d67a2b57a6b9c2fd,260609,2785,2785,1191,1594,1191,collected,
gbif_block_cell_w-060.0_s-60.0_001,0017619-260623161305970,10.15468/dl.sqrwkv,29,29,data/v2/staging/gbif/archives/0017619-260623161305970.zip,c6283216e9d5db5f29b4422ce6cb226fe5d338cf4bc79c3b71904be264a08302,563071,7311,7311,5104,2207,5104,collected,
gbif_block_cell_w-090.0_s+00.0_004,0017778-260623161305970,10.15468/dl.6ydb6y,51,51,data/v2/staging/gbif/archives/0017778-260623161305970.zip,b6c53aedf85d1b6f38e02877e5411cd799a1686a92505a4e6ac362c5222dd727,1506107,21726,21726,15064,6662,15064,collected,
gbif_block_cell_w-090.0_s+30.0_003,0017783-260623161305970,10.15468/dl.yaepyc,116,116,data/v2/staging/gbif/archives/0017783-260623161305970.zip,abf610ca7d0044d46569f120f3aa71e0317425095a8b7379ad00e390be536c27,2348040,29490,29490,13146,16344,13146,collected,
gbif_block_cell_w-090.0_s+60.0_001,0017640-260623161305970,10.15468/dl.yspk34,119,119,data/v2/staging/gbif/archives/0017640-260623161305970.zip,14d9b6e95faad9fb7d9c685152dc730cb89e6a15edb02438a23081fe77f4c68f,3430184,33979,33979,28736,5243,28736,collected,
gbif_block_cell_w-090.0_s+60.0_004,0017922-260623161305970,10.15468/dl.wqwyts,41,41,data/v2/staging/gbif/archives/0017922-260623161305970.zip,ee48d688d3116eb17e69316790f571d7db1df401369683c5948b3dfc7c570504,7515,70,70,0,70,0,collected,
gbif_block_cell_w-090.0_s-30.0_001,0017863-260623161305970,10.15468/dl.neyyrc,32,32,data/v2/staging/gbif/archives/0017863-260623161305970.zip,a878672cab6f3da3a2b9626a03264347b2630697a52f332eabad58dcbf982bcc,1531370,20099,20099,17884,2215,17884,collected,
gbif_block_cell_w-090.0_s-60.0_005,0017983-260623161305970,10.15468/dl.s4afzh,66,66,data/v2/staging/gbif/archives/0017983-260623161305970.zip,247bc3e9784aeeeed9386082683906bce054813377062237bc38bf8d9ff0d9cd,13327,134,134,58,76,58,collected,
gbif_block_cell_w-120.0_s+00.0_001,0017924-260623161305970,10.15468/dl.qdsjbk,91,91,data/v2/staging/gbif/archives/0017924-260623161305970.zip,3a84986bfb79a3c34d4ca82b4833ee127f821964c1dec0284ed2ebb8ac0fbdff,15142421,106753,106753,85844,20909,85844,collected,
gbif_block_cell_w-120.0_s+30.0_001,0017934-260623161305970,10.15468/dl.uj4559,6,6,data/v2/staging/gbif/archives/0017934-260623161305970.zip,512e5a56eaee26d59637b15204c8814befad13098d9a00cf0eb3198474c35d86,14829558,87274,87274,84992,2282,84992,collected,
gbif_block_cell_w-120.0_s+60.0_003,0018017-260623161305970,10.15468/dl.v5t6zm,70,70,data/v2/staging/gbif/archives/0018017-260623161305970.zip,69ee4b98d4e1eaa134e39e102c6ad28f28ae1fc6bd149dfb7b0b5c204e48f592,14923,172,172,141,31,141,collected,
gbif_block_cell_w-120.0_s-30.0_001,0017978-260623161305970,10.15468/dl.aknnp9,10,10,data/v2/staging/gbif/archives/0017978-260623161305970.zip,6296ca0d567047a7cdc00e86b512264e9a76bce8d8aa17502edc55c63136dfd9,3115463,40801,40801,36089,4712,36089,collected,
gbif_block_cell_w-120.0_s-90.0_001,0017985-260623161305970,10.15468/dl.psffg2,1,1,data/v2/staging/gbif/archives/0017985-260623161305970.zip,ed2dc0be86c510b5bb3c775d5d9b1586f70d93af5b7d577f2d3df04ded5e3c40,516,0,0,0,0,0,collected,
gbif_block_cell_w-150.0_s+30.0_003,0018082-260623161305970,10.15468/dl.dmzrww,48,48,data/v2/staging/gbif/archives/0018082-260623161305970.zip,57bac010114af2c6558f8f8f7d48b815de87ba1478db7c02d71f07907c380a7a,608407,6903,6903,2529,4374,2529,collected,
gbif_block_cell_w-150.0_s+60.0_001,0018019-260623161305970,10.15468/dl.3y6n4x,78,78,data/v2/staging/gbif/archives/0018019-260623161305970.zip,31697b6577cac80448a6bc654bf19106606ff2331c4103feb93292158cad672e,993328,10604,10604,8413,2191,8413,collected,
gbif_block_cell_w-150.0_s-30.0_001,0018052-260623161305970,10.15468/dl.3n3hj6,48,48,data/v2/staging/gbif/archives/0018052-260623161305970.zip,bf94d3fdac33ea04d0fd8eba4cb4fd0f88b45745114b01192e7da3d706ba53d6,2222253,24075,24075,21661,2414,21661,collected,
gbif_block_cell_w-180.0_s+00.0_001,0018053-260623161305970,10.15468/dl.evwje4,15,15,data/v2/staging/gbif/archives/0018053-260623161305970.zip,63356a7ced684d4ef1261110a8a9d692dbd5e4d50631b81eda81a7826997abeb,50801833,422978,422978,406553,16425,406553,collected,
gbif_block_cell_w-180.0_s+30.0_001,0018083-260623161305970,10.15468/dl.t37urt,116,116,data/v2/staging/gbif/archives/0018083-260623161305970.zip,0cc75be2533198d5d321ec044549ecbafe0b31c38e907f3b58c5cb02540c2e9e,1897725,21141,21141,17010,4131,17010,collected,
gbif_block_cell_w-180.0_s+60.0_001,0018084-260623161305970,10.15468/dl.cgaarf,66,66,data/v2/staging/gbif/archives/0018084-260623161305970.zip,27d15faf9fc10806e26fbbbd867f18c93d0e9f9ad1b1db8e84354590e21c0ca2,2172063,34238,34238,30979,3259,30979,collected,
gbif_block_cell_w-180.0_s-30.0_001,0018098-260623161305970,10.15468/dl.ckw7fw,74,74,data/v2/staging/gbif/archives/0018098-260623161305970.zip,6161ec4ec0e0cbd68800776f5e83ed4755de6ad01d3e9e96910f8435a9df3e4d,2728522,32380,32380,27193,5187,27193,collected,
gbif_block_cell_w-180.0_s-60.0_001,0018099-260623161305970,10.15468/dl.f5nwan,2,2,data/v2/staging/gbif/archives/0018099-260623161305970.zip,aa26c49f4f4850ccd4064956acf257e74d2d06a08496995beae7f4979179ce07,1058937,13596,13596,11591,2005,11591,collected,
