source_name,source_family,source_provider_keys
Balsamorhiza sagittata,Asteraceae,glopl_2025
Bauhinia curvula,Fabaceae,glopl_2025
Betonica alopecuros,,floraweb_biolflor
Brunsvigia litoralis,Amaryllidaceae,glopl_2025
Brunsvigia undulata,Amaryllidaceae,glopl_2025
Bupleurum ranunculoides,,floraweb_biolflor
Byrsonima rotunda,Malpighiaceae,glopl_2025
Byrsonima umbellata,Malpighiaceae,glopl_2025
Caesalpinia decapetala,Fabaceae,glopl_2025
Caesalpinia echinata,Fabaceae,glopl_2025
Calamintha foliosa,,floraweb_biolflor
Calamintha menthifolia,,floraweb_biolflor
Calamintha nepeta,,floraweb_biolflor
Calathea cylindrica,Marantaceae,glopl_2025
Calibrachoa elegans,Solanaceae,glopl_2025
Calyptrogyne ghiesbreghtiana,Arecaceae,glopl_2025
Calystegia collina,Convolvulaceae,glopl_2025
Cambessedesia hilariana,Melastomataceae,glopl_2025
Campanula barbata,,floraweb_biolflor
Campanula scheuchzeri,,floraweb_biolflor
Campanula thyrsoides,,floraweb_biolflor
Cardamine alpina,,floraweb_biolflor
Carduus personata,,floraweb_biolflor
Carex alba,,floraweb_biolflor
Carex brachystachys,,floraweb_biolflor
Carex curvata,,floraweb_biolflor
Carex firma,,floraweb_biolflor
Carex hordeistichos,,floraweb_biolflor
Carex oenensis,,floraweb_biolflor
Carex ornithopodioides,,floraweb_biolflor
Carex paupercula,,floraweb_biolflor
Carex randalpina,,floraweb_biolflor
Carex sempervirens,,floraweb_biolflor
Carex viridula,,floraweb_biolflor
Castilleja linariifolia,Orobanchaceae,glopl_2025
Caulokaempferia coenobialis,Zingiberaceae,glopl_2025
Centaurium capitatum,,floraweb_biolflor
Cerastium cerastoides,Caryophyllaceae,floraweb_biolflor|glopl_2025
Cerastium dubium,,floraweb_biolflor
Ceratocephala orthoceras,,floraweb_biolflor
Cerinthe alpina,,floraweb_biolflor
Chenopodium chenopodioides,,floraweb_biolflor
Chenopodium hybridum,,floraweb_biolflor
Chenopodium polyspermum,,floraweb_biolflor
Chenopodium strictum,,floraweb_biolflor
Chironia krebsii,Gentianaceae,glopl_2025
Cipocereus laniflorus,Cactaceae,glopl_2025
Cirrhaea dependens,Orchidaceae,glopl_2025
Cirsium eriophorum,,floraweb_biolflor
Clarkia xantiana,Onagraceae,glopl_2025
Clematis socialis,Ranunculaceae,glopl_2025
Clusia hilariana,Clusiaceae,glopl_2025
Cochlearia bavarica,Brassicaceae,floraweb_biolflor|glopl_2025
Cochlospermum regium,Bixaceae,glopl_2025
Coeloglossum viride,,floraweb_biolflor
Collinsia sparsiflora,Plantaginaceae,glopl_2025
Collinsia verna,Plantaginaceae,glopl_2025
Combretum leprosum,Combretaceae,glopl_2025
Combretum monetaria,Combretaceae,glopl_2025
Consolida ajacis,,floraweb_biolflor
Consolida regalis,,floraweb_biolflor
Coptis teeta,Ranunculaceae,glopl_2025
Cordylanthus maritimus,Orobanchaceae,glopl_2025
Corispermum leptopterum,,floraweb_biolflor
Craigia yunnanensis,Malvaceae,glopl_2025
Crocus albiflorus,,floraweb_biolflor
Cruciata verna,,floraweb_biolflor
Cuscuta scandens,,floraweb_biolflor
Cynanchum otophyllum,Apocynaceae,glopl_2025
Cypripedium bardolphianum,Orchidaceae,glopl_2025
Cypripedium candidum,Orchidaceae,glopl_2025
Cypripedium fasciculatum,Orchidaceae,glopl_2025
Cypripedium flavum,Orchidaceae,glopl_2025
Cypripedium henryi,Orchidaceae,glopl_2025
Cypripedium plectrochilum,Orchidaceae,glopl_2025
Cypripedium tibeticum,Orchidaceae,glopl_2025
Cyrtanthus guthrieae,Amaryllidaceae,glopl_2025
Cyrtanthus ventricosus,Amaryllidaceae,glopl_2025
Dactylis polygama,,floraweb_biolflor
Dactylorhiza cruenta,,floraweb_biolflor
Dactylorhiza curvifolia,,floraweb_biolflor
Dactylorhiza fuchsii,,floraweb_biolflor
Dactylorhiza lapponica,Orchidaceae,floraweb_biolflor|glopl_2025
Dactylorhiza praetermissa,,floraweb_biolflor
Dactylorhiza ruthei,,floraweb_biolflor
Dactylorhiza sphagnicola,,floraweb_biolflor
Dactylorhiza traunsteineri,,floraweb_biolflor
Daphne striata,,floraweb_biolflor
Dayaoshania cotinifolia,Gesneriaceae,glopl_2025
Delphinium caeruleum,Ranunculaceae,glopl_2025
Dendrobium catenatum,Orchidaceae,glopl_2025
Derris ovalifolia,Fabaceae,glopl_2025
Dierama dracomontanum,Iridaceae,glopl_2025
Dierama luteoalbidum,Iridaceae,glopl_2025
Diplusodon orbicularis,Lythraceae,glopl_2025
Dipteryx alata,Fabaceae,glopl_2025
Disa atricapilla,Orchidaceae,glopl_2025
Disa bivalvata,Orchidaceae,glopl_2025
Disa draconis,Orchidaceae,glopl_2025
Disa fasciata,Orchidaceae,glopl_2025
Disa pulchra,Orchidaceae,glopl_2025
Disa racemosa,Orchidaceae,glopl_2025
Disa tenuifolia,Orchidaceae,glopl_2025
Disa uniflora,Orchidaceae,glopl_2025
Discaria americana,Rhamnaceae,glopl_2025
Dorycnium hirsutum,Fabaceae,glopl_2025
Draba muralis,,floraweb_biolflor
Draba siliquosa,,floraweb_biolflor
Draba tomentosa,,floraweb_biolflor
Dracocephalum austriacum,Lamiaceae,glopl_2025
Dryopteris expansa,,floraweb_biolflor
Dryopteris filix-mas,,floraweb_biolflor
Durio grandiflorus,Malvaceae,glopl_2025
Dyckia tuberosa,Bromeliaceae,glopl_2025
Echinacea laevigata,Asteraceae,glopl_2025
Echinopsis atacamensis,Cactaceae,glopl_2025
Elaeagnus mollis,Elaeagnaceae,glopl_2025
Elymus hispidus,,floraweb_biolflor
Elymus junceiformis,,floraweb_biolflor
Elymus obtusiflorus,,floraweb_biolflor
Encholirium heloisae,Bromeliaceae,glopl_2025
Epilobium alpestre,,floraweb_biolflor
Epilobium angustifolium,,floraweb_biolflor
Epilobium dodonaei,,floraweb_biolflor
Epilobium fleischeri,,floraweb_biolflor
Epimedium franchetii,Berberidaceae,glopl_2025
Epimedium leptorrhizum,Berberidaceae,glopl_2025
Epimedium mikinorii,Berberidaceae,glopl_2025
Epimedium sutchuenense,Berberidaceae,glopl_2025
Epipactis albensis,,floraweb_biolflor
Epipactis neglecta,,floraweb_biolflor
Equisetum arvense,,floraweb_biolflor
Eremosparton songoricum,Fabaceae,glopl_2025
Erigeron atticus,,floraweb_biolflor
Erigeron breviscapus,Asteraceae,glopl_2025
Erigeron glabratus,,floraweb_biolflor
Erigeron schleicheri,,floraweb_biolflor
Eriocnema fulva,Balsaminaceae,glopl_2025
Eriosema distinctum,Fabaceae,glopl_2025
Erodium danicum,,floraweb_biolflor
Eryngium cuneifolium,Apiaceae,glopl_2025
Erythronium umbilicatum,Liliaceae,glopl_2025
Erythroxylum tortuosum,Erythroxylaceae,glopl_2025
Eschweilera nana,Lecythidaceae,glopl_2025
Euonymus chloranthoides,Celastraceae,glopl_2025
Euphorbia virgultosa,,floraweb_biolflor
Euphrasia tricuspidata,,floraweb_biolflor
Euphrasia willkommii,Orobanchaceae,glopl_2025
Facchinia cherlerioides,,floraweb_biolflor
Facchinia rupestris,,floraweb_biolflor
Fallopia japonica,,floraweb_biolflor
Ferocactus cylindraceus,Cactaceae,glopl_2025
Festuca arundinacea,,floraweb_biolflor
Festuca duvalii,,floraweb_biolflor
Festuca gigantea,,floraweb_biolflor
Festuca heteropachys,,floraweb_biolflor
Festuca laevigata,,floraweb_biolflor
Festuca nigricans,,floraweb_biolflor
Festuca norica,,floraweb_biolflor
Festuca pallens,,floraweb_biolflor
Festuca patzkei,,floraweb_biolflor
Festuca polesica,,floraweb_biolflor
Festuca pratensis,,floraweb_biolflor
Festuca psammophila,,floraweb_biolflor
Festuca pulchella,,floraweb_biolflor
Festuca rupicaprina,,floraweb_biolflor
Festuca supina,,floraweb_biolflor
Filago gallica,,floraweb_biolflor
Filago minima,,floraweb_biolflor
Filago neglecta,,floraweb_biolflor
Flourensia cernua,Asteraceae,glopl_2025
Galearis spathulata,Orchidaceae,glopl_2025
Galeobdolon argentatum,,floraweb_biolflor
Galeobdolon flavidum,,floraweb_biolflor
Galeobdolon luteum,,floraweb_biolflor
Galeobdolon montanum,,floraweb_biolflor
Galium megalospermum,,floraweb_biolflor
Gentiana bavarica,,floraweb_biolflor
Gentiana clusii,,floraweb_biolflor
Gentiana orbicularis,,floraweb_biolflor
Gentiana pannonica,,floraweb_biolflor
Gentiana purpurea,,floraweb_biolflor
Gentiana straminea,Gentianaceae,glopl_2025
Gentianella lutescens,,floraweb_biolflor
Geranium reflexum,,floraweb_biolflor
Gerbera aurantiaca,Asteraceae,glopl_2025
Gladiolus liliaceus,Iridaceae,glopl_2025
Glaux maritima,,floraweb_biolflor
Gnaphalium hoppeanum,,floraweb_biolflor
Gnaphalium supinum,,floraweb_biolflor
Gymnocladus assamicus,Fabaceae,glopl_2025
Gypsophila scorzonerifolia,,floraweb_biolflor
Handeliodendron bodinieri,Sapindaceae,glopl_2025
Handroanthus impetiginosus,Bignoniaceae,glopl_2025
Handroanthus vellosoi,Bignoniaceae,glopl_2025
Hebe macrocarpa,Plantaginaceae,glopl_2025
Hedychium yunnanense,Zingiberaceae,glopl_2025
Hedysarum coronarium,Fabaceae,glopl_2025
Hedysarum scoparium,Fabaceae,glopl_2025
Helianthus exilis,Asteraceae,glopl_2025
Heliosperma pusillum,,floraweb_biolflor
Heracleum austriacum,,floraweb_biolflor
Heteropterys alternifolia,Malpighiaceae,glopl_2025
Hieracium glaciale,,floraweb_biolflor
Hieracium lactucella,,floraweb_biolflor
Hieracium pilosella,,floraweb_biolflor
Horminum pyrenaicum,,floraweb_biolflor
Hydrophyllum fendleri,Boraginaceae,glopl_2025
Hypericum cumulicola,Hypericaceae,glopl_2025
Hypericum elegans,,floraweb_biolflor
Hypochaeris maculata,,floraweb_biolflor
Hypochaeris uniflora,,floraweb_biolflor
Hypselodelphys hirsuta,Marantaceae,glopl_2025
Hypselodelphys poggeana,Marantaceae,glopl_2025
Hypselodelphys scandens,Marantaceae,glopl_2025
Iberis linifolia,,floraweb_biolflor
Impatiens platyadena,Balsaminaceae,glopl_2025
Incarvillea mairei,Bignoniaceae,glopl_2025
Inga densiflora,Fabaceae,glopl_2025
Inga mortoniana,Fabaceae,glopl_2025
Inga sierrae,Fabaceae,glopl_2025
Inula germanica,,floraweb_biolflor
Inula helvetica,,floraweb_biolflor
Ipomoea wolcottiana,Convolvulaceae,glopl_2025
Ipomopsis aggregata,Polemoniaceae,glopl_2025
Iris atropurpurea,Iridaceae,glopl_2025
Iris haynei,Iridaceae,glopl_2025
Iris sambucina,,floraweb_biolflor
Isoplexis canariensis,Plantaginaceae,glopl_2025
Ixianthes retzioides,Stilbaceae,glopl_2025
Juncus sphaerocarpus,,floraweb_biolflor
Kielmeyera speciosa,Calophyllaceae,glopl_2025
Knautia kitaibelii,,floraweb_biolflor
Knautia maxima,,floraweb_biolflor
Larix decidua,,floraweb_biolflor
Lasthenia fremontii,Asteraceae,glopl_2025
Lathyrus bauhini,,floraweb_biolflor
Lavoisiera imbricata,Melastomataceae,glopl_2025
Leandra variabilis,Melastomataceae,glopl_2025
Leontodon saxatilis,,floraweb_biolflor
Lepidium neglectum,,floraweb_biolflor
Lepidium papilliferum,Brassicaceae,glopl_2025
Leucanthemum halleri,,floraweb_biolflor
Leucospermum conocarpodendron,Proteaceae,glopl_2025
Liatris ohlingerae,Asteraceae,glopl_2025
Limonium chrysocomum,Plumbaginaceae,glopl_2025
Linanthus bicolor,Polemoniaceae,glopl_2025
Linum leonii,,floraweb_biolflor
Listera cordata,,floraweb_biolflor
Listera ovata,,floraweb_biolflor
Lobelia boykinii,Campanulaceae,glopl_2025
Lomatium salmoniflorum,Apiaceae,glopl_2025
Lophocereus schottii,Cactaceae,glopl_2025
Luzula alpina,,floraweb_biolflor
Luzula alpinopilosa,,floraweb_biolflor
Luzula desvauxii,,floraweb_biolflor
Luzula glabrata,,floraweb_biolflor
Lychnis coronaria,,floraweb_biolflor
Lychnis flos-cuculi,,floraweb_biolflor
Lycium cestroides,Solanaceae,glopl_2025
Lycopus exaltatus,,floraweb_biolflor
Magnolia coriacea,Magnoliaceae,glopl_2025
Magnolia grandis,Magnoliaceae,glopl_2025
Magnolia kwangsiensis,Magnoliaceae,glopl_2025
Malus sieversii,Rosaceae,glopl_2025
Marsilea quadrifolia,,floraweb_biolflor
Melocactus glaucescens,Cactaceae,glopl_2025
Melocactus paucispinus,Cactaceae,glopl_2025
Mentha smithiana,,floraweb_biolflor
Mentha villosonervata,,floraweb_biolflor
Mertensia fusiformis,Boraginaceae,glopl_2025
Miconia angelana,Melastomataceae,glopl_2025
Microlicia fasciculata,Melastomataceae,glopl_2025
Microthlaspi perfoliatum,,floraweb_biolflor
Mimulus guttatus,Phrymaceae,floraweb_biolflor|glopl_2025
Minuartia hybrida,,floraweb_biolflor
Minuartia rubra,,floraweb_biolflor
Minuartia verna,,floraweb_biolflor
Moehringia ciliata,,floraweb_biolflor
Moehringia muscosa,,floraweb_biolflor
Mourera fluviatilis,Podostemaceae,glopl_2025
Mutellina adonidifolia,,floraweb_biolflor
Myristica dactyloides,Myristicaceae,glopl_2025
Narcissus assoanus,Amaryllidaceae,glopl_2025
Narcissus radiiflorus,,floraweb_biolflor
Nematanthus crassifolius,Gesneriaceae,glopl_2025
Nematanthus lanceolatus,Gesneriaceae,glopl_2025
Neottia listeroides,Orchidaceae,glopl_2025
Nidularium itatiaiae,Bromeliaceae,glopl_2025
Nigritella miniata,,floraweb_biolflor
Nigritella nigra,,floraweb_biolflor
Nigritella rhellicani,,floraweb_biolflor
Nigritella widderi,,floraweb_biolflor
Nitraria roborowskii,Nitrariaceae,glopl_2025
Nitraria sibirica,Nitrariaceae,glopl_2025
Nitraria sphaerocarpa,Nitrariaceae,glopl_2025
Noccaea montana,,floraweb_biolflor
Oenanthe conioides,,floraweb_biolflor
Oenothera acutifolia,,floraweb_biolflor
Oenothera albipercurva,,floraweb_biolflor
Oenothera angustissima,,floraweb_biolflor
Oenothera brevispicata,,floraweb_biolflor
Oenothera canovirens,,floraweb_biolflor
Oenothera clavifera,,floraweb_biolflor
Oenothera coloratissima,,floraweb_biolflor
Oenothera compacta,,floraweb_biolflor
Oenothera coronifera,,floraweb_biolflor
Oenothera deflexa,,floraweb_biolflor
Oenothera depressa,,floraweb_biolflor
Oenothera drawertii,,floraweb_biolflor
Oenothera editicaulis,,floraweb_biolflor
Oenothera flaemingina,,floraweb_biolflor
Oenothera hoelscheri,,floraweb_biolflor
Oenothera inconspecta,,floraweb_biolflor
Oenothera indivisa,,floraweb_biolflor
Oenothera issleri,,floraweb_biolflor
Oenothera jueterbogensis,,floraweb_biolflor
Oenothera macrosperma,,floraweb_biolflor
Oenothera mediomarchica,,floraweb_biolflor
Oenothera nuda,,floraweb_biolflor
Oenothera obscurifolia,,floraweb_biolflor
Oenothera octolineata,,floraweb_biolflor
Oenothera paradoxa,,floraweb_biolflor
Oenothera pseudocernua,,floraweb_biolflor
Oenothera pycnocarpa,,floraweb_biolflor
Oenothera pyramidiflora,,floraweb_biolflor
Oenothera royfraseri,,floraweb_biolflor
Oenothera suaveolens,,floraweb_biolflor
Oenothera subterminalis,,floraweb_biolflor
Oenothera victorinii,,floraweb_biolflor
Oenothera wienii,,floraweb_biolflor
Ononis repens,,floraweb_biolflor
Ophioglossum vulgatum,,floraweb_biolflor
Ophrys holoserica,,floraweb_biolflor
Orchis coriophora,,floraweb_biolflor
Orchis palustris,,floraweb_biolflor
Orchis tridentata,,floraweb_biolflor
Orchis ustulata,,floraweb_biolflor
Ornithogalum angustifolium,,floraweb_biolflor
Ornithogalum brevistylum,,floraweb_biolflor
Orobanche arenaria,,floraweb_biolflor
Orobanche purpurea,,floraweb_biolflor
Orobanche salviae,,floraweb_biolflor
Osmunda regalis,,floraweb_biolflor
Oxalis amblyosepala,Oxalidaceae,glopl_2025
Oxalis comptonii,Oxalidaceae,glopl_2025
Oxalis giftbergensis,Oxalidaceae,glopl_2025
Oxalis natans,Oxalidaceae,glopl_2025
Oxalis oculifera,Oxalidaceae,glopl_2025
Oxalis oreophila,Oxalidaceae,glopl_2025
Oxalis tenuifolia,Oxalidaceae,glopl_2025
Oxyanthus pyriformis,Rubiaceae,glopl_2025
Oxypetalum mexiae,Apocynaceae,glopl_2025
Paliavana tenuiflora,Gesneriaceae,glopl_2025
Papaver argemone,,floraweb_biolflor
Papaver hybridum,,floraweb_biolflor
Parnassia epunctulata,Celastraceae,glopl_2025
Passiflora tricuspis,Passifloraceae,glopl_2025
Paypayrola blanchetiana,Violaceae,glopl_2025
Pedicularis gruina,Orobanchaceae,glopl_2025
Pedicularis longiflora,Orobanchaceae,glopl_2025
Pedicularis monbeigiana,Orobanchaceae,glopl_2025
Pedicularis rex,Orobanchaceae,glopl_2025
Pedicularis rostratocapitata,,floraweb_biolflor
Pedicularis rostratospicata,,floraweb_biolflor
Pedicularis siphonantha,Orobanchaceae,glopl_2025
Penstemon haydenii,Plantaginaceae,glopl_2025
Penstemon scariosus,Plantaginaceae,glopl_2025
Peplis portula,,floraweb_biolflor
Persoonia glaucescens,Proteaceae,glopl_2025
Persoonia lanceolata,Proteaceae,glopl_2025
Persoonia mollis,Proteaceae,glopl_2025
Persoonia rigida,Proteaceae,glopl_2025
Petrocallis pyrenaica,,floraweb_biolflor
Peucedanum alsaticum,,floraweb_biolflor
Peucedanum cervaria,,floraweb_biolflor
Peucedanum oreoselinum,,floraweb_biolflor
Peucedanum ostruthium,,floraweb_biolflor
Peucedanum palustre,,floraweb_biolflor
Phaius delavayi,Orchidaceae,glopl_2025
Phlomis tuberosa,,floraweb_biolflor
Physalis alkekengi,,floraweb_biolflor
Physaria obcordata,Brassicaceae,glopl_2025
Phyteuma betonicifolium,,floraweb_biolflor
Phyteuma hemisphaericum,,floraweb_biolflor
Phyteuma ovatum,,floraweb_biolflor
Picea abies,,floraweb_biolflor
Picea pungens,,floraweb_biolflor
Pinguicula vallisneriifolia,Lentibulariaceae,glopl_2025
Pinus mugo,,floraweb_biolflor
Pinus nigra,,floraweb_biolflor
Pinus sylvestris,,floraweb_biolflor
Pisum sativum,,floraweb_biolflor
Pitcairnia brittoniana,Bromeliaceae,glopl_2025
Poa minor,,floraweb_biolflor
Polemonium viscosum,Polemoniaceae,glopl_2025
Polycnemum verrucosum,,floraweb_biolflor
Polygala chamaebuxus,,floraweb_biolflor
Polygala vayredae,Polygalaceae,glopl_2025
Polygonum jucundum,Polygonaceae,glopl_2025
Polypodium vulgare,,floraweb_biolflor
Ponerorchis chusua,Orchidaceae,glopl_2025
Potamogeton helveticus,,floraweb_biolflor
Potamogeton pectinatus,,floraweb_biolflor
Potentilla brauneana,,floraweb_biolflor
Potentilla pulcherrima,Rosaceae,glopl_2025
Potentilla simulatrix,Rosaceae,glopl_2025
Potentilla tanacetifolia,Rosaceae,glopl_2025
Pouteria torta,Sapotaceae,glopl_2025
Primula clusiana,,floraweb_biolflor
Primula hirsuta,,floraweb_biolflor
Primula merrilliana,Primulaceae,glopl_2025
Primula minima,,floraweb_biolflor
Primula pubescens,,floraweb_biolflor
Protea caffra,Proteaceae,glopl_2025
Protea longifolia,Proteaceae,glopl_2025
Protea punctata,Proteaceae,glopl_2025
Protea simplex,Proteaceae,glopl_2025
Protea welwitschii,Proteaceae,glopl_2025
Pseudo-fumaria alba,,floraweb_biolflor
Pseudo-fumaria lutea,,floraweb_biolflor
Pseudopiptadenia leptostachya,Fabaceae,glopl_2025
Pseudotsuga menziesii,,floraweb_biolflor
Psilopeganum sinense,Rutaceae,glopl_2025
Psychotria longipedunculata,Rubiaceae,glopl_2025
Psychotria mapourioides,Rubiaceae,glopl_2025
Pteridium aquilinum,,floraweb_biolflor
Pterygodium catholicum,Orchidaceae,glopl_2025
Pulmonaria collina,,floraweb_biolflor
Pulmonaria montana,,floraweb_biolflor
Quercus calvescens,,floraweb_biolflor
Quesnelia augusto-coburgii,Bromeliaceae,glopl_2025
Ranunculus abstrusus,,floraweb_biolflor
Ranunculus aemulans,,floraweb_biolflor
Ranunculus alnetorum,,floraweb_biolflor
Ranunculus alpestris,,floraweb_biolflor
Ranunculus alsaticus,,floraweb_biolflor
Ranunculus ambranus,,floraweb_biolflor
Ranunculus argoviensis,,floraweb_biolflor
Ranunculus basitruncatus,,floraweb_biolflor
Ranunculus baudotii,,floraweb_biolflor
Ranunculus biformis,,floraweb_biolflor
Ranunculus borchers-kolbiae,,floraweb_biolflor
Ranunculus breyninus,,floraweb_biolflor
Ranunculus carinthiacus,,floraweb_biolflor
Ranunculus cassubicifolius,,floraweb_biolflor
Ranunculus dactylophyllus,,floraweb_biolflor
Ranunculus danubius,,floraweb_biolflor
Ranunculus doerrii,,floraweb_biolflor
Ranunculus haasii,,floraweb_biolflor
Ranunculus hevellus,,floraweb_biolflor
Ranunculus indecorus,,floraweb_biolflor
Ranunculus integerrimus,,floraweb_biolflor
Ranunculus leptomeris,,floraweb_biolflor
Ranunculus lucorum,,floraweb_biolflor
Ranunculus lunaris,,floraweb_biolflor
Ranunculus macrotis,,floraweb_biolflor
Ranunculus megacarpus,,floraweb_biolflor
Ranunculus mergenthaleri,,floraweb_biolflor
Ranunculus monacensis,,floraweb_biolflor
Ranunculus mosbachensis,,floraweb_biolflor
Ranunculus multisectus,,floraweb_biolflor
Ranunculus nicklesii,,floraweb_biolflor
Ranunculus opimus,,floraweb_biolflor
Ranunculus palmularis,,floraweb_biolflor
Ranunculus parnassifolius,,floraweb_biolflor
Ranunculus phragmiteti,,floraweb_biolflor
Ranunculus pseudoaemulans,,floraweb_biolflor
Ranunculus pseudocassubicus,,floraweb_biolflor
Ranunculus pseudopimus,,floraweb_biolflor
Ranunculus pseudovertumnalis,,floraweb_biolflor
Ranunculus puberulus,,floraweb_biolflor
Ranunculus recticaulis,,floraweb_biolflor
Ranunculus rhombilobus,,floraweb_biolflor
Ranunculus roessleri,,floraweb_biolflor
Ranunculus rostratulus,,floraweb_biolflor
Ranunculus rotundatus,,floraweb_biolflor
Ranunculus stellaris,,floraweb_biolflor
Ranunculus stricticaulis,,floraweb_biolflor
Ranunculus suevicus,,floraweb_biolflor
Ranunculus transiens,,floraweb_biolflor
Ranunculus varicus,,floraweb_biolflor
Ranunculus walo-kochii,,floraweb_biolflor
Rauvolfia grandiflora,Apocynaceae,glopl_2025
Rhamnus pumila,,floraweb_biolflor
Rhinanthus riphaeus,,floraweb_biolflor
Rhododendron agastum,Ericaceae,glopl_2025
Rhododendron cyanocarpum,Ericaceae,glopl_2025
Rhododendron hirsutum,,floraweb_biolflor
Rhododendron siderophyllum,Ericaceae,glopl_2025
Rhodothamnus chamaecistus,,floraweb_biolflor
Roridula dentata,Roridulaceae,glopl_2025
Roridula gorgonias,Roridulaceae,glopl_2025
Rosa elliptica,,floraweb_biolflor
Rubus acanthodes,,floraweb_biolflor
Rubus adornatoides,,floraweb_biolflor
Rubus agricastrorum,,floraweb_biolflor
Rubus amiantinus,,floraweb_biolflor
Rubus amisiensis,,floraweb_biolflor
Rubus ammobius,,floraweb_biolflor
Rubus amphimalacus,,floraweb_biolflor
Rubus anisacanthopsis,,floraweb_biolflor
Rubus apricus,,floraweb_biolflor
Rubus arduennensis,,floraweb_biolflor
Rubus atrovinosus,,floraweb_biolflor
Rubus bavaricus,,floraweb_biolflor
Rubus bombycinus,,floraweb_biolflor
Rubus bonus-henricus,,floraweb_biolflor
Rubus braeuckeri,,floraweb_biolflor
Rubus braeuckeriformis,,floraweb_biolflor
Rubus bregutiensis,,floraweb_biolflor
Rubus buhnensis,,floraweb_biolflor
Rubus caflischii,,floraweb_biolflor
Rubus calyculatus,,floraweb_biolflor
Rubus canaliculatus,,floraweb_biolflor
Rubus caninitergi,,floraweb_biolflor
Rubus chaerophyllus,,floraweb_biolflor
Rubus chloocladus,,floraweb_biolflor
Rubus clusii,,floraweb_biolflor
Rubus confusidens,,floraweb_biolflor
Rubus conothyrsoides,,floraweb_biolflor
Rubus constrictus,,floraweb_biolflor
Rubus correctispinosus,,floraweb_biolflor
Rubus crassidens,,floraweb_biolflor
Rubus cuspidatus,,floraweb_biolflor
Rubus dechenii,,floraweb_biolflor
Rubus distortifolius,,floraweb_biolflor
Rubus distractus,,floraweb_biolflor
Rubus dollnensis,,floraweb_biolflor
Rubus echinosepalus,,floraweb_biolflor
Rubus eideranus,,floraweb_biolflor
Rubus eifeliensis,,floraweb_biolflor
Rubus elatior,,floraweb_biolflor
Rubus elegans,,floraweb_biolflor
Rubus epipsilos,,floraweb_biolflor
Rubus erythrocomos,,floraweb_biolflor
Rubus fasciculatiformis,,floraweb_biolflor
Rubus flaccidus,,floraweb_biolflor
