stratum,context,combination,architecture_label_corrected,trait_name_corrected,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,architecture_label_original,trait_name_original,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,tropical,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,823,101,3.0,-0.028951858890981286,0.03570777243452399,0.41748058273518523,,,,0.6494142398102881,butterfly_associated_form,floral_form,50,fit,823,101,3.0,-0.0362118927353033,0.0357310417073793,0.3108416792964021,,,,0.4835315011277366
all_observed,tropical,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,957,100,5.0,0.037016638397449286,0.034151123960749444,0.27840608653653787,,,,0.48721065143894127,large_bee_associated_intermediate_deep_tube,tube_depth_class,50,fit,957,100,5.0,0.0382379826019574,0.0333479283016109,0.25153150262032,,,,0.442004774894656
all_observed,tropical,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,unconditional,fit,823,101,3.0,-0.12064937081199717,0.04584811953324349,0.008500862563629032,,,,0.03967069196360215,large_bee_associated_form,floral_form,50,fit,823,101,3.0,-0.1214345567770713,0.0467196019056349,0.0093435676853404,,,,0.0487906399464099
all_observed,tropical,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,953,99,5.0,-0.021591858906665706,0.039004847050835234,0.5798741145399038,,,,0.7055321661323012,bird_associated_intermediate_deep_tube,tube_depth_class,50,fit,953,99,5.0,-0.0218842706921296,0.036971899113872,0.5539066207109402,,,,0.6190589268880125
all_observed,tropical,red_pink__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,unconditional,fit,798,99,3.0,-0.05576541892783002,0.046485489656171906,0.2302828111533812,,,,0.4605656223067624,bird_associated_form,floral_form,50,fit,798,99,3.0,-0.0497588298451414,0.0434909445636721,0.2525741570826605,,,,0.442004774894656
all_observed,tropical,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,953,99,5.0,-0.021574779298945468,0.03377421407393051,0.5229566824586207,,,,0.7055321661323012,butterfly_associated_deep_tube,tube_depth_class,50,fit,953,99,5.0,-0.0161607171000001,0.0316375781500349,0.6094857485039604,,,,0.6190589268880125
all_observed,tropical,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,798,99,3.0,-0.07537259121789767,0.0421918559935798,0.07403045206497152,,,,0.247414506785608,butterfly_associated_form,floral_form,50,fit,798,99,3.0,-0.0701799405390671,0.0420190131149326,0.0948808128206808,,,,0.2656662758979064
all_observed,tropical,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,986,100,5.0,-0.019666924371487537,0.05204772654762227,0.7055321661323011,,,,0.7055321661323012,bird_associated_intermediate_deep_tube,tube_depth_class,50,fit,986,100,5.0,-0.0285703624543619,0.0503814885279059,0.5706594535792447,,,,0.6190589268880125
all_observed,tropical,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,unconditional,fit,910,99,4.0,-0.12316927463760184,0.03739769749160452,0.000989487374084938,,,,0.013852823237189131,bird_associated_form,floral_form,50,fit,910,99,4.0,-0.1163858143057607,0.0351379133654526,0.000925463465803,,,,0.0129564885212426
all_observed,tropical,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,986,100,5.0,0.05969989526295841,0.04139900373096257,0.14928512133250565,,,,0.3483319497758465,butterfly_associated_deep_tube,tube_depth_class,50,fit,986,100,5.0,0.0575913080681652,0.0413792288349908,0.1639851852517519,,,,0.3826320989207545
