source_scientific_name,source_family,raw_value,accepted_species,name_match_method,match_status,reason,gbif_match_type,gbif_status,gbif_confidence,gbif_usage_key,gbif_accepted_usage_key
Bellevalia webbiana,Asparagaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2771837,
Berchemiella wilsonii,Rhamnaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7273824,
Berlandiera lyrata,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3148290,
Berlandiera pumila,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3148277,
Berlandiera texana,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3148292,
Bidens bidentoides,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5392137,
Bidens lemmonii,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5391692,
Bidens leptocephala,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5392038,
Bidens schimperi,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5391827,
Biscutella frutescens,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3041836,
Biscutella glacialis,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3041823,
Biscutella intermedia,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3041858,
Biscutella neustriaca,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3041767,
Biscutella scaposa,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3041839,
Biscutella variegata,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3041732,
Blennosperma chilense,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3099002,
Blepharipappus scaber,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3115650,
Blepharizonia laxa,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3117339,
Blepharizonia plumosa,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3117336,
Blumenbachia insignis,Loasaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5646406,
Bobartia longicyma,Iridaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5297138,
Boechera breweri,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043383,
Boechera constancei,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043275,
Boechera crandallii,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043248,
Boechera fecunda,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043272,
Boechera gunnisoniana,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043464,
Boechera microphylla,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043484,
Boechera parishii,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043240,
Boechera platysperma,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043561,
Boechera rectissima,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043319,
