genus,standardized_value,support_n,supporting_taxa,source_names
Quercus,SI,12,"[""Quercus acutissima"", ""Quercus chrysolepis"", ""Quercus dentata"", ""Quercus garryana"", ""Quercus glauca"", ""Quercus ilex"", ""Quercus macrocarpa"", ""Quercus petraea"", ""Quercus robur"", ""Quercus rubra"", ""Quercus serrata"", ""Quercus suber""]","[""meyer_galloway_eckert_2026_dryad""]"
Rhynchosia,SC,6,"[""Rhynchosia longeracemosa"", ""Rhynchosia melanocarpa"", ""Rhynchosia minima"", ""Rhynchosia reticulata"", ""Rhynchosia rufescens"", ""Rhynchosia sublobata""]","[""meyer_galloway_eckert_2026_dryad""]"
Salvia,SC,8,"[""Salvia brandegeei"", ""Salvia coccinea"", ""Salvia elegans"", ""Salvia pratensis"", ""Salvia rosmarinus"", ""Salvia sclarea"", ""Salvia sclareoides"", ""Salvia tiliifolia""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Scalesia,SC,6,"[""Scalesia affinis"", ""Scalesia aspera"", ""Scalesia baurii"", ""Scalesia cordata"", ""Scalesia helleri"", ""Scalesia pedunculata""]","[""meyer_galloway_eckert_2026_dryad""]"
Schiedea,SC,5,"[""Schiedea adamantis"", ""Schiedea lydgatei"", ""Schiedea membranacea"", ""Schiedea menziesii"", ""Schiedea salicaria""]","[""meyer_galloway_eckert_2026_dryad""]"
Schizachyrium,SC,5,"[""Schizachyrium crinizonatum"", ""Schizachyrium fragile"", ""Schizachyrium occultum"", ""Schizachyrium pachyarthron"", ""Schizachyrium pseudeulalia""]","[""meyer_galloway_eckert_2026_dryad""]"
Sisymbrium,SC,6,"[""Sisymbrium altissimum"", ""Sisymbrium erysimoides"", ""Sisymbrium irio"", ""Sisymbrium loeselii"", ""Sisymbrium officinale"", ""Sisymbrium orientale""]","[""meyer_galloway_eckert_2026_dryad""]"
Stylosanthes,SC,12,"[""Stylosanthes angustifolia"", ""Stylosanthes calcicola"", ""Stylosanthes capitata"", ""Stylosanthes erecta"", ""Stylosanthes fruticosa"", ""Stylosanthes guianensis"", ""Stylosanthes hamata"", ""Stylosanthes humilis"", ""Stylosanthes scabra"", ""Stylosanthes sympodialis"", ""Stylosanthes tuberculata"", ""Stylosanthes viscosa""]","[""meyer_galloway_eckert_2026_dryad""]"
Tetramolopium,SC,8,"[""Tetramolopium arenarium"", ""Tetramolopium consanguineum"", ""Tetramolopium filiforme"", ""Tetramolopium humile"", ""Tetramolopium lepidotum"", ""Tetramolopium remyi"", ""Tetramolopium rockii"", ""Tetramolopium sylvae""]","[""meyer_galloway_eckert_2026_dryad""]"
Trigonella,SC,11,"[""Trigonella arabica"", ""Trigonella balansae"", ""Trigonella coerulescens"", ""Trigonella foenum-graecum"", ""Trigonella gladiata"", ""Trigonella grandiflora"", ""Trigonella maritima"", ""Trigonella spicata"", ""Trigonella spinosa"", ""Trigonella spruneriana"", ""Trigonella stellata""]","[""meyer_galloway_eckert_2026_dryad""]"
Vicia,SC,34,"[""Vicia aintabensis"", ""Vicia articulata"", ""Vicia benghalensis"", ""Vicia bijuga"", ""Vicia bithynica"", ""Vicia cassia"", ""Vicia cuspidata"", ""Vicia cypria"", ""Vicia disperma"", ""Vicia ervilia"", ""Vicia faba"", ""Vicia galilaea"", ""Vicia grandiflora"", ""Vicia hirsuta"", ""Vicia hybrida"", ""Vicia johannis"", ""Vicia lathyroides"", ""Vicia lens"", ""Vicia lutea"", ""Vicia magellanica"", ""Vicia melanops"", ""Vicia mollis"", ""Vicia monantha"", ""Vicia narbonensis"", ""Vicia nigricans"", ""Vicia palaestina"", ""Vicia pannonica"", ""Vicia parviflora"", ""Vicia peregrina"", ""Vicia sativa"", ""Vicia serratifolia"", ""Vicia tetrasperma"", ""Vicia unijuga"", ""Vicia villosa""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Vigna,SC,11,"[""Vigna aconitifolia"", ""Vigna angularis"", ""Vigna longifolia"", ""Vigna luteola"", ""Vigna minima"", ""Vigna mungo"", ""Vigna radiata"", ""Vigna trilobata"", ""Vigna umbellata"", ""Vigna unguiculata"", ""Vigna vexillata""]","[""meyer_galloway_eckert_2026_dryad""]"
Viola,SC,9,"[""Viola arvensis"", ""Viola canadensis"", ""Viola hirta"", ""Viola jaubertiana"", ""Viola mirabilis"", ""Viola pubescens"", ""Viola reichenbachiana"", ""Viola septemloba"", ""Viola sororia""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Zornia,SC,6,"[""Zornia diphylla"", ""Zornia glabra"", ""Zornia glochidiata"", ""Zornia latifolia"", ""Zornia myriadena"", ""Zornia reticulata""]","[""meyer_galloway_eckert_2026_dryad""]"
